date,av_sentiment_avg,av_sentiment_std,av_bullish_ratio,av_bearish_ratio,news_count,candidates_count,negation_filtered,gpt_interpreted,gpt_calls_new,active_events_count,event_adjustment,conflicts_count,conflict_penalty,sanity_corrections,active_events,has_war,has_rate_hike,has_rate_cut,has_rate_event,has_geopolitical,has_tariff,has_export_ban,has_earnings_shock,has_oil_surge,has_banking_crisis,has_inflation,has_fed_statement
2020-06-01,0.2129,0.2899,0.634,0.127,71,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0.2406,0.2331,0.653,0.056,72,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0.2431,0.2566,0.602,0.036,83,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,0.2325,0.2447,0.59,0.072,83,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0.1435,0.3245,0.542,0.22,59,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0.1288,0.3336,0.444,0.222,9,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,-0.1186,0.3881,0.25,0.5,8,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0.2343,0.276,0.623,0.094,53,1,0,1,1,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0.1469,0.2676,0.448,0.134,67,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,0.1747,0.3054,0.542,0.139,72,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0.2305,0.3037,0.618,0.074,68,0,0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0.1874,0.2983,0.537,0.111,54,1,0,1,1,1,-4.9,0,0,0,수출규제,0,0,0,0,0,0,1,0,0,0,0,0
