all_should_buy_signal_days_independently_scored,candidate_id,code_verifiable,common_backtest_evidence,cooldown_handling,fitness_input,flat_state_should_buy_handling,holding_state_should_buy_handling,matched_rl_replay_path,matched_rl_replay_trade_rows,origin_runner,persisted_training_sample,raw_all_signal_sample_stored,rl_replay_invalid_json_rows,rulebook_hash,runner_evidence,sample_definition,source_artifact_role,source_file,source_file_exists,stage,ticker,training_phase,verdict,verdict_reason
False,stage2:ALGT:402f72d48c3c,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/ALGT/stage2/rl_replay_trades.jsonl,61,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/ALGT/stage2/survivors.jsonl,True,stage2,ALGT,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:CAT:a752666ee858,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/CAT/stage2/rl_replay_trades.jsonl,84,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,a752666ee8584604534e76bd19e6473a5e41b015d4d62285d185e0ba93c4c0d4,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/CAT/stage2/survivors.jsonl,True,stage2,CAT,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:CEF:fe84c0ad85d8,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/CEF/stage2/rl_replay_trades.jsonl,71,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,fe84c0ad85d8233c7d703bf47c1de53e45d0b63b95736248b0fb6c97d06a46ca,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/CEF/stage2/survivors.jsonl,True,stage2,CEF,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:CMC:4f6ee2739add,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/CMC/stage2/rl_replay_trades.jsonl,81,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,4f6ee2739add9e47fde7bed02629cd96f768590c76a08b09ed0c77d1defdb392,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/CMC/stage2/survivors.jsonl,True,stage2,CMC,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:FIX:cab7d458767d,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/FIX/stage2/rl_replay_trades.jsonl,105,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,cab7d458767d092c774caab0bd926a133279a01488764c0f2d95cd80e53a7b8b,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/FIX/stage2/survivors.jsonl,True,stage2,FIX,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:MPC:8107accddd2c,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/MPC/stage2/rl_replay_trades.jsonl,66,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,8107accddd2cea42a4667cb0d74239f242a67c703b740f966e1a085f5719ed5e,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/MPC/stage2/survivors.jsonl,True,stage2,MPC,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:PLXS:c33a9dcf246c,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/PLXS/stage2/rl_replay_trades.jsonl,61,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,c33a9dcf246c234b281280ddb6f0fc0ed6de20707eec8ae208b0f18848e3d14f,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/PLXS/stage2/survivors.jsonl,True,stage2,PLXS,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage2:POWI:6c2e3e5c874b,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/POWI/stage2/rl_replay_trades.jsonl,52,scripts/research/run_stage2.py,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,6c2e3e5c874b64c062f92529d58a5b1950408aea62a6e692bcc4f534ca6ce53d,train_one_split evaluate_fn 458-470; run_ga 505-516,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,survivors.jsonl: GA rulebook에서 파생된 gate 생존 개체,tickers/POWI/stage2/survivors.jsonl,True,stage2,POWI,Stage2 3개 train split GA + 5기간 gate,HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage3:AA:9bf08eb287d2,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/rl_replay_trades.jsonl,38,scripts/research/run_stage3_aggressive.py 및 원본 backup 모듈,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,9bf08eb287d239b107ada40457dfbd4bfa405ace3d7665c26a190231fc73f8d3,run_backtest_period 324-336; entry 597-615; exit 752-777,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,final_rulebooks.jsonl: entry GA 개체에 exit-gene GA를 적용한 최종 개체,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/final_rulebooks.jsonl,True,stage3,AA,Stage3 qualify GA + entry GA(train_3) + exit-gene GA(stress+bull),HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage3:AAOI:5fa4b9dea9eb,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/rl_replay_trades.jsonl,67,scripts/research/run_stage3_aggressive.py 및 원본 backup 모듈,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,5fa4b9dea9ebb8ebe3e4473351cd2a89de87bbf73f12451c1e10e0124fe416f5,run_backtest_period 324-336; entry 597-615; exit 752-777,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,final_rulebooks.jsonl: entry GA 개체에 exit-gene GA를 적용한 최종 개체,exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/final_rulebooks.jsonl,True,stage3,AAOI,Stage3 qualify GA + entry GA(train_3) + exit-gene GA(stress+bull),HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage3:ABEV:9121d29b2b80,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/ABEV/stage3/rl_replay_trades.jsonl,34,scripts/research/run_stage3_aggressive.py 및 원본 backup 모듈,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,9121d29b2b801282558b83698d60703dbc4cd0f463362d93d2614e2634ce3768,run_backtest_period 324-336; entry 597-615; exit 752-777,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,final_rulebooks.jsonl: entry GA 개체에 exit-gene GA를 적용한 최종 개체,exp_batch_stage123_2009_20260616_full/tickers/ABEV/stage3/final_rulebooks.jsonl,True,stage3,ABEV,Stage3 qualify GA + entry GA(train_3) + exit-gene GA(stress+bull),HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage3:ACLS:91f65753d85d,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/ACLS/stage3/rl_replay_trades.jsonl,31,scripts/research/run_stage3_aggressive.py 및 원본 backup 모듈,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,91f65753d85d91308c1ad66f8428a1e5da95c9f47ce51221343fad352785e76e,run_backtest_period 324-336; entry 597-615; exit 752-777,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,final_rulebooks.jsonl: entry GA 개체에 exit-gene GA를 적용한 최종 개체,exp_batch_stage123_2009_20260616_full/tickers/ACLS/stage3/final_rulebooks.jsonl,True,stage3,ACLS,Stage3 qualify GA + entry GA(train_3) + exit-gene GA(stress+bull),HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
False,stage3:ACMR:44c1e02681c4,True,"engine/learning/execution_mode_backtest.py 234-267, 291-340; 특히 337-340 index jump",청산일 뒤 cooldown_days=1 추가 스킵,run_backtest_execution_mode의 executed trades 기반 fitness/expectancy/PF/MDD,should_buy=True이면 거래 생성 후 결과를 fitness에 반영,SKIPPED_NOT_EVALUATED,exp_batch_stage123_2009_20260616_full/tickers/ACMR/stage3/rl_replay_trades.jsonl,74,scripts/research/run_stage3_aggressive.py 및 원본 backup 모듈,체결 거래만 trades/rl_replay_trades 저장; 보유중·cooldown should_buy 원 표본 미저장,False,0,44c1e02681c44166295eac4acb61328ed3593f66320dbd176b6f4ae94f2569e3,run_backtest_period 324-336; entry 597-615; exit 752-777,flat 상태에서 날짜별 should_buy 평가; 진입 후 청산+cooldown 다음 인덱스로 점프,final_rulebooks.jsonl: entry GA 개체에 exit-gene GA를 적용한 최종 개체,exp_batch_stage123_2009_20260616_full/tickers/ACMR/stage3/final_rulebooks.jsonl,True,stage3,ACMR,Stage3 qualify GA + entry GA(train_3) + exit-gene GA(stress+bull),HAS_GAP,보유중 연속 should_buy를 독립 fitness 표본으로 보지 않음
