metric,value,status,formula_or_condition,pass_or_effect,margin,source,evidence_time_or_version,note
signal_time_et,2026-07-09T13:20:33.590054-04:00,RECOVERED,,, ,data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,2026-07-09T17:20:33.590054+00:00,
signal_price,600.8599853515625,RECOVERED,,, ,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-09T17:20:33.590054+00:00,
ma5,600.9259887695313,PARTIALLY_RECOVERED,"mean of 2026-07-01,07-02,07-06,07-07,07-08 closes",price_below_ma5,-0.065... USD / -0.0109836%,yfinance historical pull using same auto_adjust=False path,2026-07-12 reconstruction,"exact first-signal OHLCV frame NOT_STORED; current historical pull used"
price_vs_ma5_pct,-0.010983618482518498,PARTIALLY_RECOVERED,"price/ma5-1",above_ma5=false,-0.0109836 percentage points,yfinance historical pull + recovered signal price,2026-07-12 reconstruction,
ma20,581.2125,PARTIALLY_RECOVERED,"20-session mean",price_above_ma20,+3.38043062590061%,yfinance historical pull,2026-07-12 reconstruction,
ma60,488.610834757487,PARTIALLY_RECOVERED,"60-session mean",MA5>MA20>MA60=true,+19.7134887695313 over MA20; +92.601665242513 over MA60,yfinance historical pull,2026-07-12 reconstruction,
aligned_bull,1,RECOVERED,"MA5>MA20>MA60",score_add_ma_align,+1.073432530260209,data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-09 archived component,"component directly recovered; MA values reconstructed"
volume_ma5,673840.0,PARTIALLY_RECOVERED,"mean of last 5 completed daily volumes",volume_ratio_below_threshold,,yfinance historical pull,2026-07-12 reconstruction,
volume_ratio,0.8258637065178678,PARTIALLY_RECOVERED,"2026-07-08 volume / Volume_MA5",no volume score,threshold 1.2; shortfall -0.3741362934821322,data/_system/analysis/crs_underperformance_20260711/crs_basic_and_reasons.csv + yfinance reconstruction,2026-07-11/12,"forensic diagnostic stored rounded 0.8259"
high5,625.989990234375,PARTIALLY_RECOVERED,"max daily High over 2026-07-01..07-08 five sessions",not a pool gate,price is -4.014441967898508%,yfinance historical pull,2026-07-12 reconstruction,
low5,576.1599731445312,PARTIALLY_RECOVERED,"min daily Low over same five sessions",not a pool gate,price is +4.287005928618237%,yfinance historical pull,2026-07-12 reconstruction,
range_position_pct,49.56854050942229,PARTIALLY_RECOVERED,"(price-low5)/(high5-low5)*100",middle of 5d range,,yfinance historical pull + recovered signal price,2026-07-12 reconstruction,
dist_high5_pct,-4.014441967898508,PARTIALLY_RECOVERED,"price/high5-1",shadow quality no -8 penalty,margin to -12% penalty = +7.985558032101492 pp,yfinance historical pull,2026-07-12 reconstruction,
bounce_low5_pct,4.287005928618237,PARTIALLY_RECOVERED,"price/low5-1",shadow quality +10 points,margin over 4% tier = +0.287005928618237 pp,yfinance historical pull,2026-07-12 reconstruction,
ret_5d_pct,-2.590629791871546,PARTIALLY_RECOVERED,"price / close[-6] -1",not overheat,margin to +20% overheat trigger = -22.590629791871546 pp,yfinance historical pull,2026-07-12 reconstruction,
shadow_quality_score,31.0,PARTIALLY_RECOVERED,"replay of elite_shadow_entry_quality with recovered price and reconstructed daily frame",would_block_shadow_open,q_score threshold margin -14.0,engine/live/elite_shadow_entry_quality.py,2026-07-12 replay,"exact historical entry_quality payload NOT_STORED; irrelevant to candidate pool first_seen"
shadow_quality_allow,false,PARTIALLY_RECOVERED,"q_score<45",failed_follow_through_q_lt_45,-14 points,engine/live/elite_shadow_entry_quality.py,2026-07-12 replay,"does not alter live candidate pool eligibility"
pool_5d_block_gate,,NOT_FOUND,"live_candidate_slots ignores entry_quality allow/block for eligibility and ordering",CRS not tested by 5d block at pool stage,,data/_system/ops/live_candidate_slots.py,lines 351-366;386-415,"explicit code note says EQ not used"
