component,first_signal_value,uses_5day_input,5day_role,separable_5day_contribution,status,consistency_check,source_path,source_timestamp_utc,source_sha256
ma_align,1.073432530260209,true,"binary joint condition MA5>MA20>MA60",NOT_SEPARABLE,"RECOVERED","MA5 600.9259888 > MA20 581.2125 > MA60 488.6108348; full component awarded",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
macd,0.0,false,,0.0,RECOVERED,"no golden cross",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
rsi,1.6475902670733407,false,,0.0,RECOVERED,"RSI in rulebook zone",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
bb,1.9410509060649137,false,"20-day Bollinger input, not 5-day",0.0,RECOVERED,"component matches archived dashboard",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
volume,0.0,true,"Volume divided by 5-day average; threshold 1.2",0.0,"RECOVERED_COMPONENT_RECONSTRUCTED_RATIO","ratio 0.8259 < 1.2, so no volume score",data/_system/analysis/crs_underperformance_20260711/crs_basic_and_reasons.csv,2026-07-11T18:03:00.925735+00:00,72e688c40ae7259d74547dc113d38cbb83aa7f86f4f2e5092d4da9951cd7b728
news,0.0,false,,0.0,RECOVERED,"archived first snapshot",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
news_topics,0.0,false,,0.0,RECOVERED,"archived first snapshot",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
events,-1.6902760885111983,false,,0.0,RECOVERED,"archived first snapshot",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
raw_score,2.971797614887265,true,"contains ma_align whose activation depends jointly on MA5",NOT_SEPARABLE,"RECOVERED","1.073432530260209+1.6475902670733407+1.9410509060649137-1.6902760885111983=2.971797614887265",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
market_multiplier,1.0,false,,0.0,RECOVERED,"use_market_entry_adjustment=false",data/_system/analysis/crs_full_forensics_20260711/recovery_ledger.csv,2026-07-12T05:55:47.659151+00:00,73ac368c1c978c797cba35cffd8f61002fe36e04e8f86c027e748420ddf2fb95
final_score,2.971797614887265,true,"same as raw score due multiplier 1.0",NOT_SEPARABLE,RECOVERED,"final score matches archived first signal",data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,2026-07-12T05:55:04.968228+00:00,6e44e792fdb5487f8a6656d4f978e8ba4bb78c0fefd3eccdf39a4d3e994e7fbb
threshold,2.5574757832651467,false,,0.0,RECOVERED,"final score exceeds threshold by 0.41432183162211844",data/_system/analysis/crs_full_forensics_20260711/crs_timeline.csv,2026-07-12T05:55:04.968228+00:00,6e44e792fdb5487f8a6656d4f978e8ba4bb78c0fefd3eccdf39a4d3e994e7fbb
attributable_5day_score_upper_bound,1.073432530260209,true,"count full ma_align as 5-day-associated plus volume 0",1.073432530260209,DERIVED,"upper-bound attribution only; MA5-only causal share cannot be separated from MA20/MA60",engine/strategies/evaluator.py,2026-06-06T20:38:58.237852+00:00,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584
strictly_separable_5day_only_score,0.0,true,"no independently weighted MA5/high5/low5/range component in live evaluator",0.0,CONFIRMED,"volume component is zero; alignment is joint and indivisible",engine/strategies/evaluator.py,2026-06-06T20:38:58.237852+00:00,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584
