base_rate,candidate_id,coverage,lift_pp,mode,passed_count,passed_positive_count,positive_count,precision,recall,regime,signal_count,stage,ticker
0.6153846153846154,stage2:ALGT:402f72d48c3c,1.0,0.0,baseline,13,8,8,0.6153846153846154,1.0,stress,13,stage2,ALGT
0.6153846153846154,stage2:ALGT:402f72d48c3c,0.23076923076923078,-28.20512820512821,filtered,3,1,8,0.3333333333333333,0.125,stress,13,stage2,ALGT
0.41935483870967744,stage2:ALGT:402f72d48c3c,1.0,0.0,baseline,31,13,13,0.41935483870967744,1.0,train,31,stage2,ALGT
0.41935483870967744,stage2:ALGT:402f72d48c3c,0.25806451612903225,45.564516129032256,filtered,8,7,13,0.875,0.5384615384615384,train,31,stage2,ALGT
0.7647058823529411,stage2:ALGT:402f72d48c3c,1.0,0.0,baseline,17,13,13,0.7647058823529411,1.0,oos,17,stage2,ALGT
0.7647058823529411,stage2:ALGT:402f72d48c3c,0.17647058823529413,-9.80392156862745,filtered,3,2,13,0.6666666666666666,0.15384615384615385,oos,17,stage2,ALGT
0.4,stage2:CAT:a752666ee858,1.0,0.0,baseline,20,8,8,0.4,1.0,stress,20,stage2,CAT
0.4,stage2:CAT:a752666ee858,0.05,-40.0,filtered,1,0,8,0.0,0.0,stress,20,stage2,CAT
0.2222222222222222,stage2:CAT:a752666ee858,1.0,0.0,baseline,45,10,10,0.2222222222222222,1.0,train,45,stage2,CAT
0.2222222222222222,stage2:CAT:a752666ee858,0.17777777777777778,40.27777777777778,filtered,8,5,10,0.625,0.5,train,45,stage2,CAT
0.3157894736842105,stage2:CAT:a752666ee858,1.0,0.0,baseline,19,6,6,0.3157894736842105,1.0,oos,19,stage2,CAT
0.3157894736842105,stage2:CAT:a752666ee858,0.05263157894736842,-31.57894736842105,filtered,1,0,6,0.0,0.0,oos,19,stage2,CAT
0.0625,stage2:CEF:fe84c0ad85d8,1.0,0.0,baseline,16,1,1,0.0625,1.0,stress,16,stage2,CEF
0.0625,stage2:CEF:fe84c0ad85d8,0.4375,-6.25,filtered,7,0,1,0.0,0.0,stress,16,stage2,CEF
0.075,stage2:CEF:fe84c0ad85d8,1.0,0.0,baseline,40,3,3,0.075,1.0,train,40,stage2,CEF
0.075,stage2:CEF:fe84c0ad85d8,0.325,15.576923076923077,filtered,13,3,3,0.23076923076923078,1.0,train,40,stage2,CEF
0.4666666666666667,stage2:CEF:fe84c0ad85d8,1.0,0.0,baseline,15,7,7,0.4666666666666667,1.0,oos,15,stage2,CEF
0.4666666666666667,stage2:CEF:fe84c0ad85d8,0.13333333333333333,-46.666666666666664,filtered,2,0,7,0.0,0.0,oos,15,stage2,CEF
0.48148148148148145,stage2:CMC:4f6ee2739add,1.0,0.0,baseline,27,13,13,0.48148148148148145,1.0,stress,27,stage2,CMC
0.48148148148148145,stage2:CMC:4f6ee2739add,0.5555555555555556,-8.148148148148143,filtered,15,6,13,0.4,0.46153846153846156,stress,27,stage2,CMC
0.32432432432432434,stage2:CMC:4f6ee2739add,1.0,0.0,baseline,37,12,12,0.32432432432432434,1.0,train,37,stage2,CMC
0.32432432432432434,stage2:CMC:4f6ee2739add,0.21621621621621623,55.067567567567565,filtered,8,7,12,0.875,0.5833333333333334,train,37,stage2,CMC
0.29411764705882354,stage2:CMC:4f6ee2739add,1.0,0.0,baseline,17,5,5,0.29411764705882354,1.0,oos,17,stage2,CMC
0.29411764705882354,stage2:CMC:4f6ee2739add,0.6470588235294118,6.951871657754011,filtered,11,4,5,0.36363636363636365,0.8,oos,17,stage2,CMC
0.3333333333333333,stage2:FIX:cab7d458767d,1.0,0.0,baseline,24,8,8,0.3333333333333333,1.0,stress,24,stage2,FIX
0.3333333333333333,stage2:FIX:cab7d458767d,0.20833333333333334,-13.33333333333333,filtered,5,1,8,0.2,0.125,stress,24,stage2,FIX
0.38596491228070173,stage2:FIX:cab7d458767d,1.0,0.0,baseline,57,22,22,0.38596491228070173,1.0,train,57,stage2,FIX
0.38596491228070173,stage2:FIX:cab7d458767d,0.15789473684210525,50.29239766081871,filtered,9,8,22,0.8888888888888888,0.36363636363636365,train,57,stage2,FIX
0.5833333333333334,stage2:FIX:cab7d458767d,1.0,0.0,baseline,24,14,14,0.5833333333333334,1.0,oos,24,stage2,FIX
0.5833333333333334,stage2:FIX:cab7d458767d,0.08333333333333333,-8.333333333333337,filtered,2,1,14,0.5,0.07142857142857142,oos,24,stage2,FIX
0.26666666666666666,stage2:MPC:8107accddd2c,1.0,0.0,baseline,15,4,4,0.26666666666666666,1.0,stress,15,stage2,MPC
0.26666666666666666,stage2:MPC:8107accddd2c,0.13333333333333333,23.333333333333332,filtered,2,1,4,0.5,0.25,stress,15,stage2,MPC
0.25,stage2:MPC:8107accddd2c,1.0,0.0,baseline,36,9,9,0.25,1.0,train,36,stage2,MPC
0.25,stage2:MPC:8107accddd2c,0.2222222222222222,50.0,filtered,8,6,9,0.75,0.6666666666666666,train,36,stage2,MPC
0.5333333333333333,stage2:MPC:8107accddd2c,1.0,0.0,baseline,15,8,8,0.5333333333333333,1.0,oos,15,stage2,MPC
0.5333333333333333,stage2:MPC:8107accddd2c,0.26666666666666666,-53.333333333333336,filtered,4,0,8,0.0,0.0,oos,15,stage2,MPC
0.3125,stage2:PLXS:c33a9dcf246c,1.0,0.0,baseline,16,5,5,0.3125,1.0,stress,16,stage2,PLXS
0.3125,stage2:PLXS:c33a9dcf246c,0.1875,2.0833333333333313,filtered,3,1,5,0.3333333333333333,0.2,stress,16,stage2,PLXS
0.36666666666666664,stage2:PLXS:c33a9dcf246c,1.0,0.0,baseline,30,11,11,0.36666666666666664,1.0,train,30,stage2,PLXS
0.36666666666666664,stage2:PLXS:c33a9dcf246c,0.3,41.111111111111114,filtered,9,7,11,0.7777777777777778,0.6363636363636364,train,30,stage2,PLXS
0.4,stage2:PLXS:c33a9dcf246c,1.0,0.0,baseline,15,6,6,0.4,1.0,oos,15,stage2,PLXS
0.4,stage2:PLXS:c33a9dcf246c,0.3333333333333333,0.0,filtered,5,2,6,0.4,0.3333333333333333,oos,15,stage2,PLXS
0.5,stage2:POWI:6c2e3e5c874b,1.0,0.0,baseline,10,5,5,0.5,1.0,stress,10,stage2,POWI
0.5,stage2:POWI:6c2e3e5c874b,0.2,0.0,filtered,2,1,5,0.5,0.2,stress,10,stage2,POWI
0.37037037037037035,stage2:POWI:6c2e3e5c874b,1.0,0.0,baseline,27,10,10,0.37037037037037035,1.0,train,27,stage2,POWI
0.37037037037037035,stage2:POWI:6c2e3e5c874b,0.2962962962962963,37.96296296296296,filtered,8,6,10,0.75,0.6,train,27,stage2,POWI
0.4,stage2:POWI:6c2e3e5c874b,1.0,0.0,baseline,15,6,6,0.4,1.0,oos,15,stage2,POWI
