record_type,candidate_id,ticker,stage,current_score,current_threshold,current_ratio,variant_fields_present,S1S2S3_exit_variant_applied,offline_IS_best_variant_reference,selection_basis,status,evidence_snapshot
RUNTIME,PID_494330,live_candidate_slots.py,,,,,false,false,,"guard-managed daemon --interval 60; shared elite report then evaluate_candidate","CONFIRMED_ACTIVE","process start 2026-07-11T20:16:00Z; prior lineage PID 479037 started 2026-07-11T17:34:33Z"
POLICY,CURRENT_LIVE_SELECTION,,,,,,false,false,,"KEEP gate + upstream v3/BOIL BLOCK + direct Event OFF + should_buy(final_score>=threshold) + final_score descending","CONFIRMED","live_slots_state source_system and live_candidate_slots.py:343-465"
CANDIDATE,stage3:ADMA:42437a3ee595,ADMA,stage3,8.9372972088457,2.179290624723338,4.101012094236076,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","state SHA 199cdb06eac7e638cd30ae5fe01825a0134079a48117f03e2f8eef44ff947986; offline IS n=612"
CANDIDATE,stage3:CRS:8695c9ce3320,CRS,stage3,5.533926668171177,2.5574757832651467,2.1638236828604396,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=737"
CANDIDATE,stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,5.08707749391322,2.2937281833052667,2.217820546889184,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=556"
CANDIDATE,stage3:AEIS:6e26f08a7c6d,AEIS,stage3,4.70688309081869,1.6391176454145713,2.8715956441480492,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=624"
CANDIDATE,stage3:ARKW:296c057b4ef7,ARKW,stage3,4.527388412666307,2.563383325529843,1.7661768989351252,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=281"
CANDIDATE,stage3:CBRL:677767a0b6a9,CBRL,stage3,4.383103532956284,1.904703742771071,2.301199622036494,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=442"
CANDIDATE,stage3:BTU:ecfcb41f1be2,BTU,stage3,3.555036609814084,2.380004306794464,1.493710158282119,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=275"
CANDIDATE,stage3:BB:f1bdfe7f8ad9,BB,stage3,3.2003337347880967,2.791951174195162,1.146271383385012,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=258"
CANDIDATE,stage3:BN:d264957fe5f6,BN,stage3,3.0183079336179097,2.6480219613592295,1.139834932512649,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=573"
CANDIDATE,stage3:ACMR:44c1e02681c4,ACMR,stage3,1.8020988979298447,1.672152226421145,1.0777122258700216,false,false,S3,"final_score >= individual signal_threshold","CONFIRMED_NO_VARIANT_GATE","same state snapshot; offline IS n=264"
CONFIG,S2_AUTO_CONFIG,,,,,,false,false,,"selection.signal_policy=evaluate_signal_should_buy_true; priority_policy=final_score_desc_spy_down_high_vol_deprioritize","CONFIRMED_SEPARATE_COMPONENT","data/_system/live_auto_config.json SHA e4c15a66a7400d6903c60f5b5b72676237cc7ad0a3823e4f541ed5d9a157b51b; master=false"
