ticker,model_hash,origin_train_label,regime,signal_count,positive_count,base_rate,passed_count,passed_positive_count,precision,recall,coverage,lift_pp,precision_floor,sample_floor,passed_gate,gate_fail_reasons,survivor
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,train,251,67,0.26693227091633465,20,14,0.7,0.208955223880597,0.0796812749003984,43.30677290836653,0.45,20,True,[],False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,stress,500,148,0.296,44,21,0.4772727272727273,0.14189189189189189,0.088,18.127272727272732,0.5499999999999999,8,False,"[""precision<0.5500""]",False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,oos,252,130,0.5158730158730159,23,14,0.6086956521739131,0.1076923076923077,0.09126984126984126,9.282263630089716,0.5499999999999999,8,True,[],False
AAP,712e20e1c6328dee1426970e204e8ec5fc1c85007976bcae3e74c9e45b7a2a7f,train_2,train,250,101,0.404,21,19,0.9047619047619048,0.18811881188118812,0.084,50.076190476190476,0.48400000000000004,20,True,[],False
AAP,712e20e1c6328dee1426970e204e8ec5fc1c85007976bcae3e74c9e45b7a2a7f,train_2,stress,500,148,0.296,13,10,0.7692307692307693,0.06756756756756757,0.026,47.323076923076925,0.7547619047619047,8,True,[],False
AAP,712e20e1c6328dee1426970e204e8ec5fc1c85007976bcae3e74c9e45b7a2a7f,train_2,oos,252,130,0.5158730158730159,23,12,0.5217391304347826,0.09230769230769231,0.09126984126984126,0.5866114561766667,0.7547619047619047,8,False,"[""precision<0.7548""]",False
AAP,ef04cd28391a4e0979e0c1e2e189112153f00fd10ed80d2db6f53a849829e248,train_3,train,250,119,0.476,20,19,0.95,0.15966386554621848,0.08,47.4,0.5559999999999999,20,True,[],False
AAP,ef04cd28391a4e0979e0c1e2e189112153f00fd10ed80d2db6f53a849829e248,train_3,stress,500,148,0.296,4,4,1.0,0.02702702702702703,0.008,70.39999999999999,0.7999999999999999,8,False,"[""passed_count<8""]",False
AAP,ef04cd28391a4e0979e0c1e2e189112153f00fd10ed80d2db6f53a849829e248,train_3,oos,252,130,0.5158730158730159,17,11,0.6470588235294118,0.08461538461538462,0.06746031746031746,13.118580765639587,0.7999999999999999,8,False,"[""precision<0.8000""]",False
POWI,53ae64d1d94d8701989d27b7e82c132432cc6b2e9bc665c436a14e11738c7c04,train_1,train,251,112,0.44621513944223107,21,19,0.9047619047619048,0.16964285714285715,0.08366533864541832,45.85467653196737,0.5262151394422311,20,True,[],False
POWI,53ae64d1d94d8701989d27b7e82c132432cc6b2e9bc665c436a14e11738c7c04,train_1,stress,500,185,0.37,20,15,0.75,0.08108108108108109,0.04,38.0,0.7547619047619047,8,False,"[""precision<0.7548""]",False
POWI,53ae64d1d94d8701989d27b7e82c132432cc6b2e9bc665c436a14e11738c7c04,train_1,oos,252,123,0.4880952380952381,21,12,0.5714285714285714,0.0975609756097561,0.08333333333333333,8.333333333333332,0.7547619047619047,8,False,"[""precision<0.7548""]",False
POWI,14576253abb7520730c1ef6b9bd661342eba70772bfbc8a9e0dc11e8eb105da2,train_2,train,250,70,0.28,20,15,0.75,0.21428571428571427,0.08,47.0,0.45,20,True,[],False
POWI,14576253abb7520730c1ef6b9bd661342eba70772bfbc8a9e0dc11e8eb105da2,train_2,stress,500,185,0.37,28,18,0.6428571428571429,0.0972972972972973,0.056,27.285714285714292,0.6,8,True,[],False
POWI,14576253abb7520730c1ef6b9bd661342eba70772bfbc8a9e0dc11e8eb105da2,train_2,oos,252,123,0.4880952380952381,14,6,0.42857142857142855,0.04878048780487805,0.05555555555555555,-5.952380952380953,0.6,8,False,"[""precision<0.6000""]",False
POWI,371f129860ba34f22b625ad2618ea87117520c36220526dcd190bfc1af62ee59,train_3,train,250,104,0.416,20,18,0.9,0.17307692307692307,0.08,48.400000000000006,0.496,20,True,[],False
POWI,371f129860ba34f22b625ad2618ea87117520c36220526dcd190bfc1af62ee59,train_3,stress,500,185,0.37,35,19,0.5428571428571428,0.10270270270270271,0.07,17.28571428571428,0.75,8,False,"[""precision<0.7500""]",False
POWI,371f129860ba34f22b625ad2618ea87117520c36220526dcd190bfc1af62ee59,train_3,oos,252,123,0.4880952380952381,36,21,0.5833333333333334,0.17073170731707318,0.14285714285714285,9.523809523809529,0.75,8,False,"[""precision<0.7500""]",False
