feature,family,semantic_axis,success_direction,proposed_group,group_role,safe_sum_status,boundary_requirement,data_evidence
pullback_from_high5_pct,PRICE_PATH,PULLBACK_DEPTH,HIGHER,G1_PULLBACK_SETUP,CORE,SAFE_WITHIN_GROUP,AND_WITH_G2_G3_G4,"OOS r=0.1032; MI fraction=1.09%; close_pos5와 방향반전 후 동조"
fade_after_surge_score,PRICE_PATH,SURGE_THEN_FADE,HIGHER,G1_PULLBACK_SETUP,CORE,SAFE_WITHIN_GROUP,AND_WITH_G2_G3_G4,"OOS r=0.0598; single_up+recent weakness 조합"
close_pos5,PRICE_PATH,RANGE_LOCATION,LOWER_INVERT,G1_PULLBACK_SETUP,SUPPORT,SAFE_AFTER_INVERSION,AND_WITH_G2_G3_G4,"pullback과 raw r=-0.6597; 성공 방향으로 반전 필요"
ret_d1_pct,PRICE_PATH,LAST_DAY_WEAKNESS,LOWER_INVERT,G1_PULLBACK_SETUP,SUPPORT_NONLINEAR,SAFE_AFTER_INVERSION,AND_WITH_G2_G3_G4,"단순 r=-0.0125이나 MI fraction=1.07%; 단독 hard gate 금지"
single_up_day5_pct,PRICE_PATH,RECENT_IMPULSE,HIGHER,G2_VOLATILITY_REGIME,CORE,SAFE_WITHIN_GROUP,AND_WITH_G1_G3_G4,"OOS r=0.0468; fade와 r=0.7018; realized_vol5와 r=0.9427"
atr14_pct,VOLATILITY,VOLATILITY_CAPACITY,HIGHER,G2_VOLATILITY_REGIME,CORE,SAFE_WITHIN_GROUP,AND_WITH_G1_G3_G4,"전체 37개 중 OOS MI 1위; r=0.1780; regime 부호 안정"
realized_vol20_pct,VOLATILITY,CLOSE_RETURN_VOLATILITY,HIGHER,G2_VOLATILITY_REGIME,CORE,SAFE_WITHIN_GROUP,AND_WITH_G1_G3_G4,"OOS MI fraction=2.51%; BB width와 r=0.7266"
bb_width20_pct,VOLATILITY,DISPERSION_REGIME,HIGHER,G2_VOLATILITY_REGIME,CORE,SAFE_WITHIN_GROUP,AND_WITH_G1_G3_G4,"OOS r=0.1157; MI fraction=1.69%"
mean_range5_pct,VOLATILITY,RANGE_REGIME,HIGHER,G2_VOLATILITY_REGIME,ALTERNATE_TO_ATR,DO_NOT_DOUBLE_WEIGHT,AND_WITH_G1_G3_G4,"OOS r=0.1749이나 ATR과 r=0.8548; 동시 가중 시 같은 축 중복"
mean_range3_pct,VOLATILITY,RANGE_REGIME,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"mean_range5와 r=0.9475"
realized_vol10_pct,VOLATILITY,CLOSE_RETURN_VOLATILITY,HIGHER,,DIAGNOSTIC_ALTERNATE,DO_NOT_DOUBLE_WEIGHT,,"OOS MI fraction=2.01%; realized_vol20과 r=0.7571"
realized_vol5_pct,VOLATILITY,SHORT_IMPULSE_VOL,HIGHER,,DROP_REDUNDANT,UNSAFE_DOUBLE_WEIGHT,,"single_up_day5와 r=0.9427"
true_range_d1_pct,VOLATILITY,CURRENT_RANGE_WITH_GAP,HIGHER,G3_RANGE_EXPANSION,CORE,SAFE_WITHIN_GROUP,AND_WITH_G1_G2_G4,"OOS r=0.1434; MI fraction=2.62%"
range_vs_atr14,VOLATILITY,CURRENT_RANGE_NORMALIZED,HIGHER,G3_RANGE_EXPANSION,SUPPORT,SAFE_WITHIN_GROUP,AND_WITH_G1_G2_G4,"단독 MI 약하지만 현재 range가 장기 ATR 대비 확장됐는지 확인"
