,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score,atr14_pct,atr14_pct_chg1,true_range_d1_pct,intraday_range_d1_pct,range_vs_atr14,range_vs_range5,range_vs_range20,mean_range3_pct,mean_range5_pct,realized_vol5_pct,realized_vol10_pct,realized_vol20_pct,realized_vol5_vs20,bb_width20_pct,bb_width20_chg1_pctpoint,volume_ratio5_prior,volume_ratio10_prior,volume_ratio20_prior,volume_ratio5_inclusive,volume_chg1_pct,volume_chg3_pct,volume_ma5_vs20_ratio,volume_z20_prior,volume_surge_1_5,volume_surge_2_0
ret_d5_pct,1.00000000,-0.03343346,0.02203489,0.00947828,0.00223466,0.42277557,0.22219045,-0.07574002,0.04270367,0.00796829,0.37387134,0.44042453,-0.01550869,0.05030477,0.03478441,0.03557009,0.05303694,0.00477802,0.01282747,0.04181957,0.07271278,0.28560666,0.20283796,0.14728300,0.03925283,0.15505733,0.01226274,0.00582263,0.01869633,0.02390508,-0.00714598,0.01571135,0.01081310,0.07106295,0.02382637,0.00833594,0.00666448
ret_d4_pct,-0.03343346,1.00000000,-0.03385540,0.02135888,0.00936354,0.40528463,0.21758927,-0.21669152,0.15009123,-0.11109120,0.35453180,0.40926156,-0.02423930,0.02987510,0.03704192,0.04242324,0.05290019,-0.01096037,0.00280283,0.05781276,0.07110092,0.26872335,0.19370123,0.14183301,0.04077891,0.15234608,0.03307252,-0.00936177,0.00107558,0.00809147,-0.02170517,0.00430605,-0.01649872,0.06452847,0.00365127,-0.00055952,0.00126502
ret_d3_pct,0.02203489,-0.03385540,1.00000000,-0.03324084,0.02027319,0.43935685,0.21198959,-0.26208607,0.21056557,-0.16126759,0.35659950,0.43486080,-0.03092965,0.03458448,0.02898756,0.02583094,0.05087853,-0.01477553,-0.00370108,0.07995154,0.07644076,0.26788880,0.18779100,0.14055559,0.04575158,0.14504649,0.07944589,-0.00252654,0.00703164,0.01485714,-0.01942471,-0.00899511,-0.01290662,0.06147393,0.00246589,-0.00584161,-0.00565008
ret_d2_pct,0.00947828,0.02135888,-0.03324084,1.00000000,-0.03199495,0.42536626,0.21999317,-0.26179268,0.29686227,-0.21826328,0.34776610,-0.15111237,-0.03432555,0.11066199,0.06293720,0.07460901,0.08838994,0.01032575,0.02524881,0.08327876,0.08073263,0.26047808,0.18129478,0.13236109,0.05148325,0.13007468,0.10048374,0.01755134,0.02241926,0.02881556,0.01402139,-0.01193608,0.00656496,0.05932158,0.02127704,0.01474409,0.01579068
ret_d1_pct,0.00223466,0.00936354,0.02027319,-0.03199495,1.00000000,0.50504364,0.23080124,-0.19395899,0.44607121,-0.33231017,0.34693373,-0.15038182,-0.05019273,-0.53638193,0.16663025,0.10458350,0.14457043,0.01526470,0.03645603,0.08462352,0.06488027,0.25156608,0.18203713,0.13293747,0.04452609,0.11080459,0.52151714,0.17299006,0.18754764,0.22178620,0.09288524,0.18319097,0.15646626,0.04752955,0.12800685,0.06552856,0.06962491
cumulative_ret5_pct,0.42277557,0.40528463,0.43935685,0.42536626,0.50504364,1.00000000,0.48395987,-0.44285551,0.50181589,-0.34839310,0.79975148,0.41147759,-0.06972616,-0.13462648,0.16975960,0.13827857,0.18348681,0.00900645,0.04278681,0.15932184,0.16115234,0.59941208,0.42839231,0.31471720,0.08625714,0.31450287,0.41505207,0.10770897,0.13507320,0.16720685,0.03864825,0.10888311,0.08782023,0.14051208,0.09942667,0.04228621,0.04717395
up_days5,0.22219045,0.21758927,0.21198959,0.21999317,0.23080124,0.48395987,1.00000000,-0.57556847,0.63156404,-0.44658347,0.12235034,-0.02102470,-0.15921050,-0.13007489,-0.03076547,-0.03691950,0.09039001,-0.01991511,-0.02136582,-0.04254048,-0.04213983,-0.00697629,-0.02803776,-0.01127513,0.00517288,0.02078239,0.06237173,0.02118496,0.03090962,0.02625452,0.01609304,0.01338013,0.01491032,0.02833625,0.02309149,0.02728992,0.01973699
days_since_high5,-0.07574002,-0.21669152,-0.26208607,-0.26179268,-0.19395899,-0.44285551,-0.57556847,1.00000000,-0.64795354,0.44565509,-0.13763255,0.02308209,0.15163687,0.01165914,-0.07239035,-0.06504912,-0.24458603,-0.16344449,-0.13877361,-0.00523701,0.04483956,0.00869199,0.03859768,0.02278796,-0.02070915,-0.00466487,-0.07413713,-0.13264647,-0.11697972,-0.10402676,-0.16295939,-0.06954204,-0.12049020,-0.00505815,-0.10324805,-0.11114522,-0.05986926
close_pos5,0.04270367,0.15009123,0.21056557,0.29686227,0.44607121,0.50181589,0.63156404,-0.64795354,1.00000000,-0.65972707,0.16086861,-0.15271428,-0.19117753,-0.31995832,-0.06671010,-0.07289257,0.07204422,-0.05019079,-0.05540932,-0.06922453,-0.06208944,-0.00578095,-0.03772992,-0.03291758,0.03509527,0.00342944,0.07952432,0.00743737,0.00381507,0.00069753,0.00494107,0.00107345,-0.00139742,0.00521650,-0.00640358,0.01751038,0.00280150
pullback_from_high5_pct,0.00796829,-0.11109120,-0.16126759,-0.21826328,-0.33231017,-0.34839310,-0.44658347,0.44565509,-0.65972707,1.00000000,0.12158962,0.41223061,0.62327133,0.42419708,0.46365927,0.46118781,0.04142421,0.07218631,0.16423386,0.54778924,0.55637880,0.36727107,0.34648719,0.29958691,0.14124343,0.33580779,0.08086973,0.08393431,0.13416537,0.16025190,0.03449069,0.04548031,0.06056753,0.23479713,0.13336389,0.04768364,0.07887704
single_up_day5_pct,0.37387134,0.35453180,0.35659950,0.34776610,0.34693373,0.79975148,0.12235034,-0.13763255,0.16086861,0.12158962,1.00000000,0.70176186,0.24816658,0.01806844,0.37798659,0.34837018,0.17113785,0.02956383,0.10986636,0.42425231,0.44625963,0.94274713,0.69653899,0.52116268,0.27425336,0.49520311,0.37627207,0.10942586,0.15500278,0.20045938,0.01557712,0.10719563,0.08527214,0.25249951,0.12793421,0.04330873,0.07409096
fade_after_surge_score,0.44042453,0.40926156,0.43486080,-0.15111237,-0.15038182,0.41147759,-0.02102470,0.02308209,-0.15271428,0.41223061,0.70176186,1.00000000,0.34775206,0.23907964,0.31328210,0.31532184,0.07821241,0.00919738,0.08755134,0.41872197,0.46253286,0.73945761,0.56060138,0.43056102,0.25236707,0.43865479,0.07021582,0.02079966,0.06531394,0.09191294,-0.02781326,0.02189361,0.00677852,0.24540488,0.07242636,0.01608661,0.03681004
atr14_pct,-0.01550869,-0.02423930,-0.03092965,-0.03432555,-0.05019273,-0.06972616,-0.15921050,0.15163687,-0.19117753,0.62327133,0.24816658,0.34775206,1.00000000,0.07742210,0.61887652,0.66994236,-0.00671432,-0.00454722,0.01340946,0.80622876,0.85476512,0.42842632,0.48165144,0.50655186,0.00999211,0.60311390,0.00422243,0.01592431,0.01878084,0.02522921,-0.01079992,0.01713723,0.01626434,0.03718312,0.01618866,0.01470176,0.03783118
atr14_pct_chg1,0.05030477,0.02987510,0.03458448,0.11066199,-0.53638193,-0.13462648,-0.13007489,0.01165914,-0.31995832,0.42419708,0.01806844,0.23907964,0.07742210,1.00000000,0.48004795,0.40856088,0.42110381,0.45323158,0.49693551,0.18237868,0.11996150,0.10004402,0.04422292,0.00647499,0.15263951,0.00292007,0.06088785,0.33746961,0.35411077,0.33503377,0.31380414,0.27260807,0.32473304,0.15883325,0.32556660,0.22389408,0.21846535
true_range_d1_pct,0.03478441,0.03704192,0.02898756,0.06293720,0.16663025,0.16975960,-0.03076547,-0.07239035,-0.06671010,0.46365927,0.37798659,0.31328210,0.61887652,0.48004795,1.00000000,0.93377325,0.61701228,0.53726434,0.61079227,0.76352054,0.70916084,0.49750852,0.42538249,0.37429233,0.23220053,0.42640957,0.30422536,0.48260585,0.51032302,0.51407003,0.42487951,0.40103945,0.45885231,0.24109402,0.46116404,0.32091853,0.32059274
intraday_range_d1_pct,0.03557009,0.04242324,0.02583094,0.07460901,0.10458350,0.13827857,-0.03691950,-0.06504912,-0.07289257,0.46118781,0.34837018,0.31532184,0.66994236,0.40856088,0.93377325,1.00000000,0.66721466,0.56057086,0.63399792,0.83138277,0.77821626,0.46753898,0.41482158,0.37985516,0.19309171,0.44938321,0.20572245,0.35894269,0.38018027,0.38918609,0.34058951,0.29440550,0.33835560,0.21483130,0.35435586,0.25369022,0.22511342
range_vs_atr14,0.05303694,0.05290019,0.05087853,0.08838994,0.14457043,0.18348681,0.09039001,-0.24458603,0.07204422,0.04142421,0.17113785,0.07821241,-0.00671432,0.42110381,0.61701228,0.66721466,1.00000000,0.86910724,0.94223579,0.33041105,0.22069248,0.16856910,0.07677337,0.02357834,0.26771847,0.03937369,0.20568117,0.47388416,0.49324799,0.49059518,0.50085482,0.37510377,0.44677195,0.24684795,0.48233918,0.35484953,0.27019797
range_vs_range5,0.00477802,-0.01096037,-0.01477553,0.01032575,0.01526470,0.00900645,-0.01991511,-0.16344449,-0.05019079,0.07218631,0.02956383,0.00919738,-0.00454722,0.45323158,0.53726434,0.56057086,0.86910724,1.00000000,0.88995349,0.15298560,0.02587643,0.04033741,-0.00862507,-0.00735009,0.09184823,-0.03249097,0.10327419,0.53170350,0.48384897,0.43435374,0.57387013,0.42707809,0.51324078,0.04277725,0.44943628,0.40923036,0.31769118
range_vs_range20,0.01282747,0.00280283,-0.00370108,0.02524881,0.03645603,0.04278681,-0.02136582,-0.13877361,-0.05540932,0.16423386,0.10986636,0.08755134,0.01340946,0.49693551,0.61079227,0.63399792,0.94223579,0.88995349,1.00000000,0.28879901,0.17472777,0.15136401,0.05705390,-0.01283793,0.31496504,-0.01358740,0.19890489,0.49755024,0.52692159,0.53202066,0.51112378,0.39403406,0.47035228,0.29094834,0.52429473,0.37434579,0.30723576
mean_range3_pct,0.04181957,0.05781276,0.07995154,0.08327876,0.08462352,0.15932184,-0.04254048,-0.00523701,-0.06922453,0.54778924,0.42425231,0.41872197,0.80622876,0.18237868,0.76352054,0.83138277,0.33041105,0.15298560,0.28879901,1.00000000,0.94746429,0.57021526,0.51097548,0.46356088,0.23406319,0.55878342,0.15484254,0.13814854,0.19155880,0.22667404,0.09316017,0.05000982,0.09112223,0.28016291,0.18569184,0.08518581,0.09285174
mean_range5_pct,0.07271278,0.07110092,0.07644076,0.08073263,0.06488027,0.16115234,-0.04213983,0.04483956,-0.06208944,0.55637880,0.44625963,0.46253286,0.85476512,0.11996150,0.70916084,0.77821626,0.22069248,0.02587643,0.17472777,0.94746429,1.00000000,0.59966767,0.55335622,0.50001903,0.23407829,0.60654151,0.11407387,0.04528293,0.10305502,0.14593850,-0.00888321,0.02387642,0.02023805,0.28239466,0.11451274,0.02846623,0.05333673
realized_vol5_pct,0.28560666,0.26872335,0.26788880,0.26047808,0.25156608,0.59941208,-0.00697629,0.00869199,-0.00578095,0.36727107,0.94274713,0.73945761,0.42842632,0.10004402,0.49750852,0.46753898,0.16856910,0.04033741,0.15136401,0.57021526,0.59966767,1.00000000,0.75236538,0.57164907,0.37655255,0.54703940,0.34453241,0.11682143,0.17626116,0.22761428,0.01136033,0.10745175,0.08862835,0.31577813,0.15368495,0.04740322,0.09070889
