analysis_scope,feature,label,label_definition,label_entropy_bits,label_positive_rate,mi_entropy_fraction,mutual_information_bits,pearson_corr,sample_count,within_ticker_rank_mi_bits,within_ticker_rank_pearson_corr
50_TICKER_COMMON_DATE_INTERSECTION,pullback_from_high5_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.01744681619349457,0.017330263877190163,0.12986659109919257,75000,0.002293551790667739,0.06873810314558458
50_TICKER_COMMON_DATE_INTERSECTION,fade_after_surge_score,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.026300847400780612,0.02612514630716373,0.10083973817900677,75000,0.011255327466855477,0.04695963106501218
50_TICKER_COMMON_DATE_INTERSECTION,inv_close_pos5,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.003868465012492882,0.003842621984587497,0.03561400058999323,75000,0.00188492921259169,0.024455093993873085
50_TICKER_COMMON_DATE_INTERSECTION,inv_ret_d1_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.010014587104198633,0.009947685309001076,0.006551200394158791,75000,0.002043046627133339,0.017987664637806117
50_TICKER_COMMON_DATE_INTERSECTION,single_up_day5_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.10005885827403775,0.09939042160517653,0.09105261384187457,75000,0.031628462729204165,0.03985402240400364
50_TICKER_COMMON_DATE_INTERSECTION,atr14_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.04983962476863048,0.04950667440988867,0.2204677144002688,75000,0.015477105702826342,0.14034966990042919
50_TICKER_COMMON_DATE_INTERSECTION,realized_vol20_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.04071157006556737,0.04043959908020786,0.15890996432279916,75000,0.007264350162670955,0.10738709540315225
50_TICKER_COMMON_DATE_INTERSECTION,bb_width20_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.028336711177197844,0.02814740962856441,0.15544359639918762,75000,0.00010249453131513993,0.08013516100243251
50_TICKER_COMMON_DATE_INTERSECTION,true_range_d1_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.038700182289559105,0.03844164824889369,0.17135346288753536,75000,0.00940709125774971,0.11387792739644106
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_atr14,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.004101506582644305,0.0040741067357471265,0.05135250708160097,75000,0.0004806508808777908,0.04212674804415619
50_TICKER_COMMON_DATE_INTERSECTION,range_vs_range20,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.003961236228864436,0.003934773448906036,0.044712162573620616,75000,0.0009608882951482014,0.04662933066432065
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio5_prior,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.0,0.0,0.002994024180597413,75000,0.0,0.031228337203377
50_TICKER_COMMON_DATE_INTERSECTION,volume_ratio20_prior,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.0016995296219547932,0.0016881760252945243,0.01258115985138196,75000,0.002134741299490893,0.040226387196771324
50_TICKER_COMMON_DATE_INTERSECTION,volume_chg1_pct,L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",0.9933195652999505,0.45192,0.0018471762349248565,0.0018348362947079578,-0.0059380218927167034,75000,0.0,0.014541082172394654
