ticker,sample_count_common,L0_FIXED_3PCT_positive_count,L0_FIXED_3PCT_positive_rate,L1_ATR14_1_5X_positive_count,L1_ATR14_1_5X_positive_rate,L2_RV20_1_0X_2D_positive_count,L2_RV20_1_0X_2D_positive_rate
AA,1500,800,0.5333333333333333,306,0.204,550,0.36666666666666664
AAOI,1500,916,0.6106666666666667,320,0.21333333333333335,554,0.36933333333333335
AAP,1500,565,0.37666666666666665,266,0.17733333333333334,538,0.3586666666666667
ABEV,1500,455,0.30333333333333334,244,0.16266666666666665,510,0.34
ACLS,1500,773,0.5153333333333333,291,0.194,542,0.36133333333333334
ACMR,1500,869,0.5793333333333334,300,0.2,503,0.3353333333333333
ADMA,1500,767,0.5113333333333333,257,0.17133333333333334,530,0.35333333333333333
ADPT,1500,865,0.5766666666666667,284,0.18933333333333333,545,0.36333333333333334
AEIS,1500,634,0.4226666666666667,283,0.18866666666666668,535,0.3566666666666667
AEVA,1500,845,0.5633333333333334,310,0.20666666666666667,550,0.36666666666666664
ALGT,1500,714,0.476,237,0.158,517,0.3446666666666667
AMD,1500,750,0.5,331,0.22066666666666668,535,0.3566666666666667
ANET,1500,634,0.4226666666666667,315,0.21,538,0.3586666666666667
APA,1500,726,0.484,288,0.192,559,0.37266666666666665
ARKG,1500,665,0.44333333333333336,263,0.17533333333333334,540,0.36
ARKW,1500,599,0.3993333333333333,275,0.18333333333333332,545,0.36333333333333334
AVGO,1500,568,0.37866666666666665,292,0.19466666666666665,538,0.3586666666666667
BB,1500,751,0.5006666666666667,282,0.188,526,0.3506666666666667
BCS,1500,431,0.28733333333333333,290,0.19333333333333333,452,0.30133333333333334
BE,1500,911,0.6073333333333333,303,0.202,557,0.37133333333333335
BELFB,1500,757,0.5046666666666667,298,0.19866666666666666,547,0.36466666666666664
BIDU,1500,622,0.4146666666666667,302,0.20133333333333334,463,0.30866666666666664
BMI,1500,457,0.30466666666666664,249,0.166,532,0.3546666666666667
BN,1500,423,0.282,287,0.19133333333333333,534,0.356
BNTX,1500,666,0.444,293,0.19533333333333333,518,0.3453333333333333
BTU,1500,813,0.542,305,0.20333333333333334,573,0.382
BWXT,1500,405,0.27,257,0.17133333333333334,524,0.34933333333333333
C,1500,431,0.28733333333333333,281,0.18733333333333332,557,0.37133333333333335
CAMT,1500,801,0.534,323,0.21533333333333332,574,0.38266666666666665
CAN,1500,908,0.6053333333333333,264,0.176,489,0.326
CAPR,1500,858,0.572,278,0.18533333333333332,520,0.3466666666666667
CARR,1500,472,0.31466666666666665,293,0.19533333333333333,542,0.36133333333333334
CAT,1500,452,0.30133333333333334,315,0.21,562,0.37466666666666665
CBRL,1500,619,0.4126666666666667,270,0.18,505,0.33666666666666667
CCL,1500,725,0.48333333333333334,294,0.196,519,0.346
CDE,1500,846,0.564,293,0.19533333333333333,547,0.36466666666666664
CE,1500,548,0.36533333333333334,249,0.166,526,0.3506666666666667
CEF,1500,219,0.146,331,0.22066666666666668,506,0.3373333333333333
CIEN,1500,593,0.3953333333333333,310,0.20666666666666667,551,0.36733333333333335
CLDX,1500,831,0.554,269,0.17933333333333334,575,0.38333333333333336
CLF,1500,767,0.5113333333333333,293,0.19533333333333333,529,0.3526666666666667
CMC,1500,601,0.40066666666666667,263,0.17533333333333334,573,0.382
COHR,1500,803,0.5353333333333333,319,0.21266666666666667,572,0.38133333333333336
CRK,1500,804,0.536,322,0.21466666666666667,581,0.3873333333333333
CRMD,1500,814,0.5426666666666666,260,0.17333333333333334,490,0.32666666666666666
CRS,1500,763,0.5086666666666667,303,0.202,571,0.38066666666666665
CSIQ,1500,807,0.538,289,0.19266666666666668,527,0.35133333333333333
MPC,1500,614,0.4093333333333333,297,0.198,625,0.4166666666666667
POWI,1500,592,0.39466666666666667,258,0.172,500,0.3333333333333333
STLD,1500,645,0.43,311,0.20733333333333334,600,0.4
