original_path,copy_path,original_sha256,scope_reason
scripts/research/run_stage2_path_filter.py,scripts/research/rolling_rediscovery/upstream_snapshot/scripts/research/run_stage2_path_filter.py,52fda4ce2b047561f3b2eda5f6d5985e0b24232f2eade96a3a199734ad155a44,기준 runner@85e0d2d 골격
scripts/research/run_stage2.py,scripts/research/rolling_rediscovery/upstream_snapshot/scripts/research/run_stage2.py,9a83b1490b669176fbfdd50d6ce48c1fbdfdd9fa1c6525d91ed83af82c70165c,stage2 학습·검증 orchestration
engine/core/config.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/config.py,7067d89332380bc0183a1154948ee1fed631c6c9105fac808502f03f1810a173,GA 및 실행 설정 로더
engine/core/logger.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/logger.py,3f3af53d04b564cff2232ba71ca9b655e17c479db9760d4787bd44fa30a3035d,학습 로그 의존성
engine/core/metadata.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/metadata.py,f0ffacab85253eec7d73e45cf6bcdc195d2c2741e393a2cc77f319d826ccfcbf,rulebook hash
engine/core/data_loader.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/data_loader.py,ce8b9dde5cfce4dbdf4360abca8c19172133ff4ba6c1b6c93d3fba1c55e02057,가격 데이터 로더
engine/core/exit_policy.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/exit_policy.py,fcc1c60006a0a8876a148744c090b09d1d601fa9d7a84099f38a9091a737e5e3,기존 청산 정책 의존성
engine/core/feature_lag.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/feature_lag.py,a7eb70be2dd5d4c51842d988567915780d6971c7b82ae61ca75210c4583e6ca8,D-1 feature lag 의존성
engine/core/indicators.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/core/indicators.py,21c82425537e32600821e4460bdea53b09dc90597971b9a7fbdc4f3dfa50db38,signal indicator 계산
engine/learning/backtest.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/backtest.py,734519f71fd6bbf0d6c07c27c2626a5a93b309c4c6cca1de87bad4c9854f812e,백테스트 context
engine/learning/ensemble_backtest.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/ensemble_backtest.py,c534d9f3b3c54558de16eed64fcaad69da18ec32cd4280913f738b194ccd7c22,학습 백테스트 의존성
engine/learning/execution_mode_backtest.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/execution_mode_backtest.py,efd0a9edea250efaa6b70163bd5d44b5695098be74c485b0cb78643a559bcae0,stage2 실행모드 백테스트
engine/learning/fitness_cache.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/fitness_cache.py,a759913bd67a4985356b30f1b3ccc2baadd44a0f3aa2a3efb2a26eab0b888c41,fitness cache
engine/learning/genetic.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/genetic.py,89611d799fdca69d7a8e149898f5652f7e4ef5d020349f567919a548bf4361ad,기존 GA
engine/learning/learner.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/learner.py,47c76dd3ec3d1227d5a07dc2f747a002b71fc477e7e9be3246a4e4b7ddd6bfc0,학습 orchestration 의존성
engine/learning/stock_grade.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/learning/stock_grade.py,7c0e88e2644b09a9efeda65a3e8c466a934ab4f067833cf52f1de9b75984a6a0,학습 성과 등급 의존성
engine/pipeline/context.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/context.py,33740d9032eb838716070b603d39b13fb87e6e883f7ec46583b16038ec34d74d,ticker context 준비
engine/pipeline/scoring.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/scoring.py,a86b10787499cf9e1c1cbd2e375bf9f6a3c8a6cdff600336dc371c947af25122,pipeline scoring
engine/pipeline/stage2_gate.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/stage2_gate.py,b3018f9323fb7f0194990ce726979841b9db5c5a852711dac3fb7a1d3357f15a,stage2 survivor gate
engine/pipeline/topn_survivor.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/topn_survivor.py,d457da84972078087dceec6260dad66273229bfb657c152a9725f6fb07cbc306,period survivor scoring
engine/strategies/evaluator.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/strategies/evaluator.py,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,signal 평가
engine/strategies/exit_simulator.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/strategies/exit_simulator.py,9d2c26e7c081ca1e8d5a6f4e5935af15adbf71921006ea76c27f788afae31a2d,기존 exit simulation
engine/strategies/news_features.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/strategies/news_features.py,61ef044d3b7a30d9db181caf84bc597c6b8763fa2891a4cfe6aec012b5f9abb2,topic feature 의존성
engine/strategies/rulebook.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/strategies/rulebook.py,c7b2892f410cd1b25b8090fe26b2b6daaa0aa4bfeaa28555cf4c8b6d12cb15dc,개체 gene schema
engine/market/context.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/market/context.py,8b89e472c26e01c0301aa9c658a2ff2d1f355c346278f86b41578c382a1b8252,시장 context
engine/market/ticker_sentiment.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/market/ticker_sentiment.py,4b900f7168cca654991a15b8995150cbb865216d40d66006ef2f5416a1ed433f,ticker sentiment feature
engine/market/colab_v32.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/market/colab_v32.py,a2297dc4c910a2ec8e77b7cb83c1c7bb37ad4f674786f6279bee904fb388b639,시장 scoring 의존성
engine/live/market_clock.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/live/market_clock.py,327391654407da6212e35a9b80007198d3bd55a07a7e3f369ad523ee5e21c6ce,거래일 판단
engine/live/us_market_calendar.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/live/us_market_calendar.py,02373d464483425e2ed077383ee92fdd31da07c387ac2b7c97c687afb7edce9f,미국 거래일 달력
engine/adapters/base.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/base.py,912acbfda00f501bd0ede0450708ebeadf81dbfd0552fdbd49e889f2492566a8,데이터 adapter base
engine/adapters/factory.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/factory.py,25ea4310a61ef84a4eb59ee9af85530629289eca79633d9697a3e8b2ab781c8c,adapter 선택
engine/adapters/korean_etf.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/korean_etf.py,87fa6fffe3d75a09fca6ee149f34a148ecb1f87725a58bd11ba91554f5b6926f,한국 ETF adapter
engine/adapters/korean_stock.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/korean_stock.py,5011fde2e37d8225b868776a2f7280a7d2fdc56ce36c484697a731ce35ead9e3,한국 주식 adapter
engine/adapters/us_etf.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/us_etf.py,f8bc97923380064f5cc3dc796d99e47b3600e952f39ef88a522eb02b1ebe389b,미국 ETF adapter
engine/adapters/us_stock.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/adapters/us_stock.py,04fc99f7551299d91aefb457bcd435ba415ceec8b7dc8dedadd39e6c140e5adf,미국 주식 adapter
scripts/research/run_stage3_aggressive.py,scripts/research/rolling_rediscovery/upstream_snapshot/scripts/research/run_stage3_aggressive.py,8f275ca52745b6b9f92d56e0e24d8043ccef8644b5c5d996217b9c6226e701c0,stage3 orchestration wrapper
scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,scripts/research/rolling_rediscovery/upstream_snapshot/scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,bc3e191a449d6b67980dd0884a2a510acf9ecda719a8b12e76b0e8178de33004,stage3 wrapper가 동적 로드하는 원본 orchestration
engine/pipeline/exit_gene.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/exit_gene.py,79a2d8d22557defd6692af917707febb9472fb8e4e8eb0fb820b285c317d9073,stage3 청산 gene 의존성
engine/pipeline/stage3_gate.py,scripts/research/rolling_rediscovery/upstream_snapshot/engine/pipeline/stage3_gate.py,6447efa706edfe9c31c92e652ca504da1c8f16215d79f0eee3352f37520fc36a,stage3 qualification/profile gate
