all_feature_and,bilateral,domain_max_train,domain_min_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,ticker,width_norm
True,True,30.926994154796294,-16.30996511474182,True,4,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.8032605373012794,21.63362016858602,0.03901228382321999,-14.467143452772717,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.7642482534780595
True,True,30.926994154796294,-16.30996511474182,True,9,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.6434997746106421,14.087007528498038,0.1121091278144798,-11.014270810425796,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.5313906467961623
True,True,30.926994154796294,-16.30996511474182,True,1,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8883619131338995,25.653550392573145,0.10959270532005906,-11.133138957299698,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.7787692078138404
True,True,30.926994154796294,-16.30996511474182,True,1,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.6316799358553341,13.528674286641046,0.0027541025994823596,-16.179869682425945,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.6289258332558517
True,True,30.926994154796294,-16.30996511474182,True,4,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.721967532995329,17.793585835287452,0.05511445999699721,-13.706525612701077,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.6668530729983317
True,True,53.44978154959592,-19.98069269733318,True,1,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.6560023858787539,28.189873604860704,0.012166112145046232,-19.08732931278111,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.6438362737337077
True,True,5.0,0.0,True,3,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.5378434755370114,2.6892173776850568,0.1214480885805771,0.6072404429028855,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.4163953869564343
True,True,4.0,0.0,True,2,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.7140555365981964,2.8562221463927857,0.030156075763528144,0.12062430305411258,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.6838994608346682
True,True,1.0,0.0,True,3,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,1.0,1.0,0.2508827599069058,0.2508827599069058,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.7491172400930942
True,True,29.07756919719633,0.0,True,4,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.6343581555992229,18.44559316524224,0.12892018294689128,3.7486855405534416,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,False,ADMA,0.5054379726523317
