all_min_width_pass,bilateral_gene_pass,model_hash,near_full_gene_count,oos_precision,stress_precision,strict_all_feature_and,survivor,thin_sample_rejected,ticker,train_precision,train_to_oos_precision_gap,train_to_stress_precision_gap,weighted_sum_path_present,symbol_hhi_oos_passed_count,completed_symbols,worker_error_count,configured_workers,observed_unique_worker_pids,upper_fallback_applied_count,rolling_max_holding_sessions,rolling_oos_avg_return_pct_survivors,fixed_oos_avg_return_pct_survivors
True,True,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0,0.75,0.5,True,False,False,ADMA,0.8,0.050000000000000044,0.30000000000000004,False,,,,,,,,,
True,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0,0.5555555555555556,0.6111111111111112,True,False,False,CRS,0.8571428571428571,0.3015873015873015,0.24603174603174593,False,,,,,,,,,
True,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0,0.42857142857142855,0.6923076923076923,True,False,False,ALGT,0.9565217391304348,0.5279503105590062,0.2642140468227425,False,,,,,,,,,
True,True,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0,0.4444444444444444,0.4,True,False,False,AEIS,0.8,0.3555555555555556,0.4,False,,,,,,,,,
True,True,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0,0.125,0.4375,True,False,False,ARKW,0.75,0.625,0.3125,False,,,,,,,,,
True,True,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0,0.5833333333333334,0.5384615384615384,True,False,False,CBRL,0.8181818181818182,0.23484848484848486,0.2797202797202798,False,,,,,,,,,
True,True,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0,0.6153846153846154,0.6666666666666666,True,False,False,BTU,0.6,-0.015384615384615441,-0.06666666666666665,False,,,,,,,,,
True,True,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0,0.4,0.36363636363636365,True,False,True,BB,0.9090909090909091,0.509090909090909,0.5454545454545454,False,,,,,,,,,
True,True,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0,0.0,0.3333333333333333,True,False,True,BN,0.65,0.65,0.3166666666666667,False,,,,,,,,,
True,True,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0,0.75,0.3333333333333333,True,False,True,ACMR,0.8095238095238095,0.059523809523809534,0.4761904761904762,False,,,,,,,,,
True,True,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0,0.35714285714285715,0.5294117647058824,True,False,False,CARR,0.5714285714285714,0.21428571428571425,0.04201680672268904,False,,,,,,,,,
True,True,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0,0.75,0.5714285714285714,True,False,False,CRK,0.8636363636363636,0.11363636363636365,0.29220779220779225,False,,,,,,,,,
True,True,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0,0.6666666666666666,0.7058823529411765,True,False,True,CLDX,0.85,0.18333333333333335,0.14411764705882346,False,,,,,,,,,
True,True,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0,0.5,0.43478260869565216,True,False,False,ADPT,0.875,0.375,0.44021739130434784,False,,,,,,,,,
