active_days,decision_threshold,evaluated_days,holding_over_20_sessions_count,holding_over_60_sessions_count,infinite_holding_risk_flag,max_holding_sessions,model_hash,near_threshold_crossing_count,one_session_whipsaw_count,period_end_open_position_count,regime,rolling_trade_count,survivor,threshold_crossing_count,ticker,two_or_less_session_cycle_count,whipsaw_rate
20,0.5913182423435419,751,0,0,False,2,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0,14,0,train,17,False,33,ADMA,17,0.8235294117647058
34,0.5913182423435419,515,0,0,False,2,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0,16,0,stress,25,False,50,ADMA,25,0.64
8,0.5913182423435419,252,0,0,False,1,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0,8,0,oos,8,False,16,ADMA,8,1.0
21,0.5819973368841544,751,0,0,False,2,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0,17,0,train,19,False,38,CRS,19,0.8947368421052632
18,0.5819973368841544,515,0,0,False,1,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0,18,1,stress,18,False,35,CRS,18,1.0
9,0.5819973368841544,252,0,0,False,2,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0,5,0,oos,7,False,14,CRS,7,0.7142857142857143
23,0.5527030625832223,751,0,0,False,2,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0,19,0,train,21,False,42,ALGT,21,0.9047619047619048
13,0.5527030625832223,515,0,0,False,2,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0,11,0,stress,12,False,24,ALGT,12,0.9166666666666666
14,0.5527030625832223,252,0,0,False,2,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0,12,0,oos,13,False,26,ALGT,13,0.9230769230769231
20,0.4741411451398136,751,0,0,False,2,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0,14,0,train,17,False,33,AEIS,17,0.8235294117647058
10,0.4741411451398136,515,0,0,False,1,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0,10,0,stress,10,False,20,AEIS,10,1.0
9,0.4741411451398136,252,0,0,False,1,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0,9,0,oos,9,False,18,AEIS,9,1.0
24,0.5140878828229027,751,0,0,False,2,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0,14,0,train,19,False,38,ARKW,19,0.7368421052631579
16,0.5140878828229027,515,0,0,False,2,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0,10,0,stress,13,False,26,ARKW,13,0.7692307692307693
8,0.5140878828229027,252,0,0,False,2,6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,0,6,0,oos,7,False,14,ARKW,7,0.8571428571428571
22,0.5127563249001331,751,0,0,False,2,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0,18,0,train,20,False,39,CBRL,20,0.9
13,0.5127563249001331,515,0,0,False,2,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0,11,1,stress,12,False,23,CBRL,12,0.9166666666666666
12,0.5127563249001331,252,0,0,False,2,eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,0,10,0,oos,11,False,22,CBRL,11,0.9090909090909091
20,0.520745672436751,751,0,0,False,2,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0,18,0,train,19,False,38,BTU,19,0.9473684210526315
15,0.520745672436751,515,0,0,False,2,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0,11,0,stress,13,False,26,BTU,13,0.8461538461538461
13,0.520745672436751,252,0,0,False,2,e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,0,11,0,oos,12,False,24,BTU,12,0.9166666666666666
22,0.5886551264980027,751,0,0,False,2,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0,12,0,train,17,False,34,BB,17,0.7058823529411765
11,0.5886551264980027,515,0,0,False,2,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0,9,0,stress,10,False,20,BB,10,0.9
5,0.5886551264980027,252,0,0,False,2,5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,0,3,0,oos,4,False,8,BB,4,0.75
20,0.45,751,0,0,False,1,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0,20,0,train,20,False,40,BN,20,1.0
12,0.45,515,0,0,False,1,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0,12,0,stress,12,False,24,BN,12,1.0
4,0.45,252,0,0,False,1,ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,0,4,0,oos,4,False,8,BN,4,1.0
21,0.6312649800266311,751,0,0,False,1,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0,21,0,train,21,False,42,ACMR,21,1.0
12,0.6312649800266311,515,0,0,False,1,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0,12,0,stress,12,False,24,ACMR,12,1.0
4,0.6312649800266311,252,0,0,False,1,16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,0,4,0,oos,4,False,8,ACMR,4,1.0
21,0.45,751,0,0,False,1,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0,21,0,train,21,False,42,CARR,21,1.0
17,0.45,515,0,0,False,1,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0,17,0,stress,17,False,34,CARR,17,1.0
14,0.45,252,0,0,False,1,0b1996f62668cbb721904d4f2c942edea70d683ac38d66dbe9e4fa26337b247f,0,14,0,oos,14,False,28,CARR,14,1.0
22,0.5966444740346205,751,0,0,False,2,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0,18,0,train,20,False,40,CRK,20,0.9
14,0.5966444740346205,515,0,0,False,2,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0,10,0,stress,12,False,24,CRK,12,0.8333333333333334
8,0.5966444740346205,252,0,0,False,1,2a6c86d57ae7e75332bd014b7ecea558aa139f8ac2f673a8ec9c35e9489984e9,0,8,0,oos,8,False,16,CRK,8,1.0
20,0.5926498002663115,751,0,0,False,2,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0,14,0,train,17,False,33,CLDX,17,0.8235294117647058
17,0.5926498002663115,515,0,0,False,2,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0,15,0,stress,16,False,32,CLDX,16,0.9375
3,0.5926498002663115,252,0,0,False,1,56640a2e08ea95b18f22b46a8ce77198e3b06e548ce5ca4c431e260fd93c347f,0,3,0,oos,3,False,6,CLDX,3,1.0
24,0.6885219707057256,751,0,0,False,1,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0,24,0,train,24,False,48,ADPT,24,1.0
23,0.6885219707057256,515,0,0,False,2,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0,19,0,stress,21,False,42,ADPT,21,0.9047619047619048
12,0.6885219707057256,252,0,0,False,2,dc7941ba24d7920388389f92575ff6347d49ab1bf007a795eeb7cb795748bcdd,0,10,0,oos,11,False,22,ADPT,11,0.9090909090909091
20,0.47280958721704397,751,0,0,False,2,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0,16,0,train,18,False,36,BIDU,18,0.8888888888888888
12,0.47280958721704397,515,0,0,False,1,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0,12,1,stress,12,False,23,BIDU,12,1.0
10,0.47280958721704397,252,0,0,False,2,69069e6c5d7f3b8c18e21802d711ba1d734a18afd78ff91337b26492e833c72e,0,6,0,oos,8,False,16,BIDU,8,0.75
0,0.45,751,0,0,False,0,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0,0,0,train,0,False,0,CEF,0,0.0
0,0.45,515,0,0,False,0,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0,0,0,stress,0,False,0,CEF,0,0.0
0,0.45,252,0,0,False,0,27dd92b1e3bca39fceabf378663718b635b983dc9e941f6d305cfb989111324d,0,0,0,oos,0,False,0,CEF,0,0.0
27,0.5780026631158455,751,0,0,False,2,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0,19,0,train,23,False,46,AMD,23,0.8260869565217391
24,0.5780026631158455,515,0,0,False,2,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0,20,0,stress,22,False,44,AMD,22,0.9090909090909091
14,0.5780026631158455,252,0,0,False,2,af07349ef39efa21e0bc674cd521e42b1877851aad554f4cce56c809d5e2578d,0,12,0,oos,13,False,26,AMD,13,0.9230769230769231
22,0.46215712383488683,751,0,0,False,2,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0,18,0,train,20,False,40,AAP,20,0.9
3,0.46215712383488683,515,0,0,False,1,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0,3,0,stress,3,False,6,AAP,3,1.0
19,0.46215712383488683,252,0,0,False,2,533f088311cabb22a012f2c505b1756690d3cd9a7d4e6aceac3c8c22a3b4034a,0,15,0,oos,17,False,34,AAP,17,0.8823529411764706
22,0.6578961384820239,751,0,0,False,2,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0,18,0,train,20,False,40,CAPR,20,0.9
25,0.6578961384820239,515,0,0,False,2,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0,21,0,stress,23,False,46,CAPR,23,0.9130434782608695
15,0.6578961384820239,252,0,0,False,2,0a67c818c4c43b60cec221789416d434592bc49a29401db29faf54554b6b7309,0,9,0,oos,12,False,24,CAPR,12,0.75
28,0.4901198402130493,751,0,0,False,2,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0,22,0,train,25,False,50,STLD,25,0.88
29,0.4901198402130493,515,0,0,False,2,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0,19,0,stress,24,False,48,STLD,24,0.7916666666666666
5,0.4901198402130493,252,0,0,False,1,7fa919d835007ccc51a1516708bedff5d52d105b3af32cb79d59551e4d35d7cf,0,5,0,oos,5,False,10,STLD,5,1.0
