ticker,regime,sample_count,positive_count,negative_count,positive_rate,label_definition
AA,oos,252,134,118,0.5317460317460317,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AA,stress,515,310,205,0.6019417475728155,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AA,train,751,366,385,0.4873501997336884,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAOI,oos,252,174,78,0.6904761904761905,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAOI,stress,515,254,261,0.49320388349514566,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAOI,train,751,500,251,0.6657789613848203,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAP,oos,252,130,122,0.5158730158730159,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAP,stress,515,152,363,0.29514563106796116,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AAP,train,751,287,464,0.3821571238348868,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ABEV,oos,252,77,175,0.3055555555555556,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ABEV,stress,515,193,322,0.37475728155339805,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ABEV,train,751,195,556,0.2596537949400799,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACLS,oos,252,151,101,0.5992063492063492,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACLS,stress,515,266,249,0.516504854368932,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACLS,train,751,365,386,0.48601864181091875,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACMR,oos,252,171,81,0.6785714285714286,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACMR,stress,515,300,215,0.5825242718446602,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ACMR,train,751,414,337,0.5512649800266312,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADMA,oos,252,115,137,0.45634920634920634,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADMA,stress,515,273,242,0.5300970873786408,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADMA,train,751,384,367,0.511318242343542,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADPT,oos,252,140,112,0.5555555555555556,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADPT,stress,515,277,238,0.537864077669903,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ADPT,train,751,457,294,0.6085219707057257,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEIS,oos,252,138,114,0.5476190476190477,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEIS,stress,515,209,306,0.4058252427184466,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEIS,train,751,296,455,0.3941411451398136,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEVA,oos,252,161,91,0.6388888888888888,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEVA,stress,515,215,300,0.4174757281553398,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AEVA,train,751,469,282,0.6245006657789614,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALGT,oos,252,147,105,0.5833333333333334,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALGT,stress,515,220,295,0.42718446601941745,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ALGT,train,751,355,396,0.47270306258322237,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AMD,oos,252,144,108,0.5714285714285714,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AMD,stress,515,237,278,0.4601941747572815,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AMD,train,751,374,377,0.4980026631158455,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ANET,oos,252,136,116,0.5396825396825397,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ANET,stress,515,168,347,0.3262135922330097,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ANET,train,751,332,419,0.4420772303595206,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
APA,oos,252,131,121,0.5198412698412699,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
APA,stress,515,281,234,0.545631067961165,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
APA,train,751,320,431,0.42609853528628494,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKG,oos,252,127,125,0.503968253968254,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKG,stress,515,223,292,0.4330097087378641,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKG,train,751,325,426,0.43275632490013316,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKW,oos,252,73,179,0.2896825396825397,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKW,stress,515,209,306,0.4058252427184466,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
ARKW,train,751,326,425,0.4340878828229028,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AVGO,oos,252,121,131,0.4801587301587302,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AVGO,stress,515,138,377,0.26796116504854367,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
AVGO,train,751,313,438,0.4167776298268975,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BB,oos,252,121,131,0.4801587301587302,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BB,stress,515,256,259,0.4970873786407767,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BB,train,751,382,369,0.5086551264980027,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BCS,oos,252,63,189,0.25,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BCS,stress,515,155,360,0.30097087378640774,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BCS,train,751,217,534,0.28894806924101196,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BE,oos,252,183,69,0.7261904761904762,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BE,stress,515,313,202,0.6077669902912621,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BE,train,751,426,325,0.5672436750998668,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BELFB,oos,252,154,98,0.6111111111111112,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BELFB,stress,515,256,259,0.4970873786407767,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BELFB,train,751,358,393,0.4766977363515313,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BIDU,oos,252,112,140,0.4444444444444444,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BIDU,stress,515,222,293,0.43106796116504853,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BIDU,train,751,295,456,0.39280958721704395,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BMI,oos,252,86,166,0.3412698412698413,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BMI,stress,515,161,354,0.312621359223301,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BMI,train,751,215,536,0.2862849533954727,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BN,oos,252,68,184,0.2698412698412698,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BN,stress,515,130,385,0.2524271844660194,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BN,train,751,229,522,0.30492676431424764,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BNTX,oos,252,97,155,0.38492063492063494,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BNTX,stress,515,294,221,0.570873786407767,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BNTX,train,751,290,461,0.38615179760319573,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BTU,oos,252,148,104,0.5873015873015873,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BTU,stress,515,338,177,0.6563106796116505,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BTU,train,751,331,420,0.440745672436751,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BWXT,oos,252,115,137,0.45634920634920634,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BWXT,stress,515,125,390,0.24271844660194175,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
BWXT,train,751,167,584,0.22237017310252996,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
C,oos,252,83,169,0.32936507936507936,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
C,stress,515,150,365,0.2912621359223301,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
C,train,751,203,548,0.27030625832223704,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAMT,oos,252,149,103,0.5912698412698413,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAMT,stress,515,254,261,0.49320388349514566,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAMT,train,751,404,347,0.5379494007989347,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAN,oos,252,146,106,0.5793650793650794,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
CAN,stress,515,328,187,0.6368932038834951,D0 open 대비 D+1~D+2 high 최대값 +3% 이상
