decision_threshold,domain_high_json,domain_low_json,gene_validation_reason,genes_json,model_hash,oos_gate,oos_passed_count,oos_precision,origin_train_label,pass_probability,reject_reasons,rejected_narrow_individual_count,rejected_near_full_individual_count,rejected_open_individual_count,status,stress_gate,stress_passed_count,stress_precision,survivor,thin_sample_rejected,ticker,train_fitness,train_gate,train_passed_count,train_precision,upper_fallback_event_count,valid_bilateral_gene
0.6058964143426294,"{""close_pos5"": 1.0, ""cumulative_ret5_pct"": 30.830038743497013, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 32.06208456738776, ""pullback_from_high5_pct"": 18.859652287532747, ""ret_d1_pct"": 27.53036675641951, ""ret_d2_pct"": 27.53036675641951, ""ret_d3_pct"": 27.53036675641951, ""ret_d4_pct"": 27.53036675641951, ""ret_d5_pct"": 27.53036675641951, ""single_up_day5_pct"": 27.53036675641951, ""up_days5"": 5.0}","{""close_pos5"": 0.0, ""cumulative_ret5_pct"": -11.969110156489847, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0, ""ret_d1_pct"": -9.130436630582272, ""ret_d2_pct"": -9.130436630582272, ""ret_d3_pct"": -9.130436630582272, ""ret_d4_pct"": -9.130436630582272, ""ret_d5_pct"": -9.130436630582272, ""single_up_day5_pct"": -1.1363715381797812, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.02235301307779323, 0.9812774920579594], ""cumulative_ret5_pct"": [0.06621569458493735, 0.41721851783664154], ""days_since_high5"": [0.02595570328199904, 0.5356200342385186], ""fade_after_surge_score"": [0.135666001973677, 0.830886449787151], ""pullback_from_high5_pct"": [0.003962434265298881, 0.7607028877749358], ""ret_d1_pct"": [0.013036770081764522, 0.6038385785042439], ""ret_d2_pct"": [0.16412358711734254, 0.7121417083252912], ""ret_d3_pct"": [0.05828782391955162, 0.9020801465636402], ""ret_d4_pct"": [0.06165665332499863, 0.6663947809852242], ""ret_d5_pct"": [0.049479248944739415, 0.5240030801042311], ""single_up_day5_pct"": [0.1257344742511523, 0.9328953058714636], ""up_days5"": [0.2816882088226914, 0.7217180566529299]}",ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,False,19,0.5789473684210527,train_1,0.9545454545454546,"[""precision<0.8045"", ""precision<0.8045""]",6,0,1,REJECTED,False,28,0.25,False,False,ADMA,257.65155899737186,True,22,0.9545454545454546,237,True
0.596,"{""close_pos5"": 1.0, ""cumulative_ret5_pct"": 32.65306420356988, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 28.220133160713026, ""pullback_from_high5_pct"": 17.829459370130074, ""ret_d1_pct"": 27.1284363325927, ""ret_d2_pct"": 27.1284363325927, ""ret_d3_pct"": 27.1284363325927, ""ret_d4_pct"": 27.1284363325927, ""ret_d5_pct"": 27.1284363325927, ""single_up_day5_pct"": 27.1284363325927, ""up_days5"": 5.0}","{""close_pos5"": 0.0178567018960003, ""cumulative_ret5_pct"": -14.757711055508082, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0, ""ret_d1_pct"": -5.665723776231268, ""ret_d2_pct"": -5.665723776231268, ""ret_d3_pct"": -5.665723776231268, ""ret_d4_pct"": -5.665723776231268, ""ret_d5_pct"": -5.665723776231268, ""single_up_day5_pct"": -1.4634132725769855, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.20356447533900524, 0.7688686076149862], ""cumulative_ret5_pct"": [0.23812593799712245, 0.7818283279258615], ""days_since_high5"": [0.05994263321107433, 0.7715957630639485], ""fade_after_surge_score"": [0.013384541289159073, 0.6931041789630463], ""pullback_from_high5_pct"": [0.07341983973355229, 0.4434386213644917], ""ret_d1_pct"": [0.025553751739176248, 0.9620607898276607], ""ret_d2_pct"": [0.030474135548524562, 0.9146608472248101], ""ret_d3_pct"": [0.014570173216279875, 0.8034054707319179], ""ret_d4_pct"": [0.12536517070179198, 0.689788494019889], ""ret_d5_pct"": [0.1276251861166037, 0.9224924279487158], ""single_up_day5_pct"": [0.12454158433108971, 0.9337580570654257], ""up_days5"": [0.28034631486200484, 0.6361793236884545]}",cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,37,0.4594594594594595,train_2,0.84,"[""precision<0.6900"", ""precision<0.6900""]",3,0,0,REJECTED,False,31,0.5161290322580645,False,False,ADMA,222.17254412400732,True,25,0.84,220,True
0.572,"{""close_pos5"": 0.995744745787234, ""cumulative_ret5_pct"": 53.44978154959592, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 30.926994154796294, ""pullback_from_high5_pct"": 29.07756919719633, ""ret_d1_pct"": 30.926994154796294, ""ret_d2_pct"": 30.926994154796294, ""ret_d3_pct"": 30.926994154796294, ""ret_d4_pct"": 30.926994154796294, ""ret_d5_pct"": 30.926994154796294, ""single_up_day5_pct"": 30.926994154796294, ""up_days5"": 5.0}","{""close_pos5"": 0.0043291043992098, ""cumulative_ret5_pct"": -19.98069269733318, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0815287897338645, ""ret_d1_pct"": -16.30996511474182, ""ret_d2_pct"": -16.30996511474182, ""ret_d3_pct"": -16.30996511474182, ""ret_d4_pct"": -16.30996511474182, ""ret_d5_pct"": -16.30996511474182, ""single_up_day5_pct"": -1.9702059486923047, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.19606598384701857, 0.965274481264042], ""cumulative_ret5_pct"": [0.07859687515031319, 0.651272021867792], ""days_since_high5"": [0.12354976420535818, 0.9081661277277984], ""fade_after_surge_score"": [0.018431689238516204, 0.533097926276627], ""pullback_from_high5_pct"": [0.005913490375408607, 0.5029831319712145], ""ret_d1_pct"": [0.15088170854518548, 0.5627583588248614], ""ret_d2_pct"": [0.1764567211003007, 0.8382137096828416], ""ret_d3_pct"": [0.23395405717946538, 0.6324546708610297], ""ret_d4_pct"": [0.14372151901972932, 0.517961580918687], ""ret_d5_pct"": [0.1315876660839629, 0.5277790853611937], ""single_up_day5_pct"": [0.2097366766439835, 0.7756115381993526], ""up_days5"": [0.2992094853574452, 0.8627579990028273]}",39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,10,0.7,train_3,0.9,"[""precision<0.7500"", ""precision<0.7500""]",0,0,0,REJECTED,False,55,0.41818181818181815,False,False,ADMA,243.59280621915687,True,20,0.9,231,True
0.6058964143426294,"{""close_pos5"": 0.9952379871030804, ""cumulative_ret5_pct"": 19.70579250604483, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 16.1156061799955, ""pullback_from_high5_pct"": 21.984898608220416, ""ret_d1_pct"": 11.795187455882616, ""ret_d2_pct"": 11.795187455882616, ""ret_d3_pct"": 11.795187455882616, ""ret_d4_pct"": 11.795187455882616, ""ret_d5_pct"": 11.795187455882616, ""single_up_day5_pct"": 11.795187455882616, ""up_days5"": 5.0}","{""close_pos5"": 0.0018695573684033, ""cumulative_ret5_pct"": -15.620173956650683, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0442487996956453, ""ret_d1_pct"": -8.942126355421454, ""ret_d2_pct"": -8.942126355421454, ""ret_d3_pct"": -8.942126355421454, ""ret_d4_pct"": -8.942126355421454, ""ret_d5_pct"": -8.942126355421454, ""single_up_day5_pct"": -2.301928791084118, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.4362339394790482, 0.9501038640114398], ""cumulative_ret5_pct"": [0.4596521666491333, 0.8003374773790422], ""days_since_high5"": [0.09187234788847844, 0.8148414628058825], ""fade_after_surge_score"": [0.04797611356438979, 0.9707119088240204], ""pullback_from_high5_pct"": [0.013261650904536966, 0.6782060231237722], ""ret_d1_pct"": [0.2994195470164329, 0.8487997220965907], ""ret_d2_pct"": [0.2159588681680224, 0.7850066091527517], ""ret_d3_pct"": [0.102681293886132, 0.8951659852149543], ""ret_d4_pct"": [0.12234550837233785, 0.7877992242535181], ""ret_d5_pct"": [0.2521636547675094, 0.6072749943682565], ""single_up_day5_pct"": [0.12440056279361571, 0.8292592755557537], ""up_days5"": [0.5235461918452866, 0.6415898531575921]}",705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,11,0.36363636363636365,train_1,0.8636363636363636,"[""precision<0.7136"", ""precision<0.7136""]",38,0,3,REJECTED,False,23,0.2608695652173913,False,False,CRS,228.59917601479384,True,22,0.8636363636363636,229,True
0.544,"{""close_pos5"": 0.9963856872476048, ""cumulative_ret5_pct"": 23.380951654761905, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 15.798827266871106, ""pullback_from_high5_pct"": 14.753338925328595, ""ret_d1_pct"": 14.737462465178396, ""ret_d2_pct"": 14.737462465178396, ""ret_d3_pct"": 14.737462465178396, ""ret_d4_pct"": 14.737462465178396, ""ret_d5_pct"": 14.737462465178396, ""single_up_day5_pct"": 14.737462465178396, ""up_days5"": 5.0}","{""close_pos5"": 0.0143540990088155, ""cumulative_ret5_pct"": -10.31777899699523, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0270510795477241, ""ret_d1_pct"": -7.250672473237907, ""ret_d2_pct"": -7.250672473237907, ""ret_d3_pct"": -7.250672473237907, ""ret_d4_pct"": -7.250672473237907, ""ret_d5_pct"": -7.250672473237907, ""single_up_day5_pct"": -0.0882706451706405, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.014089134489367591, 0.5341915622335732], ""cumulative_ret5_pct"": [0.10022969051894443, 0.6702684039490104], ""days_since_high5"": [0.18519248548377437, 1.0], ""fade_after_surge_score"": [0.2725961890855533, 0.7229582966321966], ""pullback_from_high5_pct"": [0.24022537838063712, 0.7984490498375139], ""ret_d1_pct"": [0.16483964192339604, 0.7385440793788571], ""ret_d2_pct"": [0.19370585110427604, 0.7200980418670178], ""ret_d3_pct"": [0.06353537105568187, 0.800035452306693], ""ret_d4_pct"": [0.06618196536425548, 0.7883475965996396], ""ret_d5_pct"": [0.08173916573710631, 0.6818852139150057], ""single_up_day5_pct"": [0.04789820336138374, 0.4992161799153173], ""up_days5"": [0.07262298844526859, 0.774495515902142]}",701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,19,0.5789473684210527,train_2,0.9047619047619048,"[""precision<0.7548"", ""precision<0.7548""]",1,0,0,REJECTED,False,42,0.47619047619047616,False,False,CRS,247.98934600269718,True,21,0.9047619047619048,221,True
0.596,"{""close_pos5"": 0.998406015321558, ""cumulative_ret5_pct"": 20.05760914979424, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 21.600678308023003, ""pullback_from_high5_pct"": 24.61995984705805, ""ret_d1_pct"": 15.684068240794623, ""ret_d2_pct"": 15.684068240794623, ""ret_d3_pct"": 15.684068240794623, ""ret_d4_pct"": 15.684068240794623, ""ret_d5_pct"": 15.684068240794623, ""single_up_day5_pct"": 15.684068240794623, ""up_days5"": 5.0}","{""close_pos5"": 0.0011637154833836, ""cumulative_ret5_pct"": -17.182111210019524, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0125849643892061, ""ret_d1_pct"": -11.107559188681382, ""ret_d2_pct"": -11.107559188681382, ""ret_d3_pct"": -11.107559188681382, ""ret_d4_pct"": -11.107559188681382, ""ret_d5_pct"": -11.107559188681382, ""single_up_day5_pct"": -0.3797272668015661, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.0810621703267371, 0.9597513676411371], ""cumulative_ret5_pct"": [0.2781899982046838, 0.980052515755302], ""days_since_high5"": [0.3712280884022712, 1.0], ""fade_after_surge_score"": [0.18102525123554092, 0.8633344292491333], ""pullback_from_high5_pct"": [0.09019261143982095, 0.7246572609808326], ""ret_d1_pct"": [0.1722208781684934, 0.7229741246780316], ""ret_d2_pct"": [0.13379232267908944, 0.6354698345732881], ""ret_d3_pct"": [0.2674017026302241, 0.8337794564091098], ""ret_d4_pct"": [0.26626157262209116, 0.8441456363217198], ""ret_d5_pct"": [0.41998891447476144, 0.7984524787971926], ""single_up_day5_pct"": [0.08431237501641523, 0.8582131096535728], ""up_days5"": [0.16192874139139452, 0.8035754823351358]}",6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,20,0.55,train_3,1.0,"[""precision<0.8500"", ""precision<0.8500""]",2,0,0,REJECTED,False,41,0.5365853658536586,False,False,CRS,273.5370152726419,True,23,1.0,225,True
0.5819920318725099,"{""close_pos5"": 1.0, ""cumulative_ret5_pct"": 21.350578456810982, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 26.581739662909754, ""pullback_from_high5_pct"": 22.054165032939533, ""ret_d1_pct"": 21.163645858019777, ""ret_d2_pct"": 21.163645858019777, ""ret_d3_pct"": 21.163645858019777, ""ret_d4_pct"": 21.163645858019777, ""ret_d5_pct"": 21.163645858019777, ""single_up_day5_pct"": 21.163645858019777, ""up_days5"": 5.0}","{""close_pos5"": 0.0, ""cumulative_ret5_pct"": -19.080004675588714, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0, ""ret_d1_pct"": -7.614816727188501, ""ret_d2_pct"": -7.614816727188501, ""ret_d3_pct"": -7.614816727188501, ""ret_d4_pct"": -7.614816727188501, ""ret_d5_pct"": -7.614816727188501, ""single_up_day5_pct"": -2.4408825822578084, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.23052938200384263, 0.8484373432906571], ""cumulative_ret5_pct"": [0.21635612188193573, 0.7601648910225295], ""days_since_high5"": [0.3955780921038798, 0.752255041090993], ""fade_after_surge_score"": [0.08262658891454665, 0.6461024478900815], ""pullback_from_high5_pct"": [0.06805205600405248, 0.4718503828964605], ""ret_d1_pct"": [0.15082768393404397, 0.8607716035070998], ""ret_d2_pct"": [0.14659186257278212, 0.6372197994529896], ""ret_d3_pct"": [0.01575265111613562, 0.6345235324326461], ""ret_d4_pct"": [0.0917100697162466, 0.6838933295126836], ""ret_d5_pct"": [0.10476927069450792, 0.4225892357109421], ""single_up_day5_pct"": [0.11150026882917172, 0.6486416544574409], ""up_days5"": [0.17359689382742644, 0.6465953195303406]}",e0c83226c51c983757198bf6959911adc69de0570645e22c862edfac0dab51f9,False,12,0.5833333333333334,train_1,0.9090909090909091,"[""precision<0.7591"", ""precision<0.7591""]",4,0,0,REJECTED,False,37,0.43243243243243246,False,False,ALGT,245.94403495655365,True,22,0.9090909090909091,248,True
0.45,"{""close_pos5"": 0.995521464859934, ""cumulative_ret5_pct"": 16.829608231562542, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 14.836309087390989, ""pullback_from_high5_pct"": 21.63540051453488, ""ret_d1_pct"": 7.597308154254923, ""ret_d2_pct"": 7.597308154254923, ""ret_d3_pct"": 7.597308154254923, ""ret_d4_pct"": 7.597308154254923, ""ret_d5_pct"": 7.597308154254923, ""single_up_day5_pct"": 7.597308154254923, ""up_days5"": 5.0}","{""close_pos5"": 0.0028566633000001, ""cumulative_ret5_pct"": -16.428083400752357, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0280368226037941, ""ret_d1_pct"": -8.432775442616002, ""ret_d2_pct"": -8.432775442616002, ""ret_d3_pct"": -8.432775442616002, ""ret_d4_pct"": -8.432775442616002, ""ret_d5_pct"": -8.432775442616002, ""single_up_day5_pct"": -1.2265518074391024, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.00010531433731751638, 0.7773661079566931], ""cumulative_ret5_pct"": [0.21225096421460263, 0.9691585108253735], ""days_since_high5"": [0.1022201045521647, 0.7979227608671297], ""fade_after_surge_score"": [0.2630916727608304, 0.7059581254102476], ""pullback_from_high5_pct"": [0.11907160353327255, 0.6046794042305054], ""ret_d1_pct"": [0.04263138104058123, 0.45750452040123407], ""ret_d2_pct"": [0.2235840512768273, 0.9868893378816576], ""ret_d3_pct"": [0.10086168116284105, 0.9253430940113184], ""ret_d4_pct"": [0.3984836703250124, 0.9790910360478742], ""ret_d5_pct"": [0.234501840171906, 0.8689862446310753], ""single_up_day5_pct"": [0.2968284689773041, 0.8203425048242504], ""up_days5"": [0.18024081903998235, 0.8465106828949164]}",e3e169f11714be92bbfdee2fb58fe8c9727e132f00d8d9314c90c131ad1b86cb,True,18,0.6666666666666666,train_2,0.75,"[""precision<0.6000""]",1,0,0,REJECTED,False,34,0.29411764705882354,False,False,ALGT,209.95378892096326,True,20,0.75,233,True
0.6479999999999999,"{""close_pos5"": 1.0, ""cumulative_ret5_pct"": 19.306607915060603, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 28.569650338482298, ""pullback_from_high5_pct"": 44.5182665307958, ""ret_d1_pct"": 18.92274503899272, ""ret_d2_pct"": 18.92274503899272, ""ret_d3_pct"": 18.92274503899272, ""ret_d4_pct"": 18.92274503899272, ""ret_d5_pct"": 18.92274503899272, ""single_up_day5_pct"": 18.92274503899272, ""up_days5"": 5.0}","{""close_pos5"": 0.0033473578004576, ""cumulative_ret5_pct"": -30.212232421807983, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0, ""ret_d1_pct"": -15.316315418937752, ""ret_d2_pct"": -15.316315418937752, ""ret_d3_pct"": -15.316315418937752, ""ret_d4_pct"": -15.316315418937752, ""ret_d5_pct"": -15.316315418937752, ""single_up_day5_pct"": -1.419352869806456, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.01962365482885532, 0.5101337776942537], ""cumulative_ret5_pct"": [0.3464960196006912, 0.8860798467507408], ""days_since_high5"": [0.1891148291119703, 0.6391912388744548], ""fade_after_surge_score"": [0.02012037955607446, 0.9596476077140036], ""pullback_from_high5_pct"": [0.035119193140457756, 0.5068372842491642], ""ret_d1_pct"": [0.29314244158547964, 0.6636623948126992], ""ret_d2_pct"": [0.050886917514428434, 0.7012784332582103], ""ret_d3_pct"": [0.12859559350721975, 0.8079276610616452], ""ret_d4_pct"": [0.22594889839037866, 0.7633080024624582], ""ret_d5_pct"": [0.2986067315226778, 0.6767054809058392], ""single_up_day5_pct"": [0.17219261826090287, 0.5621782288282564], ""up_days5"": [0.18132934756581895, 0.8271913751398726]}",f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,False,22,0.6363636363636364,train_3,0.9523809523809523,"[""precision<0.8024"", ""precision<0.8024""]",10,0,1,REJECTED,False,37,0.32432432432432434,False,False,ALGT,252.77962105129043,True,21,0.9523809523809523,251,True
0.49035856573705183,"{""close_pos5"": 1.0, ""cumulative_ret5_pct"": 14.50798418212056, ""days_since_high5"": 4.0, ""fade_after_surge_score"": 12.21446394743828, ""pullback_from_high5_pct"": 17.833241352216422, ""ret_d1_pct"": 6.72197395894214, ""ret_d2_pct"": 6.72197395894214, ""ret_d3_pct"": 6.72197395894214, ""ret_d4_pct"": 6.72197395894214, ""ret_d5_pct"": 6.72197395894214, ""single_up_day5_pct"": 6.72197395894214, ""up_days5"": 5.0}","{""close_pos5"": 0.0, ""cumulative_ret5_pct"": -14.4050597480865, ""days_since_high5"": 0.0, ""fade_after_surge_score"": 0.0, ""pullback_from_high5_pct"": 0.0, ""ret_d1_pct"": -6.097413832543053, ""ret_d2_pct"": -6.097413832543053, ""ret_d3_pct"": -6.097413832543053, ""ret_d4_pct"": -6.097413832543053, ""ret_d5_pct"": -6.097413832543053, ""single_up_day5_pct"": -0.8214314778571374, ""up_days5"": 0.0}",OK,"{""close_pos5"": [0.02240119621013993, 0.8151144065813166], ""cumulative_ret5_pct"": [0.21370144515908793, 0.5210227734649198], ""days_since_high5"": [0.022822453468797355, 0.9773219414008746], ""fade_after_surge_score"": [0.019865369863574678, 0.7745686917576485], ""pullback_from_high5_pct"": [0.18425530611991386, 0.8074081932713969], ""ret_d1_pct"": [0.15582050351875054, 0.8242437596148762], ""ret_d2_pct"": [0.13799566919068554, 0.7951798534674956], ""ret_d3_pct"": [0.11502119157385805, 0.8805363019411856], ""ret_d4_pct"": [0.1289775192887304, 0.7751012220877211], ""ret_d5_pct"": [0.16248472465763325, 0.884689966046362], ""single_up_day5_pct"": [0.1883392202393083, 0.7633841394283012], ""up_days5"": [0.18238446328755528, 0.6751517620232151]}",e4a02f26e2329ea8e02bea51b78f5a6516da116f0e6c385747f0133207e35a7e,False,16,0.75,train_1,0.9523809523809523,"[""precision<0.8024"", ""precision<0.8024""]",2,0,0,REJECTED,False,45,0.4666666666666667,False,False,AEIS,268.70881368194324,True,21,0.9523809523809523,232,True
