selection_order,selection_type,selection_seed,ticker,source_path,source_sha256,history_first_date,history_last_date,history_rows,status,history_coverage_note,reused_from
1,CURRENT_LIVE_10,20260712,ADMA,data/_system/analysis/ohlc_snapshot_20260707/ADMA_ohlcv.csv,c3a2388ebfb79d3fb784266b54aa14575aa423b8e70379e353d35a729654dede,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
2,CURRENT_LIVE_10,20260712,CRS,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
3,CURRENT_LIVE_10,20260712,ALGT,data/_system/analysis/ohlc_snapshot_20260707/ALGT_ohlcv.csv,9330811fbb054bba0a679381475b1ef885fe4b30abe72394722f179b514920e3,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
4,CURRENT_LIVE_10,20260712,AEIS,data/_system/analysis/ohlc_snapshot_20260707/AEIS_ohlcv.csv,4e2c50f28033f7ffe9ecfb20947162e58db8062b12fa2e9bc99f0155f3d0007e,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
5,CURRENT_LIVE_10,20260712,ARKW,data/_system/analysis/ohlc_snapshot_20260707/ARKW_ohlcv.csv,8d9490d0a0550ef8ce07b38ecd973909c19dd4fd2b849e8eda0492624fe64dfb,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
6,CURRENT_LIVE_10,20260712,CBRL,data/_system/analysis/ohlc_snapshot_20260707/CBRL_ohlcv.csv,b29096f599f65f00fb3496b48f220d496a906d4d031cb90956b81b5826a367c7,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
7,CURRENT_LIVE_10,20260712,BTU,data/_system/analysis/ohlc_snapshot_20260707/BTU_ohlcv.csv,e67923be276e106cf446afcb58a9c2abbfd7075cf4c27eefc264289b22281660,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
8,CURRENT_LIVE_10,20260712,BB,data/_system/analysis/ohlc_snapshot_20260707/BB_ohlcv.csv,1df5da56651ef9734040ab444566bcac1d3a5f992a584ad1de3db8420d5ef284,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
9,CURRENT_LIVE_10,20260712,BN,data/_system/analysis/ohlc_snapshot_20260707/BN_ohlcv.csv,a9d4eb6eb381d0c1199c28f101154eb1005d5300afc6ea6b93198a781d783b2b,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
10,CURRENT_LIVE_10,20260712,ACMR,data/_system/analysis/ohlc_snapshot_20260707/ACMR_ohlcv.csv,365b8be6ab77d7c1bb90c63983b5e50167391db4e689dfefdb581b4316ec23f1,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
11,DETERMINISTIC_RANDOM_40,20260712,CARR,data/_system/analysis/ohlc_snapshot_20260707/CARR_ohlcv.csv,87be852170c9b42547e53ed5367cf3b0521a8d0458934ff860e2b50af1e9749a,2020-06-08,2026-07-06,1526,SELECTED_REUSED_EXACTLY,frozen six-year snapshot begins 2020-06-08; exact available start used,data/_system/analysis/stage2_3_rediscovery_pilot_20260712/_prev_run_gaShrunk_exitBug/symbol_list.csv
