scope,ticker,axis,subset,n,unique,min,max,pearson,spearman
all_rerun,ANET,news_topics,all,79,44,-2.63046945,2.63046945,-0.16679320,-0.11798833
all_rerun,ANET,news_topics,positive_only,42,34,0.00211458,2.63046945,-0.26257226,-0.24480739
all_rerun,ANET,ratio,all,79,54,1.01039919,3.16045156,0.03719223,0.07571566
all_rerun,ANET,score,all,79,54,2.66653469,8.34071699,0.03719223,0.07571566
all_rerun,ANET,positive_component_count,all,79,4,1.00000000,4.00000000,-0.02456695,0.02949364
all_rerun,BB,news_topics,all,41,19,-0.59865009,5.04678196,-0.00774111,0.07471816
all_rerun,BB,news_topics,positive_only,15,13,0.06578906,5.04678196,0.23045031,0.08602206
all_rerun,BB,ratio,all,41,25,1.01828924,2.56384947,-0.06826160,-0.16389482
all_rerun,BB,score,all,41,25,2.84301384,7.15814253,-0.06826160,-0.16389482
all_rerun,BB,positive_component_count,all,41,4,2.00000000,5.00000000,-0.09001877,-0.05562877
all_rerun,CE,news_topics,all,75,19,-0.65876932,4.17148930,-0.01081919,-0.14655955
all_rerun,CE,news_topics,positive_only,20,16,0.27438263,4.17148930,0.37287190,0.37226923
all_rerun,CE,ratio,all,75,32,1.00280178,3.00340010,0.07853626,0.05719448
all_rerun,CE,score,all,75,32,2.66162312,7.97158449,0.07853626,0.05719448
all_rerun,CE,positive_component_count,all,75,4,1.00000000,4.00000000,0.07079556,0.07157841
high_exact_period,CE,news_topics,all,36,17,-0.65876932,4.17148930,0.16041919,-0.03398317
high_exact_period,CE,news_topics,positive_only,16,14,0.27438263,4.17148930,0.47757414,0.44329945
high_exact_period,CE,ratio,all,36,24,1.00280178,3.00340010,0.22861717,0.11316318
high_exact_period,CE,score,all,36,24,2.66162312,7.97158449,0.22861717,0.11316318
high_exact_period,CE,positive_component_count,all,36,3,2.00000000,4.00000000,0.09178522,0.09235236
