ticker,indicator,total_n,active_n,positive_unique_level_count,positive_levels,fixed_within_rule
ANET,MA,79,46,1,"1.31484952",true
ANET,MACD,79,10,1,"2.0",true
ANET,RSI,79,69,1,"1.71024754",true
ANET,BB,79,20,1,"1.34511228",true
ANET,Volume,79,2,1,"0.25304854",true
ANET,News,79,0,0,"",true
ANET,NewsTopics,79,42,34,"0.00211458|0.01334922|0.01432845|0.04128913|0.04790856|0.07018983|0.07895692|0.09510842|0.12247787|0.17662281|0.19753105|0.30107881|0.32790345|0.40794681|0.4393829|0.45914568|0.53269522|0.6184562|0.621508|0.62261069|0.64000887|0.6920378|0.69794172|0.85456508|0.86131923|0.89551178|1.02329179|1.04706283|1.13204291|1.66689521|1.76319281|1.99144826|2.55736045|2.63046945",false
ANET,Event,79,0,0,"",true
BB,MA,41,12,1,"1.54052185",true
BB,MACD,41,14,1,"1.59867026",true
BB,RSI,41,41,1,"1.75038162",true
BB,BB,41,25,1,"0.36097895",true
BB,Volume,41,7,1,"1.16162065",true
BB,News,41,0,0,"",true
BB,NewsTopics,41,15,13,"0.06578906|0.21085892|0.27290662|0.73165327|1.09536577|1.22790648|1.31791627|1.39856182|1.6928844|1.80275246|2.20273748|2.87779693|5.04678196",false
BB,Event,41,0,0,"",true
CE,MA,75,33,1,"1.22724132",true
CE,MACD,75,14,1,"1.16778788",true
CE,RSI,75,68,1,"1.72507752",true
CE,BB,75,61,1,"0.84777635",true
CE,Volume,75,11,1,"0.08876925",true
CE,News,75,0,0,"",true
CE,NewsTopics,75,20,16,"0.27438263|0.33146215|0.54667067|0.64929315|0.75177189|0.96416902|1.20173951|1.28082451|1.33513554|1.56325587|2.60003078|3.14654741|3.18382582|3.29279157|3.83973129|4.1714893",false
CE,Event,75,0,0,"",true
