ticker,period,group,trade_count,avg_pnl_pct,win_rate_pct,avg_top2_concentration,avg_ratio
ANET,recent_1y,ce_type,5,-2.0221,60.00,1.0000,1.0899
ANET,recent_1y,non_ce,17,0.9138,76.47,0.9045,1.6405
ANET,stress_pre_2022h1,ce_type,7,-0.2714,42.86,1.0000,1.1439
ANET,stress_pre_2022h1,non_ce,16,3.6433,81.25,0.9609,1.4162
ANET,train_1,ce_type,2,-0.5288,50.00,1.0000,1.0617
ANET,train_1,non_ce,17,3.6316,82.35,0.9639,1.4542
ANET,train_2,ce_type,3,4.8233,100.00,1.0000,1.1463
ANET,train_2,non_ce,14,0.9622,64.29,0.8984,1.4669
BB,recent_1y,ce_type,2,9.8140,50.00,0.9437,1.1465
BB,recent_1y,non_ce,10,4.8138,50.00,0.9173,1.4710
BB,stress_pre_2022h1,ce_type,6,5.8386,50.00,0.9424,1.0579
BB,stress_pre_2022h1,non_ce,6,0.6590,50.00,0.9009,1.5301
BB,train_1,non_ce,11,0.4321,54.55,0.9379,1.3728
BB,train_2,non_ce,11,-3.9322,36.36,0.8829,1.5062
CE,recent_1y,ce_type,5,-9.1956,0.00,0.9807,1.0890
CE,recent_1y,non_ce,13,-3.5535,30.77,0.7982,1.8922
CE,stress_pre_2022h1,ce_type,5,-0.7049,40.00,0.9800,1.0309
CE,stress_pre_2022h1,non_ce,18,1.1031,55.56,0.8357,1.6318
CE,train_1,ce_type,11,-0.1335,45.45,0.9879,1.0597
CE,train_1,non_ce,9,0.7634,44.44,0.8022,1.6536
CE,train_2,ce_type,3,-2.1743,33.33,0.9680,1.0505
CE,train_2,non_ce,15,-0.2399,46.67,0.7794,1.5375
