ticker,rule_id,rulebook_hash,period_label,period_role,period_start,period_end,row_origin,original_trade_no,rerun_trade_no,match_status,entry_price_abs_diff,pnl_abs_diff,exit_date_match,original_entry_signal_date,original_entry_date,original_entry_price,original_exit_date,original_exit_price,original_pnl_pct,original_exit_reason,original_holding_days,original_score,original_raw_score,original_threshold,original_market_adjustment,original_ratio,original_positive_component_count,original_top1_component,original_top1_contribution,original_top2_component,original_top2_contribution,original_positive_sum,original_top2_sum,original_top2_concentration,original_ce_like_flag,original_components_json,rerun_entry_signal_date,rerun_entry_date,rerun_entry_price,rerun_exit_date,rerun_exit_price,rerun_pnl_pct,rerun_exit_reason,rerun_holding_days,rerun_score,rerun_raw_score,rerun_threshold,rerun_market_adjustment,rerun_ratio,rerun_positive_component_count,rerun_top1_component,rerun_top1_contribution,rerun_top2_component,rerun_top2_contribution,rerun_positive_sum,rerun_top2_sum,rerun_top2_concentration,rerun_ce_like_flag,rerun_components_json
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,1,1,entry_date_match_but_values_differ,0.0,2.9568514461971063,False,2022-07-21,2022-07-22,6.210000038146973,2022-08-08,6.920296163767529,11.385081275797324,take_profit,11,3.2909034677771114,3.2909034677771114,2.791951174195162,1.0,1.1787109667939601,2,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.2909034677771114,3.2909034677771114,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2022-07-21,2022-07-22,6.210000038146973,2022-08-17,6.7366297712326055,8.428229829600218,time_out,18,3.2909034677771114,3.2909034677771114,2.791951174195162,1.0,1.1787109667939601,2,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.2909034677771114,3.2909034677771114,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,2,,missing_in_rerun,,,False,2022-08-10,2022-08-11,7.019999980926514,2022-08-22,6.2168897902965545,-11.48745605788922,stop_loss,7,3.2909034677771114,3.2909034677771114,2.791951174195162,1.0,1.1787109667939601,2,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.2909034677771114,3.2909034677771114,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",,,,,,,,,,,,,,,,,,,,,,,
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,3,,missing_in_rerun,,,False,2022-08-29,2022-08-30,6.099999904632568,2022-09-22,5.355592826031696,-12.25034407321929,stop_loss,16,3.272981213652564,3.272981213652564,2.791951174195162,1.0,1.1722917090754887,3,rsi,1.7503816211833794,volume,1.1616206464568701,3.272981213652564,2.9120022676402497,0.8897094353898015,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":1.1616206464568701}",,,,,,,,,,,,,,,,,,,,,,,
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,4,3,entry_date_match_but_values_differ,0.0,7.105735436499681,False,2022-10-20,2022-10-21,4.340000152587891,2022-11-10,4.986125873722356,14.833966981406698,take_profit,14,3.7100308299786926,3.7100308299786926,2.791951174195162,1.0,1.3288308421253772,3,rsi,1.7503816211833794,macd,1.5986702627829987,3.7100308299786926,3.349051883966378,0.9027019012630718,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2022-10-20,2022-10-21,4.340000152587891,2022-11-16,4.677659828424454,7.728231544907017,time_out,18,3.7100308299786926,3.7100308299786926,2.791951174195162,1.0,1.3288308421253772,3,rsi,1.7503816211833794,macd,1.5986702627829987,3.7100308299786926,3.349051883966378,0.9027019012630718,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,5,4,exact,0.0,0.0,True,2022-12-07,2022-12-08,4.420000076293945,2022-12-22,3.461753478940835,-21.72436694949191,stop_loss,10,3.6518824137894255,3.6518824137894255,2.791951174195162,1.0,1.3080036812757503,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2022-12-07,2022-12-08,4.420000076293945,2022-12-22,3.461753478940835,-21.72436694949191,stop_loss,10,3.6518824137894255,3.6518824137894255,2.791951174195162,1.0,1.3080036812757503,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,6,5,exact,0.0,0.0,True,2023-01-06,2023-01-09,3.559999942779541,2023-02-03,4.397800095319748,23.47782910013493,time_out,18,3.349051883966378,3.349051883966378,2.791951174195162,1.0,1.1995381276435868,2,rsi,1.7503816211833794,macd,1.5986702627829987,3.349051883966378,3.349051883966378,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2023-01-06,2023-01-09,3.559999942779541,2023-02-03,4.397800095319748,23.47782910013493,time_out,18,3.349051883966378,3.349051883966378,2.791951174195162,1.0,1.1995381276435868,2,rsi,1.7503816211833794,macd,1.5986702627829987,3.349051883966378,3.349051883966378,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,7,6,exact,0.0,0.0,True,2023-02-09,2023-02-10,4.199999809265137,2023-03-07,3.66686046138856,-12.740621124882058,stop_loss,16,3.6518824137894255,3.6518824137894255,2.791951174195162,1.0,1.3080036812757503,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2023-02-09,2023-02-10,4.199999809265137,2023-03-07,3.66686046138856,-12.740621124882058,stop_loss,16,3.6518824137894255,3.6518824137894255,2.791951174195162,1.0,1.3080036812757503,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,8,7,entry_date_match_but_values_differ,0.0,4.104752724934539,False,2023-03-21,2023-03-22,3.759999990463257,2023-03-31,4.193447608290076,11.474980239932721,take_profit,7,3.7100308299786926,3.7100308299786926,2.791951174195162,1.0,1.3288308421253772,3,rsi,1.7503816211833794,macd,1.5986702627829987,3.7100308299786926,3.349051883966378,0.9027019012630718,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",2023-03-21,2023-03-22,3.759999990463257,2023-04-18,4.347824904680253,15.57973296486726,time_out,18,3.7100308299786926,3.7100308299786926,2.791951174195162,1.0,1.3288308421253772,3,rsi,1.7503816211833794,macd,1.5986702627829987,3.7100308299786926,3.349051883966378,0.9027019012630718,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":1.5986702627829987,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,9,,missing_in_rerun,,,False,2023-04-12,2023-04-13,4.449999809265137,2023-04-25,3.9439089824756834,-11.419984848747887,stop_loss,8,3.2909034677771114,3.2909034677771114,2.791951174195162,1.0,1.1787109667939601,2,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.2909034677771114,3.2909034677771114,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}",,,,,,,,,,,,,,,,,,,,,,,
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,10,,missing_in_rerun,,,False,2023-05-01,2023-05-02,4.210000038146973,2023-05-05,4.574338821572765,8.60196426198275,take_profit,3,7.158142532192922,7.158142532192922,2.791951174195162,1.0,2.5638494678390664,3,news_topics,5.046781964997229,rsi,1.7503816211833794,7.158142532192922,6.797163586180608,0.9495708636159657,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":0.0,""macd"":0.0,""news"":0.0,""news_topics"":5.046781964997229,""rsi"":1.7503816211833794,""volume"":0.0}",,,,,,,,,,,,,,,,,,,,,,,
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,original_snapshot,11,,missing_in_rerun,,,False,2023-05-09,2023-05-10,5.099999904632568,2023-06-06,5.337330152511597,4.602370975566773,time_out,18,3.7834737867286377,3.7834737867286377,2.791951174195162,1.0,1.3551360860811983,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.7834737867286377,3.2909034677771114,0.8698100352434516,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.49257031895152625,""rsi"":1.7503816211833794,""volume"":0.0}",,,,,,,,,,,,,,,,,,,,,,,
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,rerun_only,,2,not_in_original,,,False,,,,,,,,,,,,,,,,,,,,,,,,2022-08-19,2022-08-22,6.21999979019165,2022-09-16,5.617189885616303,-9.739055022952577,time_out,18,3.3419444040934985,3.3419444040934985,2.791951174195162,1.0,1.1969924241446965,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":-0.309938009695927,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,rerun_only,,8,not_in_original,,,False,,,,,,,,,,,,,,,,,,,,,,,,2023-04-20,2023-04-21,4.21999979019165,2023-05-17,5.407294847488403,28.077921624340206,time_out,18,3.6518824137894255,3.6518824137894255,2.791951174195162,1.0,1.3080036812757503,3,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.6518824137894255,3.2909034677771114,0.9011526371579583,False,"{""bb"":0.3609789460123143,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
BB,stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,train_1,pure_oos,2022-07-01,2023-06-30,rerun_only,,9,not_in_original,,,False,,,,,,,,,,,,,,,,,,,,,,,,2023-05-26,2023-05-30,5.269999980926514,2023-06-21,4.753464444674393,-9.848983002600852,stop_loss,15,3.2909034677771114,3.2909034677771114,2.791951174195162,1.0,1.1787109667939601,2,rsi,1.7503816211833794,ma_align,1.5405218465937318,3.2909034677771114,3.2909034677771114,1.0,False,"{""bb"":0.0,""events"":0.0,""ma_align"":1.5405218465937318,""macd"":0.0,""news"":0.0,""news_topics"":0.0,""rsi"":1.7503816211833794,""volume"":0.0}"
