ticker,period,start,end,original_trades,rerun_trades,trade_delta,original_expectancy_pct,rerun_expectancy_pct,expectancy_delta_pct,exact_reproduction
ANET,recent_1y,2025-07-01,2026-06-24,22,22,0,0.246523,0.607597,0.361074,false
ANET,stress_pre_2022h1,,2022-06-30,23,21,-2,2.451859,1.952221,-0.499638,false
ANET,train_1,2022-07-01,2023-06-30,19,18,-1,3.193630,4.835039,1.641409,false
ANET,train_2,2023-07-01,2024-06-30,17,17,0,1.643565,2.703406,1.059841,false
BB,recent_1y,2025-07-01,2026-06-26,12,10,-2,5.647185,5.135726,-0.511459,false
BB,stress_pre_2022h1,,2022-06-30,12,11,-1,3.248802,3.074731,-0.174071,false
BB,train_1,2022-07-01,2023-06-30,11,9,-2,0.432129,3.248769,2.816640,false
BB,train_2,2023-07-01,2024-06-30,11,11,0,-3.932222,-6.993466,-3.061244,false
CE,recent_1y,2025-07-01,2026-06-26,18,18,0,-5.120761,-5.120761,0.000000,true
CE,stress_pre_2022h1,,2022-06-30,23,21,-2,0.710074,-0.015842,-0.725916,false
CE,train_1,2022-07-01,2023-06-30,20,17,-3,0.270080,1.664154,1.394073,false
CE,train_2,2023-07-01,2024-06-30,18,18,0,-0.562322,-0.562322,0.000000,true
