ticker,period_label,period_reproduction_status,trade_match_status,confidence_tier,component_matches_original,entry_date,exit_date,pnl_pct,score,threshold,ratio,market_adjustment,positive_component_count,active_combo,ma_align,macd,rsi,bb,volume,news,news_topics,events
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-07-02,2025-07-15,-1.68630363,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-07-18,2025-08-01,-13.8862509,4.44938834,2.65418666,1.67636602,1.0,4,MA+RSI+BB+NewsTopics,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.64929315,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-08-25,2025-09-09,-7.59799938,2.89286541,2.65418666,1.08992538,1.0,2,MACD+RSI,0.0,1.16778788,1.72507752,0.0,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-09-12,2025-09-25,-14.8960824,4.13610974,2.65418666,1.55833416,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.72507752,0.84777635,0.0,0.0,1.56325587,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-10-03,2025-10-10,-12.91931495,2.89286541,2.65418666,1.08992538,1.0,2,MACD+RSI,0.0,1.16778788,1.72507752,0.0,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-10-15,2025-10-29,-6.35435654,3.11952454,2.65418666,1.17532221,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.54667067,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-11-11,2025-11-18,-14.82023647,6.73259669,2.65418666,2.53659503,1.0,3,MACD+RSI+NewsTopics,0.0,1.16778788,1.72507752,0.0,0.0,0.0,3.83973129,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-11-25,2025-12-10,9.19594674,3.74064175,2.65418666,1.40933635,1.0,3,MACD+RSI+BB,0.0,1.16778788,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2025-12-15,2025-12-30,-4.13576965,2.92681703,2.65418666,1.1027171,1.0,2,RSI+NewsTopics,0.0,0.0,1.72507752,0.0,0.0,0.0,1.20173951,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-01-05,2026-01-20,4.03896082,7.97158449,2.65418666,3.0034001,1.0,4,MA+RSI+BB+NewsTopics,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,4.1714893,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-01-23,2026-02-06,13.6605207,7.12380815,2.65418666,2.68398913,1.0,3,MA+RSI+NewsTopics,1.22724132,0.0,1.72507752,0.0,0.0,0.0,4.1714893,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-02-11,2026-02-25,-13.17701602,6.13614467,2.65418666,2.31187382,1.0,3,MA+RSI+NewsTopics,1.22724132,0.0,1.72507752,0.0,0.0,0.0,3.18382582,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-03-05,2026-03-19,13.32956615,5.86564545,2.65418666,2.20995966,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.72507752,0.84777635,0.0,0.0,3.29279157,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-03-30,2026-04-08,-5.3243146,4.29354953,2.65418666,1.61765168,1.0,2,MA+RSI,1.22724132,0.0,1.72507752,0.0,0.0,0.0,-0.65876932,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-04-14,2026-04-28,-3.0424456,4.12010673,2.65418666,1.55230481,1.0,3,MA+MACD+RSI,1.22724132,1.16778788,1.72507752,0.0,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-05-01,2026-05-07,-13.23351393,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-05-12,2026-05-27,-13.06722924,2.8472365,2.65418666,1.07273408,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.27438263,0.0
CE,recent_1y,exact_period,exact,A_period_exact,True,2026-06-03,2026-06-17,-8.25786636,2.89286541,2.65418666,1.08992538,1.0,2,MACD+RSI,0.0,1.16778788,1.72507752,0.0,0.0,0.0,0.0,0.0
