ticker,period_label,period_reproduction_status,trade_match_status,confidence_tier,component_matches_original,entry_date,exit_date,pnl_pct,score,threshold,ratio,market_adjustment,positive_component_count,active_combo,ma_align,macd,rsi,bb,volume,news,news_topics,events
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-03-18,2021-04-01,3.86937677,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-04-07,2021-04-21,3.3807639,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-04-26,2021-05-10,4.84004516,3.88886444,2.65418666,1.46518121,1.0,4,MA+RSI+BB+Volume,1.22724132,0.0,1.72507752,0.84777635,0.08876925,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-05-13,2021-05-27,1.1399884,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-06-04,2021-06-14,-6.24363534,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-07-02,2021-07-19,-4.21354824,7.91213105,2.65418666,2.98100023,1.0,4,MACD+RSI+BB+NewsTopics,0.0,1.16778788,1.72507752,0.84777635,0.0,0.0,4.1714893,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-08-19,2021-09-02,2.52806207,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-09-16,2021-09-30,0.2242117,2.66162312,2.65418666,1.00280178,1.0,3,RSI+BB+Volume,0.0,0.0,1.72507752,0.84777635,0.08876925,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-10-06,2021-10-20,5.56249206,2.66162312,2.65418666,1.00280178,1.0,3,RSI+BB+Volume,0.0,0.0,1.72507752,0.84777635,0.08876925,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-10-25,2021-11-08,-0.26462726,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-11-11,2021-11-26,-4.50506262,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-12-14,2021-12-29,6.0335421,3.74064175,2.65418666,1.40933635,1.0,3,MACD+RSI+BB,0.0,1.16778788,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-01-04,2022-01-19,-0.62575282,2.66162312,2.65418666,1.00280178,1.0,3,RSI+BB+Volume,0.0,0.0,1.72507752,0.84777635,0.08876925,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-01-27,2022-01-28,-2.73163188,4.57285387,2.65418666,1.7228833,1.0,2,RSI+BB,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-02-11,2022-02-18,-8.47681728,3.74064175,2.65418666,1.40933635,1.0,3,MACD+RSI+BB,0.0,1.16778788,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-02-24,2022-03-10,3.27976171,4.18291189,2.65418666,1.57596749,1.0,2,BB+NewsTopics,0.0,0.0,0.0,0.84777635,0.0,0.0,1.33513554,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-03-15,2022-03-29,4.29882192,4.57285387,2.65418666,1.7228833,1.0,2,RSI+BB,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-06-02,2022-06-10,-3.36584522,3.8000952,2.65418666,1.43173622,1.0,3,MA+RSI+BB,1.22724132,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-06-15,2022-06-16,-6.66865343,2.84777635,2.65418666,1.07293748,1.0,1,BB,0.0,0.0,0.0,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-06-22,2022-06-30,-2.01666716,2.84777635,2.65418666,1.07293748,1.0,1,BB,0.0,0.0,0.0,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,entry_date_match_but_values_differ,C_signal_exact_exit_diff,True,2022-04-28,2022-05-10,-0.07275103,4.57285387,2.65418666,1.7228833,1.0,2,RSI+BB,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
CE,stress_pre_2022h1,mismatch_period,entry_date_match_but_values_differ,C_signal_exact_exit_diff,True,2022-05-13,2022-05-27,12.42183448,4.57285387,2.65418666,1.7228833,1.0,2,RSI+BB,0.0,0.0,1.72507752,0.84777635,0.0,0.0,0.0,0.0
