file,row_count,confidence_tier_counts
signal_component_entries_ANET_recent_1y_part1.csv,11,B_trade_exact:11
signal_component_entries_ANET_recent_1y_part2.csv,11,B_trade_exact:8|C_signal_exact_exit_diff:3
signal_component_entries_ANET_stress_pre_2022h1_part1.csv,11,B_trade_exact:11
signal_component_entries_ANET_stress_pre_2022h1_part2.csv,11,B_trade_exact:4|C_signal_exact_exit_diff:5|D_low_partial_or_rerun_only:2
signal_component_entries_ANET_train_1_part1.csv,9,B_trade_exact:9
signal_component_entries_ANET_train_1_part2.csv,9,B_trade_exact:2|C_signal_exact_exit_diff:4|D_low_partial_or_rerun_only:3
signal_component_entries_ANET_train_2_part1.csv,9,B_trade_exact:9
signal_component_entries_ANET_train_2_part2.csv,8,B_trade_exact:1|C_signal_exact_exit_diff:4|D_low_partial_or_rerun_only:3
signal_component_entries_BB_recent_1y.csv,10,B_trade_exact:6|C_signal_exact_exit_diff:3|D_low_partial_or_rerun_only:1
signal_component_entries_BB_stress_pre_2022h1.csv,11,B_trade_exact:6|C_signal_exact_exit_diff:3|D_low_partial_or_rerun_only:2
signal_component_entries_BB_train_1_part1.csv,5,B_trade_exact:3|C_signal_exact_exit_diff:2
signal_component_entries_BB_train_1_part2.csv,4,C_signal_exact_exit_diff:1|D_low_partial_or_rerun_only:3
signal_component_entries_BB_train_2_part1.csv,6,B_trade_exact:6
signal_component_entries_BB_train_2_part2.csv,5,B_trade_exact:3|C_signal_exact_exit_diff:1|D_low_partial_or_rerun_only:1
signal_component_entries_CE_recent_1y.csv,18,A_period_exact:18
signal_component_entries_CE_stress_pre_2022h1.csv,22,B_trade_exact:20|C_signal_exact_exit_diff:2
signal_component_entries_CE_train_1.csv,17,B_trade_exact:11|C_signal_exact_exit_diff:3|D_low_partial_or_rerun_only:3
signal_component_entries_CE_train_2.csv,18,A_period_exact:18
