scope,condition,status,count,total,rate_pct
ALL,COMPLETENESS,FAIL,13897,17071,81.407065
ALL,AVG_PNL_LT_0,FAIL,992,17071,5.811025
ALL,WIN_RATE_LT_STAGE_CUTOFF,FAIL,3568,17071,20.900943
ALL,HIGH_VOL_VOLUME_WEIGHT_NEAR_ZERO,FAIL,444,17071,2.600902
ALL,CE_RATIO_LT_1_25_AND_TOP2_GE_90,FAIL,7,17071,0.041005
ALL,OR_FINAL_STATUS,FAIL,14215,17071,83.269873
ALL,OR_FINAL_STATUS,UNJUDGED,2851,17071,16.700838
ALL,OR_FINAL_STATUS,PASS,5,17071,0.029289
ALL,CE_COVERAGE,PASS,27,17071,0.158163
ALL,CE_COVERAGE,FAIL,7,17071,0.041005
ALL,CE_COVERAGE,UNJUDGED,17037,17071,99.800832
ALL,SAMPLE_REFERENCE_WARNING,BELOW_P10_NOT_BLOCKED,886,17071,5.190088
stage2,COMPLETENESS,FAIL,0,1162,0.0
stage2,AVG_PNL_LT_0,FAIL,0,1162,0.0
stage2,WIN_RATE_LT_STAGE_CUTOFF,FAIL,110,1162,9.466437
stage2,HIGH_VOL_VOLUME_WEIGHT_NEAR_ZERO,FAIL,2,1162,0.172117
stage2,CE_RATIO_LT_1_25_AND_TOP2_GE_90,FAIL,0,1162,0.0
stage2,OR_FINAL_STATUS,UNJUDGED,1048,1162,90.189329
stage2,OR_FINAL_STATUS,FAIL,112,1162,9.638554
stage2,OR_FINAL_STATUS,PASS,2,1162,0.172117
stage2,CE_COVERAGE,PASS,2,1162,0.172117
stage2,CE_COVERAGE,FAIL,0,1162,0.0
stage2,CE_COVERAGE,UNJUDGED,1160,1162,99.827883
stage2,SAMPLE_REFERENCE_WARNING,BELOW_P10_NOT_BLOCKED,103,1162,8.864028
stage3,COMPLETENESS,FAIL,13897,15909,87.353071
stage3,AVG_PNL_LT_0,FAIL,992,15909,6.235464
stage3,WIN_RATE_LT_STAGE_CUTOFF,FAIL,3458,15909,21.736124
stage3,HIGH_VOL_VOLUME_WEIGHT_NEAR_ZERO,FAIL,442,15909,2.778302
stage3,CE_RATIO_LT_1_25_AND_TOP2_GE_90,FAIL,7,15909,0.044
stage3,OR_FINAL_STATUS,FAIL,14103,15909,88.647935
stage3,OR_FINAL_STATUS,UNJUDGED,1803,15909,11.333208
stage3,OR_FINAL_STATUS,PASS,3,15909,0.018857
stage3,CE_COVERAGE,PASS,25,15909,0.157144
stage3,CE_COVERAGE,FAIL,7,15909,0.044
stage3,CE_COVERAGE,UNJUDGED,15877,15909,99.798856
stage3,SAMPLE_REFERENCE_WARNING,BELOW_P10_NOT_BLOCKED,783,15909,4.921742
