record_type,source,candidate_id,ticker,position_id,signal_time_utc,signal_time_kst,entry_price,score,raw_score,threshold,ratio,score_minus_threshold,ratio_lt_1_25,component_breakdown_available,positive_component_n,top2_share_pct,technical_core_only,news_event_bonus,pnl_pct,data_quality,ce_symptom_verdict,intent_status,execution_mode,notional
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1782950417-stage3-ANET-fe220620802b,2026-07-02T00:00:17.353337+00:00,2026-07-02T09:00:17.353337+09:00,166.7014,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,-2.417736143787641,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
STRATEGY_SIM_ENTRY,elite_strategy_sim_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1782950728-stage3-ANET-fe220620802b,2026-07-02T00:05:28.200248+00:00,2026-07-02T09:05:28.200248+09:00,166.7014,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,1.0789351499147504,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1782999034-stage3-ANET-fe220620802b,2026-07-02T13:30:34.191174+00:00,2026-07-02T22:30:34.191174+09:00,166.6199951171875,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,-0.7802111577631776,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1783345030-stage3-ANET-fe220620802b,2026-07-06T13:37:10.564990+00:00,2026-07-06T22:37:10.564990+09:00,165.64500427246094,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,5.8948971651879845,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1783350364-stage3-ANET-fe220620802b,2026-07-06T15:06:04.280203+00:00,2026-07-07T00:06:04.280203+09:00,175.0500030517578,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,-1.3938888311157638,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1783355719-stage3-ANET-fe220620802b,2026-07-06T16:35:19.357882+00:00,2026-07-07T01:35:19.357882+09:00,172.97999572753906,3.025097065320651,,2.639090277958454,1.1462650939174404,0.38600678736219685,True,False,,,,,-4.902298495194735,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,LOW_RATIO_ONLY,,,
SHADOW_CLOSED_TRADE_ENTRY,elite_shadow_trades.jsonl,stage3:ANET:fe220620802b,ANET,shadow-1783431701-stage3-ANET-fe220620802b,2026-07-07T13:41:41.010735+00:00,2026-07-07T22:41:41.010735+09:00,167.14999389648438,5.025097065320651,,2.639090277958454,1.9041019957862004,2.386006787362197,False,False,,,,,-0.4427102969763008,RATIO_AND_OUTCOME_ONLY_NO_COMPONENTS,NOT_LOW_RATIO_OR_UNKNOWN,,,
LIVE_ORDER_INTENT,live_slots_events.jsonl,stage3:ANET:fe220620802b,ANET,,2026-07-09T17:23:23.971313+00:00,2026-07-10T02:23:23.971313+09:00,,,,,,,,False,,,,,,INTENT_STATUS_ONLY_NO_SIGNAL_FIELDS,UNVERIFIABLE,rejected,blocked_fallback_candidate_no_verified_full_rulebook,180.0
LIVE_ORDER_INTENT,live_slots_events.jsonl,stage3:ANET:fe220620802b,ANET,,2026-07-09T17:29:27.127415+00:00,2026-07-10T02:29:27.127415+09:00,,,,,,,,False,,,,,,INTENT_STATUS_ONLY_NO_SIGNAL_FIELDS,UNVERIFIABLE,rejected,blocked_fallback_candidate_no_verified_full_rulebook,100.0
LIVE_ORDER_INTENT,live_slots_events.jsonl,stage3:ANET:fe220620802b,ANET,,2026-07-09T18:12:20.448251+00:00,2026-07-10T03:12:20.448251+09:00,,,,,,,,False,,,,,,INTENT_STATUS_ONLY_NO_SIGNAL_FIELDS,UNVERIFIABLE,submitted,direct_alpaca_live_market_order,30.0
