source,path,ticker,candidate_id,matching_record_n,timing_class,has_score,has_raw_score,has_threshold,has_ratio,has_component_breakdown,has_market_context,has_news_event_fields,has_trade_outcome,entry_time_component_verifiable,note
ELITE_SHADOW_TRADES,data/_system/elite_shadow_trades.jsonl,ANET,stage3:ANET:fe220620802b,6,HISTORICAL_ENTRY,True,False,True,True,False,False,False,True,False,진입 score·threshold·ratio와 outcome은 있으나 technical component dict 없음
ELITE_STRATEGY_SIM_TRADES,data/_system/elite_strategy_sim_trades.jsonl,ANET,stage3:ANET:fe220620802b,1,HISTORICAL_ENTRY,True,False,True,True,False,False,False,True,False,ANET 1건 ratio+outcome; BB 0건; component 없음
ELITE_SHADOW_STATE_EVENTS,data/_system/elite_shadow_state.json#events,ANET,stage3:ANET:fe220620802b,12,HISTORICAL_EVENT,False,False,False,False,False,False,False,False,False,OPEN/CLOSE time과 position_id만 있으며 signal 필드 없음
LIVE_ORDER_INTENTS,data/_system/live_slots_events.jsonl,ANET,stage3:ANET:fe220620802b,3,LIVE_ORDER_INTENT,False,False,False,False,False,False,False,False,False,status·notional·execution_mode만 저장; 진입 signal snapshot 없음
PENDING_BROKER_ORDER_STATE,data/_system/pending_orders.json,ANET,stage3:ANET:fe220620802b,1,LIVE_ORDER_STATE,False,False,False,False,False,True,False,False,False,candidate_id와 market/sector/VIX context는 있으나 score·threshold·components 없음
REAL_DASHBOARD_POINT_SNAPSHOT,data/_system/real_dashboard_buy_candidates.json,ANET,stage3:ANET:fe220620802b,1,POINT_IN_TIME_SIGNAL,True,True,True,True,True,True,True,False,False,2026-07-10 point snapshot; 실제 shadow/live 주문 시점 snapshot이 아님
LIVE_SLOTS_POINT_SNAPSHOT,data/_system/live_slots_state.json#candidate_pool,ANET,stage3:ANET:fe220620802b,1,POINT_IN_TIME_SIGNAL,True,False,True,True,False,True,False,False,False,point snapshot score·threshold·ratio만; component 없음
LIVE93_DERIVED_POINT_SCAN,data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan.csv,ANET,stage3:ANET:fe220620802b,1,DERIVED_POINT_IN_TIME_SIGNAL,True,False,True,True,True,False,False,True,False,real dashboard/evaluate point snapshot을 분해한 파생 분석; 별도 역사 진입 snapshot이 아님
CANONICAL_STAGE3_EXIT_TRADES,exp_batch_stage123_2009_20260616_full/tickers/*/stage3/exit_trades.jsonl,ANET,stage3:ANET:fe220620802b,81,HISTORICAL_BACKTEST_OUTCOME,False,False,False,False,False,False,False,True,False,성과는 있으나 entry score·threshold·components 0건
DAILY_SIGNAL_REPLAY,data/_system/research/central_portfolio/daily_signal_replay/daily_signal_replay.jsonl,ANET,stage3:ANET:fe220620802b,0,LIMITED_REPLAY,False,False,False,False,False,False,False,False,False,해당 candidate_id 기록 없음
LIVE_AUTO_EVENTS,data/_system/live_auto_events.jsonl,ANET,stage3:ANET:fe220620802b,0,LIVE_AUTO_EVENT,False,False,False,False,False,False,False,False,False,해당 candidate_id 기록 없음
APPLICATION_TEXT_LOGS,data/logs/*; logs/*,ANET,stage3:ANET:fe220620802b,0,UNSTRUCTURED_LOG,False,False,False,False,False,False,False,False,False,candidate_id exact match 없음
ELITE_SHADOW_TRADES,data/_system/elite_shadow_trades.jsonl,BB,stage3:BB:f1bdfe7f8ad9,4,HISTORICAL_ENTRY,True,False,True,True,False,False,False,True,False,진입 score·threshold·ratio와 outcome은 있으나 technical component dict 없음
ELITE_STRATEGY_SIM_TRADES,data/_system/elite_strategy_sim_trades.jsonl,BB,stage3:BB:f1bdfe7f8ad9,0,HISTORICAL_ENTRY,False,False,False,False,False,False,False,False,False,ANET 1건 ratio+outcome; BB 0건; component 없음
ELITE_SHADOW_STATE_EVENTS,data/_system/elite_shadow_state.json#events,BB,stage3:BB:f1bdfe7f8ad9,7,HISTORICAL_EVENT,False,False,False,False,False,False,False,False,False,OPEN/CLOSE time과 position_id만 있으며 signal 필드 없음
LIVE_ORDER_INTENTS,data/_system/live_slots_events.jsonl,BB,stage3:BB:f1bdfe7f8ad9,2,LIVE_ORDER_INTENT,False,False,False,False,False,False,False,False,False,status·notional·execution_mode만 저장; 진입 signal snapshot 없음
PENDING_BROKER_ORDER_STATE,data/_system/pending_orders.json,BB,stage3:BB:f1bdfe7f8ad9,1,LIVE_ORDER_STATE,False,False,False,False,False,True,False,False,False,candidate_id와 market/sector/VIX context는 있으나 score·threshold·components 없음
REAL_DASHBOARD_POINT_SNAPSHOT,data/_system/real_dashboard_buy_candidates.json,BB,stage3:BB:f1bdfe7f8ad9,1,POINT_IN_TIME_SIGNAL,True,True,True,True,True,True,True,False,False,2026-07-10 point snapshot; 실제 shadow/live 주문 시점 snapshot이 아님
LIVE_SLOTS_POINT_SNAPSHOT,data/_system/live_slots_state.json#candidate_pool,BB,stage3:BB:f1bdfe7f8ad9,1,POINT_IN_TIME_SIGNAL,True,False,True,True,False,True,False,False,False,point snapshot score·threshold·ratio만; component 없음
LIVE93_DERIVED_POINT_SCAN,data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan.csv,BB,stage3:BB:f1bdfe7f8ad9,1,DERIVED_POINT_IN_TIME_SIGNAL,True,False,True,True,True,False,False,True,False,real dashboard/evaluate point snapshot을 분해한 파생 분석; 별도 역사 진입 snapshot이 아님
CANONICAL_STAGE3_EXIT_TRADES,exp_batch_stage123_2009_20260616_full/tickers/*/stage3/exit_trades.jsonl,BB,stage3:BB:f1bdfe7f8ad9,46,HISTORICAL_BACKTEST_OUTCOME,False,False,False,False,False,False,False,True,False,성과는 있으나 entry score·threshold·components 0건
DAILY_SIGNAL_REPLAY,data/_system/research/central_portfolio/daily_signal_replay/daily_signal_replay.jsonl,BB,stage3:BB:f1bdfe7f8ad9,0,LIMITED_REPLAY,False,False,False,False,False,False,False,False,False,해당 candidate_id 기록 없음
LIVE_AUTO_EVENTS,data/_system/live_auto_events.jsonl,BB,stage3:BB:f1bdfe7f8ad9,0,LIVE_AUTO_EVENT,False,False,False,False,False,False,False,False,False,해당 candidate_id 기록 없음
APPLICATION_TEXT_LOGS,data/logs/*; logs/*,BB,stage3:BB:f1bdfe7f8ad9,0,UNSTRUCTURED_LOG,False,False,False,False,False,False,False,False,False,candidate_id exact match 없음
