gate,split,blocked_count,blocked_avg_pnl_pct,blocked_sum_pnl_pct,blocked_win_rate_pct,CE_blocked,BOIL_blocked,CE_BOIL_type_blocked
GateA_bb_rsi_no_trend_volume,IS,9377,1.094523,10263.344901,53.833849,87,179,9377
GateA_bb_rsi_no_trend_volume,OOS,2633,3.243904,8541.200174,62.020509,36,102,2633
GateA_literal_BB_RSI_only_no_other_positive,IS,7097,1.024869,7273.496100,52.811047,41,178,7097
GateA_literal_BB_RSI_only_no_other_positive,OOS,1069,3.734431,3992.106364,62.488307,0,102,1069
GateB_ratio_lt_1.05,IS,1815,1.630089,2958.612311,55.537190,20,7,1815
GateB_ratio_lt_1.05,OOS,643,2.504009,1610.077561,63.297045,2,4,643
GateB_ratio_lt_1.10,IS,3712,1.355222,5030.582885,56.573276,38,14,3712
GateB_ratio_lt_1.10,OOS,1429,2.919664,4172.199690,62.001400,23,8,1429
GateB_ratio_lt_1.15,IS,6400,1.162156,7437.796486,56.250000,110,20,6400
GateB_ratio_lt_1.15,OOS,2408,2.849694,6862.062183,61.544850,49,13,2408
GateB_ratio_lt_1.25,IS,10865,1.161967,12624.770219,55.250805,110,40,10865
GateB_ratio_lt_1.25,OOS,3909,2.857327,11169.291643,60.629317,66,31,3909
