scenario,split,trade_count,blocked_trades,kept_pct,avg_pnl_pct,win_rate_pct,sum_pnl_pct,CAGR_pct,Sharpe,MDD_pct,final_multiplier,accepted_signals,skipped_signals,avg_active_positions,delta_CAGR_pct,delta_Sharpe,delta_MDD_pct,delta_avg_pnl_pct,delta_win_rate_pct,OOS_verdict
baseline,IS,31057,0,100.000000,1.052123,54.187462,32675.768898,-7.593130,-0.126254,-59.563947,0.724120,1808,29249,18.619279,0.000000,0.000000,0.000000,0.000000,0.000000,
baseline,OOS,12915,0,100.000000,3.099643,61.339528,40031.889366,88.302770,2.072251,-18.496084,2.595181,761,12154,19.989362,0.000000,0.000000,0.000000,0.000000,0.000000,
GateA_bb_rsi_no_trend_volume,IS,21680,9377,69.807129,1.033783,54.340406,22412.423997,-1.639859,0.073760,-48.855996,0.934646,1673,20007,18.608569,5.953271,0.200014,10.707950,-0.018339,0.152944,OOS_DEGRADED
GateA_bb_rsi_no_trend_volume,OOS,10282,2633,79.612853,3.062701,61.165143,31490.689192,96.362320,2.227613,-19.669590,2.764359,710,9572,19.994681,8.059550,0.155362,-1.173507,-0.036942,-0.174385,OOS_DEGRADED
GateB_ratio_ge_1.05,IS,29242,1815,94.155907,1.016249,54.103686,29717.156587,-7.387942,-0.118301,-59.259423,0.730715,1808,27434,18.619279,0.205188,0.007954,0.304524,-0.035873,-0.083775,OOS_NEUTRAL
GateB_ratio_ge_1.05,OOS,12272,643,95.021293,3.130852,61.236962,38421.811805,88.302770,2.072251,-18.496084,2.595181,761,11511,19.989362,0.000000,0.000000,0.000000,0.031209,-0.102565,OOS_NEUTRAL
GateB_ratio_ge_1.10,IS,27345,3712,88.047783,1.010978,53.863595,27645.186014,-8.189136,-0.147861,-59.561865,0.705878,1809,25536,18.655610,-0.596006,-0.021607,0.002082,-0.041145,-0.323867,OOS_NEUTRAL
GateB_ratio_ge_1.10,OOS,11486,1429,88.935346,3.122035,61.257183,35859.689676,88.302770,2.072251,-18.496084,2.595181,761,10725,19.989362,0.000000,0.000000,0.000000,0.022392,-0.082345,OOS_NEUTRAL
GateB_ratio_ge_1.15,IS,24657,6400,79.392729,1.023562,53.652107,25237.972412,-8.097687,-0.142987,-60.110039,0.708749,1811,22846,18.655610,-0.504557,-0.016732,-0.546092,-0.028560,-0.535355,OOS_DEGRADED
GateB_ratio_ge_1.15,OOS,10507,2408,81.355014,3.156927,61.292472,33169.827184,87.258269,2.007849,-20.835336,2.573520,764,9743,19.989362,-1.044502,-0.064402,-2.339252,0.057284,-0.047056,OOS_DEGRADED
GateB_ratio_ge_1.25,IS,20192,10865,65.015938,0.993017,53.615293,20050.998679,-8.319601,-0.152804,-55.285819,0.702132,1808,18384,18.698925,-0.726471,-0.026549,4.278128,-0.059106,-0.572169,OOS_DEGRADED
GateB_ratio_ge_1.25,OOS,9006,3909,69.732869,3.204819,61.647790,28862.597723,93.678511,2.099897,-19.656175,2.707625,750,8256,19.978723,5.375740,0.027645,-1.160091,0.105176,0.308263,OOS_DEGRADED
GateA_plus_GateB_1.05,IS,20384,10673,65.634157,1.003343,54.263148,20452.136796,1.299306,0.182668,-51.197681,1.054186,1675,18709,18.608569,8.892436,0.308922,8.366266,-0.048780,0.075686,OOS_DEGRADED
GateA_plus_GateB_1.05,OOS,9730,3185,75.338753,3.091657,60.976362,30081.824099,90.845513,2.166236,-20.682863,2.648167,706,9024,19.989362,2.542743,0.093985,-2.186780,-0.007986,-0.363166,OOS_DEGRADED
GateA_plus_GateB_1.10,IS,19106,11951,61.519142,0.981021,53.852193,18743.393564,0.593950,0.156885,-51.782953,1.024436,1674,17432,18.644878,8.187080,0.283139,7.780993,-0.071101,-0.335269,OOS_DEGRADED
GateA_plus_GateB_1.10,OOS,9174,3741,71.033682,3.097911,61.074777,28420.236887,90.740851,2.158856,-20.343029,2.645979,706,8468,19.986702,2.438081,0.086604,-1.846946,-0.001732,-0.264751,OOS_DEGRADED
GateA_plus_GateB_1.15,IS,17160,13897,55.253244,1.040751,53.956876,17859.282627,0.336116,0.147500,-53.220738,1.013774,1685,15475,18.644878,7.929246,0.273754,6.343209,-0.011372,-0.230585,OOS_DEGRADED
GateA_plus_GateB_1.15,OOS,8412,4503,65.133566,3.115203,61.162625,26205.090395,90.101987,2.149210,-19.609939,2.632636,711,7701,19.981383,1.799217,0.076959,-1.113856,0.015560,-0.176903,OOS_DEGRADED
GateA_plus_GateB_1.25,IS,14470,16587,46.591751,0.981418,53.600553,14201.119707,0.912963,0.171331,-48.699568,1.037693,1682,12788,18.677419,8.506093,0.297585,10.864378,-0.070704,-0.586909,OOS_DEGRADED
GateA_plus_GateB_1.25,OOS,7246,5669,56.105304,3.164429,61.523599,22929.449625,90.044868,2.138874,-21.213434,2.631444,706,6540,19.973404,1.742098,0.066623,-2.717351,0.064786,0.184072,OOS_DEGRADED
