comparison,unit,metric,blocked_n,control_n,difference_blocked_minus_control,bootstrap_ci_low,bootstrap_ci_high,bootstrap_reps,ci_excludes_zero,seed
POLICY_ENTRY_RULE_ALL,ENTRY_RULE,pnl,125,721,-2.7061794860506043,-3.469930310835617,-1.9336631496930092,20000,True,20260711
POLICY_ENTRY_RULE_ALL,ENTRY_RULE,win,125,721,-6.17279088125764,-8.808388910069484,-3.4946486410025406,20000,True,20260712
POLICY_ENTRY_RULE_EXACT_ZERO,ENTRY_RULE,pnl,120,721,-2.6804870673362617,-3.444029293846087,-1.884784168154949,20000,True,20260721
POLICY_ENTRY_RULE_EXACT_ZERO,ENTRY_RULE,win,120,721,-6.29521421569406,-9.068561561079385,-3.5446679977361986,20000,True,20260722
POLICY_ENTRY_RULE_NEAR_NONZERO,ENTRY_RULE,pnl,5,721,-3.3227975351948316,-4.8555294767356445,-1.7370495366274081,20000,True,20260731
POLICY_ENTRY_RULE_NEAR_NONZERO,ENTRY_RULE,win,5,721,-3.234630854783731,-11.457847285264096,4.935849357571472,20000,False,20260732
FROZEN_LIVE93_PRIOR_ALL,CANDIDATE,pnl,8,23,-2.687742658214348,-4.521407100953219,-0.8894192468666403,20000,True,20260741
FROZEN_LIVE93_PRIOR_ALL,CANDIDATE,win,8,23,-6.914456609546882,-13.501828656705895,-0.14071571230504365,20000,True,20260742
FROZEN_LIVE93_V3_SURVIVORS,CANDIDATE,pnl,5,20,-3.8117855275049015,-5.9438499531976925,-1.7373438323674637,20000,True,20260751
FROZEN_LIVE93_V3_SURVIVORS,CANDIDATE,win,5,20,-11.227265090798014,-18.102330865616636,-4.0705241420294405,20000,True,20260752
