candidate_id,stage,ticker,rulebook_hash,activity_rule_hash,source_file,source_row_index,vol_group_final,classification_method,weight_volume_surge,near_zero,exact_zero,volume_reachability_label,nonvolume_entry_possible_market_cap,market_cap_nonvolume_min_count,market_cap_nonvolume_subset,holdout_n,holdout_avg_pnl_pct,holdout_win_rate_pct,holdout_avg_mae_pct,holdout_worst_mae_pct,holdout_avg_mfe_pct,sample_ok,absolute_good,relative_good,block_reason,v3_overlap_excluded
stage3:APLD:463a0d786d9e,stage3,APLD,463a0d786d9e40d61ad3a09cb0d4098f2f4e4f865fbba6da9a5b46e1eb962806,0128fb5ebcf522906e1e7bf0966774d69f996ac54392f5176d37f30d601156d5,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,6,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,rsi+bb,9,18.584244227007183,66.66666666666666,-15.33835221805189,-34.40816942811523,33.40401723280209,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:e1009612bfd7,stage3,APLD,e1009612bfd7aae37651ab5e2f9d4b445aacf0d38441a9f1a0d6d8ece596a495,fe943021bb0d9900f4c6e37bd3452490f7878751b21cc780c1b6a10c9eb5e8c6,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,27,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,macd+rsi,10,18.57163729309255,60.0,-13.863326165891845,-28.688292968743696,38.84359776921171,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:8fff6d64fd88,stage3,APLD,8fff6d64fd88e23e98bf04e2afad88b4a3702f04d5280de0baa393dc7fed041f,0128fb5ebcf522906e1e7bf0966774d69f996ac54392f5176d37f30d601156d5,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,5,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,rsi+bb,9,18.42474633012714,66.66666666666666,-14.722521010532713,-34.40816942811523,33.40401723280209,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:92db15cfdcce,stage3,APLD,92db15cfdcceffbf917a3494decfb2ba6e4166548e8c940d1166c0fa8f64ea81,0128fb5ebcf522906e1e7bf0966774d69f996ac54392f5176d37f30d601156d5,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,4,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,rsi+bb,9,18.34219942725828,66.66666666666666,-15.33835221805189,-34.40816942811523,33.40401723280209,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:351fe531fccd,stage3,APLD,351fe531fccd5b4aba4c0667101e763830062102801950faeff88af9da785019,40ea59145353ffe29b076d81cdbbd1d75216e267662cfec3e0592dc033ece803,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,56,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,1.0,macd,11,14.357470563495394,54.54545454545454,-15.346827560593011,-36.507936507936506,35.83599359356738,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:29d745a77b24,stage3,APLD,29d745a77b248959f3f77e6a0efd484d32b4f2fa6f9cbed6d24422b0346ca4a7,fe943021bb0d9900f4c6e37bd3452490f7878751b21cc780c1b6a10c9eb5e8c6,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,25,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,macd+rsi,9,14.202498111010108,66.66666666666666,-18.12919586525581,-34.28679293750337,31.316676734385037,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:f397169802b4,stage3,APLD,f397169802b41432afd7d79a4b2392c3c7c3d1d5fec7550c1a0622d7c785f243,fe943021bb0d9900f4c6e37bd3452490f7878751b21cc780c1b6a10c9eb5e8c6,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,26,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,macd+rsi,9,14.202498111010108,66.66666666666666,-18.12919586525581,-34.28679293750337,31.316676734385037,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:61b4a8154c6b,stage3,APLD,61b4a8154c6b73e22000661c67a32bd22d6fc921240aa595571113d610005111,40ea59145353ffe29b076d81cdbbd1d75216e267662cfec3e0592dc033ece803,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,40,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,1.0,macd,11,13.2800022731691,54.54545454545454,-15.346827560593011,-36.507936507936506,35.83599359356738,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:df532f844328,stage3,APLD,df532f844328c7260d2dfb5b8b8bf798c8625bbf18444bfe12cda513b62bdd21,40ea59145353ffe29b076d81cdbbd1d75216e267662cfec3e0592dc033ece803,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,41,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,1.0,macd,11,10.808965118383838,63.63636363636363,-14.720954599077714,-36.507936507936506,35.712949527083595,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
stage3:APLD:22ae68596c00,stage3,APLD,22ae68596c000da751e750211bcfc924d61167139959f0d246507b909908182e,790f3a56465c0eade1c133682cda0f680dce8b847f971e96c041f7063e41a200,exp_batch_stage123_2009_20260616_full/tickers/APLD/stage3/final_rulebooks.jsonl,31,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,0.0,True,True,REACHABLE,True,2.0,macd+rsi,9,10.097611729998231,55.55555555555556,-21.17561755233517,-33.214173118819325,28.516551960768385,True,True,True,HIGH_VOL_VOLUME_BLIND_AND_ABS_WEIGHT_VOLUME_SURGE_LTE_0_05_AND_V3_PASS,False
