population,group,unit,candidate_n,unique_entry_rule_n,ticker_n,analysis_unit_n,holdout_trade_n,candidate_equal_avg_pnl_pct,trade_weighted_avg_pnl_pct,candidate_equal_win_rate_pct,candidate_equal_avg_mae_pct,worst_mae_pct,candidate_equal_avg_mfe_pct
POLICY_V3_SURVIVORS,BOIL_EXCLUSIVE_NEAR_ZERO,CANDIDATE,371,125,18,371,6769.0,0.4005955366933011,0.010729953457323114,47.38511451639707,-7.6930139045310515,-49.27697376111975,10.364960467419907
POLICY_V3_SURVIVORS,NON_BOIL_HIGH_VOL,CANDIDATE,2135,721,58,2135,36059.0,3.0484448685789456,2.36165402196719,53.637408622975265,-7.861124906858066,-73.2073959656107,14.32837047405262
POLICY_V3_SURVIVORS,BOIL_EXCLUSIVE_NEAR_ZERO,ENTRY_RULE,371,125,18,125,2280.3333333333335,0.4296725236227033,0.046623560930869584,47.72633996155549,-7.653540346925242,-49.27697376111975,10.35228729588824
POLICY_V3_SURVIVORS,NON_BOIL_HIGH_VOL,ENTRY_RULE,2135,721,58,721,12114.333333333332,3.135852009673308,2.4078714452044023,53.89913084281313,-7.831382254472788,-73.2073959656107,14.388067815137973
POLICY_V3_SURVIVORS,BOIL_EXACT_ZERO,ENTRY_RULE,356,120,18,120,2195.0,0.4553649423370462,0.056573860631747186,47.60391662711907,-7.674237893093196,-49.27697376111975,10.372040914554754
POLICY_V3_SURVIVORS,BOIL_NEAR_NONZERO,ENTRY_RULE,15,5,3,5,85.33333333333334,-0.18694552552152358,-0.20932457785928318,50.6644999880294,-7.156799238894314,-23.537976562277336,9.878200447891846
FROZEN_LIVE93_PRIOR_ALL,BOIL_NEAR_ZERO,CANDIDATE,8,8,8,8,1310.0,1.225829636213964,1.0756044641018767,51.70607164306462,-7.345815604235731,-49.2769737611,9.143851591096144
FROZEN_LIVE93_PRIOR_ALL,NON_BOIL_HIGH_VOL,CANDIDATE,23,23,23,23,3250.0,3.913572294428312,3.8658884974573664,58.6205282526115,-7.846791394434573,-81.878475308,14.021073917782019
FROZEN_LIVE93_V3_SURVIVORS,BOIL_NEAR_ZERO,CANDIDATE,5,5,5,5,893.0,0.7698341331424505,0.6509206999085709,48.3624963467915,-7.917231045700227,-44.9764493342,9.571838007124956
FROZEN_LIVE93_V3_SURVIVORS,NON_BOIL_HIGH_VOL,CANDIDATE,20,20,20,20,2908.0,4.581619660647352,4.367883271654184,59.589761437589516,-7.753243454656642,-81.878475308,14.751901220604134
