candidate_id,ticker,stage,rule_hash_short,first_signal_at,first_signal_age_hours,first_signal_price,last_seen_at,re_evaluated_after_first_signal,daily_last_bar_date,daily_last_session_close_utc,daily_bar_age_hours_from_close,daily_bar_close_after_first_signal,daily_last_close,daily_last_volume,minute_latest_at,minute_age_min,minute_latest_price,minute_current_session,current_price_freshness,production_should_buy,production_score,production_threshold,production_ratio,partial_current_bar_available,partial_should_buy,partial_score,partial_threshold,partial_ratio,persistence_cause,price_change_since_first_pct,score_changed_since_first,market_context_timestamp,market_context_age_min
stage2:CMC:4f6ee2739add,CMC,stage2,4f6ee2739add,2026-07-07T22:22:21.577113+00:00,60.189001,61.580000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,60.119999,1049200.000000,2026-07-10T09:38:00+00:00,55.699687,59.950000,True,CURRENT_SESSION_MINUTE_BAR,True,4.602776,2.390548,1.925407,True,True,4.602776,2.390548,1.925407,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,-2.646963,-0.458591,2026-07-10T09:48:18.220458,45.396013
stage3:ACMR:44c1e02681c4,ACMR,stage3,44c1e02681c4,2026-07-09T17:20:33.590054+00:00,17.218998,107.050003,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,106.040001,1152100.000000,2026-07-10T10:33:40+00:00,0.033021,102.400000,True,CURRENT_SESSION_MINUTE_BAR,True,3.863388,1.672152,2.310429,True,True,3.863388,1.672152,2.310429,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,-4.343767,-0.781762,2026-07-10T09:48:18.220458,45.396013
stage3:ADMA:42437a3ee595,ADMA,stage3,42437a3ee595,2026-07-07T22:22:21.577113+00:00,60.189001,9.220000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,9.270000,2004500.000000,2026-07-10T09:11:00+00:00,82.699687,9.270000,True,CURRENT_SESSION_MINUTE_BAR,True,8.765495,2.179291,4.022178,True,True,8.765495,2.179291,4.022178,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,0.542299,0.631590,2026-07-10T09:48:18.220458,45.396013
stage3:AEIS:6e26f08a7c6d,AEIS,stage3,6e26f08a7c6d,2026-07-07T22:22:21.577113+00:00,60.189001,290.120000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,309.269989,758200.000000,2026-07-09T23:20:00+00:00,673.699687,315.004700,False,STALE_NO_CURRENT_SESSION_BAR,True,2.445473,1.639118,1.491945,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIGNAL_PERSISTS_ON_LATEST_COMPLETED_DAILY_CURRENT_PARTIAL_UNKNOWN,8.577382,0.000000,2026-07-10T09:48:18.220458,45.396013
stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,aec5dd5b1dc1,2026-07-07T22:22:21.577113+00:00,60.189001,110.000000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,114.650002,376700.000000,2026-07-09T22:11:00+00:00,742.699687,115.000000,False,STALE_NO_CURRENT_SESSION_BAR,True,5.597293,2.293728,2.440260,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIGNAL_PERSISTS_ON_LATEST_COMPLETED_DAILY_CURRENT_PARTIAL_UNKNOWN,4.545455,0.000000,2026-07-10T09:48:18.220458,45.396013
stage3:ANET:fe220620802b,ANET,stage3,fe220620802b,2026-07-07T22:22:21.577113+00:00,60.189001,164.500000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,184.690002,9923300.000000,2026-07-10T10:32:22+00:00,1.333021,183.500000,True,CURRENT_SESSION_MINUTE_BAR,True,3.025097,2.639090,1.146265,True,True,3.025097,2.639090,1.146265,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,11.550152,-2.000000,2026-07-10T09:48:18.220458,45.396013
stage3:ARKW:296c057b4ef7,ARKW,stage3,296c057b4ef7,2026-07-07T22:22:21.577113+00:00,60.189001,146.255000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,149.539993,92900.000000,2026-07-10T10:05:00+00:00,28.699687,148.670000,True,CURRENT_SESSION_MINUTE_BAR,True,2.841174,2.563383,1.108369,True,True,3.156659,2.563383,1.231443,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,1.651226,0.000000,2026-07-10T09:48:18.220458,45.396013
stage3:BB:f1bdfe7f8ad9,BB,stage3,f1bdfe7f8ad9,2026-07-07T22:22:21.577113+00:00,60.189001,11.040000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,11.430000,24329200.000000,2026-07-10T10:33:00+00:00,0.699687,11.440000,True,CURRENT_SESSION_MINUTE_BAR,True,3.290903,2.791951,1.178711,True,True,3.290903,2.791951,1.178711,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,3.623188,0.000000,2026-07-10T09:48:18.220458,45.396013
stage3:BCS:5e7da5a74b01,BCS,stage3,5e7da5a74b01,2026-07-07T22:22:21.577113+00:00,60.189001,27.662500,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,True,27.240000,2690200.000000,2026-07-10T10:00:00+00:00,33.699687,27.260000,True,CURRENT_SESSION_MINUTE_BAR,True,6.057287,3.301677,1.834609,True,True,6.057287,3.301677,1.834609,SIGNAL_PERSISTS_ON_CURRENT_PARTIAL,-1.455038,2.683844,2026-07-10T09:48:18.220458,45.396013
stage3:BGC:d8c39420992c,BGC,stage3,d8c39420992c,2026-07-10T09:48:35.974824+00:00,0.751668,10.970000,2026-07-10T10:01:08.341463+00:00,True,2026-07-09,2026-07-09T20:00:00+00:00,14.561661,False,10.970000,2567100.000000,2026-07-09T21:21:00+00:00,792.699687,10.970000,False,STALE_NO_CURRENT_SESSION_BAR,True,3.974627,3.238709,1.227226,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIGNAL_PERSISTS_ON_LATEST_COMPLETED_DAILY_CURRENT_PARTIAL_UNKNOWN,-0.000002,0.000000,2026-07-10T09:48:18.220458,45.396013
