rank_after,candidate_id,ticker,stage,rule_hash_short,live26_after,final_score,threshold,ratio,gate_status,vol_group
1,stage3:BMA:0c978464f9dd,BMA,stage3,0c978464f9dd,True,13.245747,2.848392,4.650255,KEEP,MID_VOL
2,stage3:ADMA:42437a3ee595,ADMA,stage3,42437a3ee595,True,8.765495,2.179291,4.022178,KEEP,HIGH_VOL
3,stage3:BTBT:363898884d44,BTBT,stage3,363898884d44,True,7.997534,1.911258,4.184435,KEEP,HIGH_VOL
4,stage3:BMI:07d4ee0f7841,BMI,stage3,07d4ee0f7841,True,6.950902,2.429303,2.861275,KEEP,LOW_VOL
5,stage3:BCS:5e7da5a74b01,BCS,stage3,5e7da5a74b01,True,6.057287,3.301677,1.834609,KEEP,LOW_VOL
6,stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,aec5dd5b1dc1,True,5.597293,2.293728,2.440260,KEEP,MID_VOL
7,stage2:CMC:4f6ee2739add,CMC,stage2,4f6ee2739add,True,4.602776,2.390548,1.925407,KEEP,MID_VOL
8,stage3:BN:d264957fe5f6,BN,stage3,d264957fe5f6,True,4.128519,2.648022,1.559096,KEEP,LOW_VOL
9,stage3:BGC:d8c39420992c,BGC,stage3,d8c39420992c,True,3.974627,3.238709,1.227226,KEEP,MID_VOL
10,stage3:ACMR:44c1e02681c4,ACMR,stage3,44c1e02681c4,True,3.863388,1.672152,2.310429,KEEP,HIGH_VOL
11,stage3:CRS:8695c9ce3320,CRS,stage3,8695c9ce3320,True,3.773041,2.557476,1.475299,KEEP,MID_VOL
12,stage3:BTE:4ba9af200f79,BTE,stage3,4ba9af200f79,True,3.403591,3.356983,1.013884,KEEP,HIGH_VOL
13,stage3:BB:f1bdfe7f8ad9,BB,stage3,f1bdfe7f8ad9,True,3.290903,2.791951,1.178711,KEEP,HIGH_VOL
14,stage3:BWXT:f195725cb792,BWXT,stage3,f195725cb792,True,3.042797,2.015809,1.509467,KEEP,LOW_VOL
15,stage3:ANET:fe220620802b,ANET,stage3,fe220620802b,True,3.025097,2.639090,1.146265,KEEP,LOW_VOL
16,stage3:ARKW:296c057b4ef7,ARKW,stage3,296c057b4ef7,True,2.841174,2.563383,1.108369,KEEP,MID_VOL
17,stage3:CBRL:677767a0b6a9,CBRL,stage3,677767a0b6a9,True,2.833283,1.904704,1.487519,KEEP,MID_VOL
18,stage3:AEIS:6e26f08a7c6d,AEIS,stage3,6e26f08a7c6d,True,2.445473,1.639118,1.491945,KEEP,LOW_VOL
