rank_after,candidate_id,ticker,stage,rule_hash_short,live26_after,final_score,threshold,ratio
1,stage3:BMA:0c978464f9dd,BMA,stage3,0c978464f9dd,true,19.245747,2.848392,6.756707
2,stage3:ADMA:42437a3ee595,ADMA,stage3,42437a3ee595,true,3.333102,2.179291,1.529443
3,stage3:BTBT:363898884d44,BTBT,stage3,363898884d44,true,11.329717,1.911258,5.927885
4,stage3:BMI:07d4ee0f7841,BMI,stage3,07d4ee0f7841,true,8.291327,2.429303,3.413048
5,stage3:BCS:5e7da5a74b01,BCS,stage3,5e7da5a74b01,true,6.986155,3.301677,2.115941
6,stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,aec5dd5b1dc1,true,5.597293,2.293728,2.440260
7,stage2:CMC:4f6ee2739add,CMC,stage2,4f6ee2739add,true,6.982740,2.390548,2.920979
8,stage3:BN:d264957fe5f6,BN,stage3,d264957fe5f6,true,3.301141,2.648022,1.246644
9,stage3:BGC:d8c39420992c,BGC,stage3,d8c39420992c,true,3.525938,3.238709,1.088679
10,stage3:ACMR:44c1e02681c4,ACMR,stage3,44c1e02681c4,true,4.253827,1.672152,2.543923
11,stage3:CRS:8695c9ce3320,CRS,stage3,8695c9ce3320,true,2.971798,2.557476,1.162004
12,stage3:BTE:4ba9af200f79,BTE,stage3,4ba9af200f79,true,3.408128,3.356983,1.015235
13,stage3:BB:f1bdfe7f8ad9,BB,stage3,f1bdfe7f8ad9,true,3.290903,2.791951,1.178711
14,stage3:BWXT:f195725cb792,BWXT,stage3,f195725cb792,true,3.193971,2.015809,1.584461
15,stage3:ANET:fe220620802b,ANET,stage3,fe220620802b,true,3.025097,2.639090,1.146265
16,stage3:ARKW:296c057b4ef7,ARKW,stage3,296c057b4ef7,true,2.841174,2.563383,1.108369
17,stage3:CBRL:677767a0b6a9,CBRL,stage3,677767a0b6a9,true,2.840062,1.904704,1.491078
18,stage3:AEIS:6e26f08a7c6d,AEIS,stage3,6e26f08a7c6d,true,2.445473,1.639118,1.491945
