source_name,path,source_kind,stage_scope,historical_entry,point_in_time,same_entry_outcome_link,durable,duplicate_or_derived,ce_ratio_reconstructable,ce_top2_reconstructable,ce_threshold_backtest_suitability,note,quality_class
CANONICAL_STAGE2_HISTORY,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/trades.jsonl,HISTORICAL_ENTRY_TRADE,stage2,True,False,True,True,False,True,True,BACKTESTABLE_STAGE2_ONLY,files=325; files_with_core=325; full_ce_rows=71271,FULL_BACKTEST_INPUT
CANONICAL_STAGE3_HISTORY,exp_batch_stage123_2009_20260616_full/tickers/*/stage3/exit_trades.jsonl,HISTORICAL_EXIT_TRADE,stage3,False,False,False,True,False,False,False,NOT_USABLE_NO_ENTRY_SIGNAL_SNAPSHOT,files=269; exit outcomes exist but entry score/components absent,OUTCOME_ONLY
LIVE93_THREE_SYMPTOM_SCAN,data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan.csv,POINT_IN_TIME_REEVALUATION,stage2+stage3,False,True,False,True,False,True,True,DIAGNOSTIC_POINT_SNAPSHOT_ONLY,one read-only evaluation per candidate; aggregate exit history is not the same entry outcome,FULL_POINT_DIAGNOSTIC
REAL_DASHBOARD_BUY_CANDIDATES,data/_system/real_dashboard_buy_candidates.json,CURRENT_BUY_CANDIDATE_SNAPSHOT,stage2+stage3,False,True,False,True,True,True,True,DIAGNOSTIC_POINT_SNAPSHOT_ONLY,full components but current candidate state only; no later outcome link,FULL_POINT_DIAGNOSTIC
LIVE_SLOTS_STATE_CANDIDATE_POOL,data/_system/live_slots_state.json#candidate_pool,CURRENT_SLOT_SNAPSHOT,stage2+stage3,False,True,False,True,True,True,False,RATIO_ONLY_NO_COMPONENTS,score/threshold retained; realized component dict omitted,RATIO_ONLY
ELITE_SHADOW_CLOSED_TRADES,data/_system/elite_shadow_trades.jsonl,CLOSED_SHADOW_ENTRY_OUTCOME,stage2+stage3,True,False,True,True,False,True,False,RATIO_OUTCOME_ONLY_NO_COMPONENTS,entry ratio and outcome retained; component decomposition omitted,RATIO_ONLY
ELITE_STRATEGY_SIM_TRADES,data/_system/elite_strategy_sim_trades.jsonl,CLOSED_SIM_ENTRY_OUTCOME,stage2+stage3,True,False,True,True,False,True,False,RATIO_OUTCOME_ONLY_NO_COMPONENTS,entry ratio and outcome retained; component decomposition omitted,RATIO_ONLY
DAILY_SIGNAL_REPLAY,data/_system/research/central_portfolio/daily_signal_replay/daily_signal_replay.jsonl,LIMITED_HISTORICAL_REPLAY,research subset,True,False,False,True,True,True,True,LIMITED_PROBE_NOT_SYSTEM_COVERAGE,full replay components but narrow research subset; price-path proxy is not full candidate outcome validation,NO_CE_DYNAMIC_DATA
SCHEDULED_OPEN_BUY_QUEUE,data/_system/scheduled_open_buy_queue.json#items,ENTRY_DECISION_QUEUE,mixed legacy/live,True,False,False,True,False,True,False,RATIO_ONLY_NO_COMPONENTS,entry score/threshold retained; no realized component dict or joined outcome,RATIO_ONLY
CENTRAL_BUY_CANDIDATES,data/_system/central_buy_candidates.json#candidates,ENTRY_DECISION_SNAPSHOT,legacy candidate-only,True,False,False,True,False,True,False,RATIO_ONLY_NO_COMPONENTS,"score/threshold retained; no component dict and candidate IDs are not 17,071 origin IDs",RATIO_ONLY
