source_name,path,source_kind,stage_scope,record_n,unique_candidate_n,origin_candidate_n,score_threshold_n,component_dict_n,core_component_n,top2_possible_n,outcome_linked_n,historical_entry,point_in_time,same_entry_outcome_link,durable,duplicate_or_derived,ce_ratio_reconstructable,ce_top2_reconstructable,ce_threshold_backtest_suitability,note
CANONICAL_STAGE2_HISTORY,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/trades.jsonl,HISTORICAL_ENTRY_TRADE,stage2,72690,1162,1162,72690,72690,72690,71271,72690,True,False,True,True,False,True,True,BACKTESTABLE_STAGE2_ONLY,files=325; files_with_core=325; full_ce_rows=71271
CANONICAL_STAGE3_HISTORY,exp_batch_stage123_2009_20260616_full/tickers/*/stage3/exit_trades.jsonl,HISTORICAL_EXIT_TRADE,stage3,975118,15909,15909,0,0,0,0,975118,False,False,False,True,False,False,False,NOT_USABLE_NO_ENTRY_SIGNAL_SNAPSHOT,files=269; exit outcomes exist but entry score/components absent
LIVE93_THREE_SYMPTOM_SCAN,data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan.csv,POINT_IN_TIME_REEVALUATION,stage2+stage3,93,93,93,93,93,93,86,0,False,True,False,True,False,True,True,DIAGNOSTIC_POINT_SNAPSHOT_ONLY,one read-only evaluation per candidate; aggregate exit history is not the same entry outcome
REAL_DASHBOARD_BUY_CANDIDATES,data/_system/real_dashboard_buy_candidates.json,CURRENT_BUY_CANDIDATE_SNAPSHOT,stage2+stage3,18,18,18,18,18,18,18,0,False,True,False,True,True,True,True,DIAGNOSTIC_POINT_SNAPSHOT_ONLY,full components but current candidate state only; no later outcome link
LIVE_SLOTS_STATE_CANDIDATE_POOL,data/_system/live_slots_state.json#candidate_pool,CURRENT_SLOT_SNAPSHOT,stage2+stage3,18,18,18,18,0,0,0,0,False,True,False,True,True,True,False,RATIO_ONLY_NO_COMPONENTS,score/threshold retained; realized component dict omitted
ELITE_SHADOW_CLOSED_TRADES,data/_system/elite_shadow_trades.jsonl,CLOSED_SHADOW_ENTRY_OUTCOME,stage2+stage3,150,32,32,150,0,0,0,150,True,False,True,True,False,True,False,RATIO_OUTCOME_ONLY_NO_COMPONENTS,entry ratio and outcome retained; component decomposition omitted
ELITE_STRATEGY_SIM_TRADES,data/_system/elite_strategy_sim_trades.jsonl,CLOSED_SIM_ENTRY_OUTCOME,stage2+stage3,2,2,2,2,0,0,0,2,True,False,True,True,False,True,False,RATIO_OUTCOME_ONLY_NO_COMPONENTS,entry ratio and outcome retained; component decomposition omitted
DAILY_SIGNAL_REPLAY,data/_system/research/central_portfolio/daily_signal_replay/daily_signal_replay.jsonl,LIMITED_HISTORICAL_REPLAY,research subset,20,0,0,20,20,20,20,20,True,False,False,True,True,True,True,LIMITED_PROBE_NOT_SYSTEM_COVERAGE,full replay components but narrow research subset; price-path proxy is not full candidate outcome validation
SCHEDULED_OPEN_BUY_QUEUE,data/_system/scheduled_open_buy_queue.json#items,ENTRY_DECISION_QUEUE,mixed legacy/live,8,8,0,8,0,0,0,0,True,False,False,True,False,True,False,RATIO_ONLY_NO_COMPONENTS,entry score/threshold retained; no realized component dict or joined outcome
CENTRAL_BUY_CANDIDATES,data/_system/central_buy_candidates.json#candidates,ENTRY_DECISION_SNAPSHOT,legacy candidate-only,2,2,0,2,0,0,0,0,True,False,False,True,False,True,False,RATIO_ONLY_NO_COMPONENTS,"score/threshold retained; no component dict and candidate IDs are not 17,071 origin IDs"
