type,feature_or_pair,discovery_auc,discovery_risk_difference,validation_auc,validation_risk_difference,validation_ci_low,validation_fdr_q,note
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_validation_expectancy_pct,0.6286912521423388,0.15820916201375326,0.6416666666666667,0.1943947525342874,-0.011625974178996464,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,trailing_atr,0.539139194074032,0.04714056712714687,0.6309523809523809,0.24864864864864866,0.024439441969775617,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_validation_trade_count,0.5885437865569898,0.07234356900692318,0.6169642857142857,0.15708101422387138,-0.06206090555147161,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stop_loss_atr,0.5978345860381524,0.0984157344235021,0.5946428571428571,0.1951219512195122,-0.02928689789154904,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_is_validation_fitness_ratio,0.5926296940852138,0.09901426401995878,0.5851190476190476,0.1943947525342874,-0.016541463824072514,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_validation_fitness,0.5808870603758317,0.12402185946592478,0.5619047619047619,0.17142857142857143,-0.03201781326781325,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_is_validation_expectancy_ratio,0.5585682805899923,0.08621690509553909,0.5607142857142857,0.2526455026455027,0.03146795587990588,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,stored_is_validation_fitness_gap,0.5827546180995347,0.11366079479200561,0.5547619047619048,0.17142857142857143,-0.0295495495495495,0.47548581345552066,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,trailing_activation_profit_pct,0.5404228183723715,0.04399381453158294,0.4955357142857143,0.03125,-0.18547666988184233,0.8832563392788356,failed frozen bootstrap and/or frozen FDR
IS_ONLY_OR_FROZEN_UNCORRECTED_FEATURE,is_expectancy_per_sqrt_trade,0.6852891089904019,0.1931125025209812,0.6196428571428572,0.014705882352941124,-0.2621772068511199,0.9163026388232668,failed frozen bootstrap and/or frozen FDR
