feature,boundary_mode,risk_direction,percentile_boundary,raw_boundary_stage2,raw_boundary_stage3,discovery_n,discovery_bad_n,discovery_flagged_n,discovery_flagged_rate,discovery_auc,discovery_auc_ci_low,discovery_auc_ci_high,discovery_balanced_accuracy,discovery_precision,discovery_recall,discovery_bad_rate_flagged,discovery_bad_rate_unflagged,discovery_risk_difference,discovery_risk_difference_ci_low,discovery_risk_difference_ci_high,discovery_spearman,discovery_spearman_p,discovery_mannwhitney_p,validation_n,validation_bad_n,validation_flagged_n,validation_flagged_rate,validation_auc,validation_auc_ci_low,validation_auc_ci_high,validation_balanced_accuracy,validation_precision,validation_recall,validation_bad_rate_flagged,validation_bad_rate_unflagged,validation_risk_difference,validation_risk_difference_ci_low,validation_risk_difference_ci_high,discovery_fdr_q,discovery_supported,validation_supported,replicated_static_predictor,incremental_validation_n,incremental_validation_bad_n,incremental_validation_flagged_n,incremental_validation_auc,incremental_validation_auc_ci_low,incremental_validation_auc_ci_high,incremental_validation_risk_difference,incremental_validation_risk_difference_ci_low,incremental_validation_risk_difference_ci_high,discovery_flag_fisher_p,validation_flag_fisher_p,discovery_flag_fdr_q,validation_flag_fdr_q,validation_supported_fdr,replicated_static_predictor_fdr
exit_is_trailing,binary,>=,,0.5,0.5,15363,3248,4826,0.31413135455314717,0.5013081862243809,0.4691920834506848,0.5334628299079289,0.5013081862243809,0.21280563613758807,0.3161945812807882,0.21280563613758807,0.21078105722691468,0.002024578910673397,-0.048188954776887304,0.0517762758114251,0.0023015326376634206,0.7754552647875346,0.7754470075429147,82,42,41,0.5,0.6952380952380952,0.5908721359940872,0.7947209055246811,0.6952380952380952,0.7073170731707317,0.6904761904761905,0.7073170731707317,0.3170731707317073,0.39024390243902435,0.1806389180186293,0.5814251770652011,0.7754470075429147,False,True,False,18,10,8,0.7875,0.5997321428571427,0.9583333333333333,0.575,0.21535714285714283,0.9090909090909091,0.3953521979835399,0.0004053842873686692,0.48989294097960373,0.023106904380014143,True,False
stored_validation_expectancy_pct,stage_percentile,>=,0.6500000000000001,2.368974258482032,3.186211241686341,15363,3248,5378,0.35006183688081755,0.6286912521423388,0.5782726664792145,0.6796046451226664,0.6079520919187833,0.3142432130903682,0.520320197044335,0.3142432130903682,0.15603405107661492,0.15820916201375326,0.10325827207860575,0.2166281081409491,0.1829845471807577,8.827769505842641e-116,7.0992093339314e-114,82,42,43,0.524390243902439,0.6416666666666667,0.5153062362601836,0.7523683735374836,0.5970238095238095,0.6046511627906976,0.6190476190476191,0.6046511627906976,0.41025641025641024,0.1943947525342874,-0.011625974178996464,0.3923450682324611,1.3488497734469659e-112,True,False,False,18,10,12,0.425,0.17500000000000002,0.723173076923077,-0.16666666666666663,-0.6428571428571428,0.3897727272727272,2.8025155424541237e-112,0.061844480533811697,5.324779530662834e-111,0.47548581345552066,False,False
core_weight_entropy,stage_percentile,>=,0.7000000000000001,0.9463816288254877,0.9599973509610884,15363,3248,4610,0.30007160059884136,0.5343657432161815,0.4993551429870511,0.5700195039718013,0.5285726865283236,0.24316702819956615,0.34513546798029554,0.24316702819956615,0.19780526364735423,0.045361764552211914,0.004907025272294471,0.09207013447008856,0.04729238256292269,4.502703831138192e-09,4.584755644948483e-09,82,42,29,0.35365853658536583,0.6357142857142857,0.5097569097569097,0.7519114321286904,0.6011904761904762,0.6551724137931034,0.4523809523809524,0.6551724137931034,0.4339622641509434,0.22121014964216001,-0.010655697243932562,0.4274542282244177,1.3066553588103178e-08,False,False,False,18,10,6,0.6000000000000001,0.3249837662337662,0.8831168831168831,0.16666666666666663,-0.29935064935064937,0.6666666666666667,2.3121539135613738e-10,0.0454932282338675,6.936461740684121e-10,0.47548581345552066,False,False
trailing_atr,stage_percentile,>=,0.6500000000000001,2.3110028804321514,2.363506118692757,15363,3248,5379,0.3501269283343097,0.539139194074032,0.5142299339862538,0.5649027735484621,0.5321685499594404,0.24205242610150585,0.40086206896551724,0.24205242610150585,0.19491185897435898,0.04714056712714687,0.01625899634601889,0.08086853690829478,0.05456307616198137,1.3107038817142204e-11,1.354076614299671e-11,82,42,37,0.45121951219512196,0.6309523809523809,0.5063797313797314,0.7536499428633618,0.6232142857142857,0.6486486486486487,0.5714285714285714,0.6486486486486487,0.4,0.24864864864864866,0.024439441969775617,0.4530928669544741,4.2879092786156245e-11,True,True,True,18,10,8,0.675,0.4,0.922077922077922,0.35,-0.10027777777777774,0.7662337662337662,7.015738687847591e-12,0.021349679265947094,2.4993569075457042e-11,0.47548581345552066,False,False
stored_validation_trade_count,stage_percentile,<=,0.4,12.0,16.0,15363,3248,5759,0.3748616806613292,0.5885437865569898,0.5493957207629746,0.625915123476954,0.550842831119668,0.25664177808647337,0.45504926108374383,0.25664177808647337,0.1842982090795502,0.07234356900692318,0.02520265766445618,0.12085517804457734,-0.12977883030642529,1.0849903441066962e-58,3.237698246673356e-58,82,42,33,0.4024390243902439,0.6169642857142857,0.49686060298102985,0.7362156072106261,0.575595238095238,0.6060606060606061,0.47619047619047616,0.6060606060606061,0.4489795918367347,0.15708101422387138,-0.06206090555147161,0.3817137057643786,2.6364114294340184e-57,True,False,False,18,10,6,0.59375,0.31161215327881997,0.845679012345679,-0.08333333333333337,-0.6,0.4168749999999998,3.3844468653700354e-26,0.12084684856773041,1.6076122610507669e-25,0.47548581345552066,False,False
min_core_conditions_to_threshold,stage_percentile,<=,0.7500000000000001,3.0,2.0,15363,3248,3805,0.2476729805376554,0.5068722058108966,0.47203596132056824,0.5399002062843422,0.49347175010012834,0.2026281208935611,0.2373768472906404,0.2026281208935611,0.21431043433119917,-0.011682313437638064,-0.06236304782789227,0.041007758602031465,-0.0055700961552203766,0.4899747031303804,0.4899585307599633,82,42,20,0.24390243902439024,0.6169642857142857,0.5155395696733416,0.7210193452380952,0.5672619047619047,0.65,0.30952380952380953,0.65,0.46774193548387094,0.18225806451612908,-0.04411919396089427,0.4294100600075902,0.5370699279484213,False,False,False,18,10,8,0.49375,0.2077313311688312,0.7598092532467532,-0.09999999999999998,-0.5833333333333333,0.3387499999999998,0.9402543574211621,0.12266720913588006,0.9999999943822062,0.47548581345552066,False,False
stop_loss_atr,stage_percentile,>=,0.6500000000000001,3.20636972818301,2.8895948301609806,15363,3248,5378,0.35006183688081755,0.5978345860381524,0.5619739498804862,0.6347339950322369,0.5671527759423749,0.2753811825957605,0.4559729064039409,0.2753811825957605,0.1769654481722584,0.0984157344235021,0.055027926158177656,0.1416161412620593,0.14099871354471766,4.745116001516225e-69,2.1875671127513487e-68,82,42,41,0.5,0.5946428571428571,0.47574458307259077,0.7155157674772036,0.5976190476190476,0.6097560975609756,0.5952380952380952,0.6097560975609756,0.4146341463414634,0.1951219512195122,-0.02928689789154904,0.39663735654589316,3.117283135670672e-67,True,False,False,18,10,9,0.58125,0.2777777777777778,0.8334375,0.2222222222222222,-0.2597402597402597,0.6666666666666667,4.1256753298875257e-45,0.0607416406322537,3.359478482908414e-44,0.47548581345552066,False,False
stored_is_validation_fitness_ratio,stage_percentile,<=,0.4,1.6194311312476297,1.0925770861489768,15363,3248,6144,0.39992189025580943,0.5926296940852138,0.5591307745712533,0.6239113243971529,0.5712628769042164,0.2708333333333333,0.5123152709359606,0.2708333333333333,0.17181906931337454,0.09901426401995878,0.056200358117627844,0.13897378650119818,-0.13119958016351227,5.922674103349888e-60,1.8564052027359812e-59,82,42,43,0.524390243902439,0.5851190476190476,0.4536795677811337,0.6959952120383037,0.5970238095238095,0.6046511627906976,0.6190476190476191,0.6046511627906976,0.41025641025641024,0.1943947525342874,-0.016541463824072514,0.38407542417815477,1.7635849425991823e-58,True,False,False,18,10,16,0.32500000000000007,0.06174768518518519,0.599935064935065,-0.5,-0.7647058823529411,-0.25,1.581446476656704e-48,0.061844480533811697,1.5023741528238687e-47,0.47548581345552066,False,False
dominant_is_bb,binary,>=,,0.5,0.5,15363,3248,3818,0.24851916943305344,0.4984011621996913,0.4743335017052143,0.5241434002800427,0.4984011621996914,0.20927187008905185,0.2459975369458128,0.20927187008905185,0.21212646167171936,-0.002854591582667515,-0.04598475719930288,0.042843292654353785,-0.0030212675905359997,0.7080701750157438,0.7080594247863354,82,42,21,0.25609756097560976,0.5791666666666666,0.4922544642857143,0.6746478302399356,0.5791666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.45901639344262296,0.20765027322404367,-0.020606884057971,0.4309485960305632,0.7207033430860914,False,False,False,18,10,5,0.75,0.5993181818181819,0.9090909090909092,0.6153846153846154,0.3571428571428571,0.8672916666666661,0.6537510411916564,0.08188182370650303,0.7928470074026471,0.47548581345552066,False,False
use_market_entry_adjustment,binary,>=,,0.5,0.5,15363,3248,6133,0.39920588426739567,0.5279893630214549,0.48651275432227614,0.5682259689558116,0.5279893630214549,0.23479536931354966,0.4433497536945813,0.23479536931354966,0.19588299024918743,0.038912379064362235,-0.018499039423599633,0.0938430709293333,0.04667189097649453,7.1420227798048264e-09,7.265198398616225e-09,82,42,35,0.4268292682926829,0.5750000000000001,0.4683805010001818,0.677071941216678,0.575,0.6,0.5,0.6,0.44680851063829785,0.15319148936170213,-0.06532231074247875,0.359762726252088,1.971982422481547e-08,False,False,False,18,10,8,0.44999999999999996,0.22493055555555558,0.7014585414585413,-0.09999999999999998,-0.5692307692307692,0.40294913419913386,4.65499036393111e-09,0.12512784564618964,1.206065685200333e-08,0.47548581345552066,False,False
