left_feature,operator,right_feature,discovery_flagged_n,discovery_risk_difference,discovery_risk_difference_ci_low,validation_flagged_n,validation_risk_difference,validation_risk_difference_ci_low,validation_risk_difference_ci_high,validation_fdr_q,incremental_validation_n,incremental_validation_bad_n,incremental_validation_flagged_n,incremental_validation_risk_difference,incremental_validation_risk_difference_ci_low,incremental_validation_risk_difference_ci_high,stage2_risk_difference,stage2_flagged_n,stage3_risk_difference,stage3_flagged_n,replicated_pair_fdr,incremental_supported,stage_direction_consistent,robust_static_gate_candidate
stored_validation_expectancy_pct,AND,stored_validation_fitness,4338,0.14515237907057704,0.09085426360042814,35,0.252887537993921,0.032865505072996945,0.478738272480208,0.2014744945317482,18,10,11,-0.025974025974025983,-0.5,0.4666666666666667,,13,0.32301740812379115,22,False,False,False,False
stored_validation_fitness,AND,stored_is_validation_fitness_gap,4575,0.1278614368120012,0.0786784085477468,35,0.252887537993921,0.05287193645258158,0.4613034724447768,0.2014744945317482,18,10,11,-0.25974025974025977,-0.6756290584415584,0.21555555555555542,-0.5,12,0.3478260869565217,23,False,False,False,False
stored_validation_expectancy_pct,OR,stored_is_validation_fitness_gap,7165,0.12637933409115323,0.07581020568022748,47,0.19574468085106378,-0.0012252906976743508,0.41471860324193294,0.3128196141154741,18,10,14,-0.5714285714285714,-0.8571428571428572,-0.3076923076923077,,13,0.21764705882352942,34,False,False,False,False
is_expectancy_per_sqrt_trade,AND,stored_validation_fitness,2254,0.19885905786327904,0.12861898094854407,28,0.19841269841269848,-0.029181694229415987,0.4317444581280787,0.3128196141154741,18,10,6,-0.08333333333333337,-0.575,0.4290178571428568,-0.26666666666666666,3,0.27090909090909093,25,False,False,False,False
stored_validation_expectancy_pct,AND,stored_is_validation_fitness_gap,4357,0.15661734949505496,0.09738054918108349,36,0.176328502415459,-0.029408079330439544,0.37514792504994077,0.3128196141154741,18,10,11,-0.25974025974025977,-0.6753246753246753,0.25000000000000006,-0.5,12,0.2444444444444444,24,False,False,False,False
stored_is_expectancy_pct,AND,stored_validation_fitness,2212,0.23044253127155812,0.16195007637813752,31,0.16192283364958887,-0.0461358261670762,0.3596408832508685,0.3128196141154741,18,10,8,-0.09999999999999998,-0.5833333333333333,0.42508928571428567,-0.22499999999999998,5,0.23524150268336314,26,False,False,False,False
is_expectancy_per_sqrt_trade,AND,stored_validation_expectancy_pct,2807,0.20467572819192176,0.13111076021745693,33,0.15708101422387138,-0.07125446428571432,0.37310228696741854,0.3128196141154741,18,10,6,-0.08333333333333337,-0.5693406593406594,0.46153846153846156,-0.26666666666666666,3,0.22307692307692306,30,False,False,False,False
stored_is_expectancy_pct,AND,stored_validation_expectancy_pct,2684,0.23003875119319656,0.1554265625862592,35,0.15319148936170213,-0.06140839869712917,0.37271775004371394,0.3128196141154741,18,10,8,-0.09999999999999998,-0.5833603896103896,0.3754464285714282,-0.22499999999999998,5,0.22307692307692306,30,False,False,False,False
is_expectancy_per_sqrt_trade,AND,stored_is_validation_fitness_gap,2807,0.17895789811413307,0.11244466347830367,30,0.1384615384615384,-0.10310056390977443,0.36493581514762513,0.3394432788562182,18,10,7,-0.4415584415584416,-0.8573809523809524,0.08333333333333326,-0.6363636363636364,2,0.2282229965156795,28,False,False,False,False
stored_is_expectancy_pct,AND,stored_is_validation_fitness_gap,2586,0.210756458231302,0.1410651876653551,32,0.13374999999999998,-0.09413424758803715,0.37276392961876825,0.3394432788562182,18,10,9,-0.4444444444444445,-0.875,0.0,-0.41666666666666663,4,0.2282229965156795,28,False,False,False,False
stored_validation_expectancy_pct,OR,stored_validation_fitness,6420,0.14307707902907407,0.09243477759779803,48,0.12132352941176472,-0.09408745004182545,0.3433021308556804,0.3551840341369108,18,10,13,-0.3384615384615385,-0.75,0.13890109890109897,,13,0.13025210084033612,35,False,False,False,False
stored_validation_fitness,OR,stored_is_validation_fitness_gap,6949,0.1161017673570863,0.0707303691191505,45,0.0960960960960961,-0.12139818491208168,0.31522306266365924,0.41356908445516033,18,10,14,-0.5714285714285714,-0.8333333333333334,-0.3076923076923077,,13,0.10304054054054052,32,False,False,False,False
is_expectancy_per_sqrt_trade,OR,stored_validation_expectancy_pct,7949,0.19771316284828055,0.15137837987035002,78,0.27564102564102566,-0.37623456790123455,0.6075949367088608,0.41356908445516033,18,10,18,,,,,13,0.2730769230769231,65,False,False,False,False
is_expectancy_per_sqrt_trade,OR,stored_is_validation_fitness_gap,8715,0.18124100320829473,0.13785740102226543,78,0.27564102564102566,-0.3950617283950617,0.6214163530619227,0.41356908445516033,18,10,18,,,,,13,0.2730769230769231,65,False,False,False,False
stored_is_expectancy_pct,OR,stored_validation_expectancy_pct,8072,0.2052930666927294,0.1587093859122981,81,0.5185185185185185,0.4125,0.6277243589743591,0.6097560975609755,18,10,18,,,,,13,0.5147058823529411,68,False,False,False,False
stored_is_expectancy_pct,OR,stored_is_validation_fitness_gap,8936,0.18959827601745602,0.14835615135313088,81,0.5185185185185185,0.4182802000312549,0.6225176722012166,0.6097560975609755,18,10,18,,,,,13,0.5147058823529411,68,False,False,False,False
