left_feature,operator,right_feature,discovery_flagged_n,discovery_balanced_accuracy,discovery_precision,discovery_recall,discovery_risk_difference,discovery_risk_difference_ci_low,discovery_risk_difference_ci_high,validation_flagged_n,validation_balanced_accuracy,validation_precision,validation_recall,validation_risk_difference,validation_risk_difference_ci_low,validation_risk_difference_ci_high,validation_supported,replicated_pair,discovery_fisher_p,validation_fisher_p,discovery_fdr_q,validation_fdr_q,replicated_pair_fdr
stored_validation_expectancy_pct,AND,stored_validation_fitness,4338,0.5882110251916669,0.3155832180728446,0.4214901477832512,0.14515237907057704,0.09085426360042814,0.19745983293706415,35,0.6238095238095238,0.6571428571428571,0.5476190476190477,0.252887537993921,0.032865505072996945,0.478738272480208,True,True,3.803440137447348e-83,0.020147449453174822,4.4746354558204095e-83,0.2014744945317482,False
stored_validation_fitness,AND,stored_is_validation_fitness_gap,4575,0.5801866706379137,0.30120218579234975,0.42426108374384236,0.1278614368120012,0.0786784085477468,0.18032871788426988,35,0.6238095238095238,0.6571428571428571,0.5476190476190477,0.252887537993921,0.05287193645258158,0.4613034724447768,True,True,1.4039832791231274e-67,0.020147449453174822,1.4039832791231274e-67,0.2014744945317482,False
stored_validation_expectancy_pct,OR,stored_is_validation_fitness_gap,7165,0.5943258520053103,0.2788555478018144,0.6151477832512315,0.12637933409115323,0.07581020568022748,0.1789126815184569,47,0.5958333333333333,0.5957446808510638,0.6666666666666666,0.19574468085106378,-0.0012252906976743508,0.41471860324193294,False,False,5.946574326054979e-82,0.06270706953142408,6.607304806727754e-82,0.3128196141154741,False
is_expectancy_per_sqrt_trade,AND,stored_validation_fitness,2254,0.5746619653810263,0.3811002661934339,0.26447044334975367,0.19885905786327904,0.12861898094854407,0.27502861177087157,28,0.5892857142857143,0.6428571428571429,0.42857142857142855,0.19841269841269848,-0.029181694229415987,0.4317444581280787,False,False,2.5236339780194757e-90,0.07015437286768646,3.364845304025967e-90,0.3128196141154741,False
stored_validation_expectancy_pct,AND,stored_is_validation_fitness_gap,4357,0.5954305668785794,0.32361716777599264,0.4341133004926108,0.15661734949505496,0.09738054918108349,0.2125721873434437,36,0.5869047619047619,0.6111111111111112,0.5238095238095238,0.176328502415459,-0.029408079330439544,0.37514792504994077,False,False,1.8648215906508076e-96,0.08628087327689404,2.664030843786868e-96,0.3128196141154741,False
stored_is_expectancy_pct,AND,stored_validation_fitness,2212,0.5851798954599701,0.40867992766726946,0.27832512315270935,0.23044253127155812,0.16195007637813752,0.2977759490444936,31,0.5761904761904761,0.6129032258064516,0.4523809523809524,0.16192283364958887,-0.0461358261670762,0.3596408832508685,False,False,3.8267404576931645e-117,0.11598199669968344,7.653480915386329e-117,0.3128196141154741,False
is_expectancy_per_sqrt_trade,AND,stored_validation_expectancy_pct,2807,0.5916622744063968,0.3786961168507303,0.3272783251231527,0.20467572819192176,0.13111076021745693,0.28208706251403703,33,0.575595238095238,0.6060606060606061,0.47619047619047616,0.15708101422387138,-0.07125446428571432,0.37310228696741854,False,False,9.24292251748838e-115,0.12084684856773041,1.680531366816069e-114,0.3128196141154741,False
stored_is_expectancy_pct,AND,stored_validation_expectancy_pct,2684,0.5994715945709121,0.40126676602086436,0.33158866995073893,0.23003875119319656,0.1554265625862592,0.3040695514443568,35,0.575,0.6,0.5,0.15319148936170213,-0.06140839869712917,0.37271775004371394,False,False,7.501798706702444e-138,0.12512784564618964,1.6670663792672097e-137,0.3128196141154741,False
is_expectancy_per_sqrt_trade,AND,stored_is_validation_fitness_gap,2807,0.5801447641546834,0.3576772354827218,0.3091133004926108,0.17895789811413307,0.11244466347830367,0.24552723288647996,30,0.5642857142857143,0.6,0.42857142857142855,0.1384615384615384,-0.10310056390977443,0.36493581514762513,False,False,4.447876736592582e-89,0.16387095251815953,5.559845920740728e-89,0.3394432788562182,False
stored_is_expectancy_pct,AND,stored_is_validation_fitness_gap,2586,0.5884848404758177,0.3866976024748647,0.3078817733990148,0.210756458231302,0.1410651876653551,0.2862454639372813,32,0.5636904761904762,0.59375,0.4523809523809524,0.13374999999999998,-0.09413424758803715,0.37276392961876825,False,False,3.0449548374997976e-113,0.1697216394281091,5.074924729166329e-113,0.3394432788562182,False
stored_validation_expectancy_pct,OR,stored_validation_fitness,6420,0.6043803838013779,0.29470404984423676,0.5825123152709359,0.14307707902907407,0.09243477759779803,0.19220636647166411,48,0.5589285714285714,0.5625,0.6428571428571429,0.12132352941176472,-0.09408745004182545,0.3433021308556804,False,False,9.752802283509121e-101,0.19535121877530096,1.500431120539865e-100,0.3551840341369108,False
stored_validation_fitness,OR,stored_is_validation_fitness_gap,6949,0.5862569734014544,0.2750035976399482,0.5883620689655172,0.1161017673570863,0.0707303691191505,0.1601825878864664,45,0.5476190476190477,0.5555555555555556,0.5952380952380952,0.0960960960960961,-0.12139818491208168,0.31522306266365924,False,False,7.429931051289633e-69,0.2598031454438608,7.820980053989087e-69,0.41356908445516033,False
is_expectancy_per_sqrt_trade,OR,stored_validation_expectancy_pct,7949,0.648057778087255,0.3068310479305573,0.7509236453201971,0.19771316284828055,0.15137837987035002,0.24690170018779783,78,0.5255952380952381,0.5256410256410257,0.9761904761904762,0.27564102564102566,-0.37623456790123455,0.6075949367088608,False,False,9.377453376381231e-206,0.2894983591186122,9.37745337638123e-205,0.41356908445516033,False
is_expectancy_per_sqrt_trade,OR,stored_is_validation_fitness_gap,8715,0.6334275233852916,0.28984509466437175,0.7777093596059114,0.18124100320829473,0.13785740102226543,0.22474988277434038,78,0.5255952380952381,0.5256410256410257,0.9761904761904762,0.27564102564102566,-0.3950617283950617,0.6214163530619227,False,False,2.1546219396954413e-173,0.2894983591186122,5.3865548492386035e-173,0.41356908445516033,False
stored_is_expectancy_pct,OR,stored_validation_expectancy_pct,8072,0.6535228765179346,0.30884539147670964,0.7675492610837439,0.2052930666927294,0.1587093859122981,0.25263172225553804,81,0.5125,0.5185185185185185,1.0,0.5185185185185185,0.4125,0.6277243589743591,False,False,4.997495173725312e-223,0.4878048780487804,9.994990347450624e-222,0.6097560975609755,False
stored_is_expectancy_pct,OR,stored_is_validation_fitness_gap,8936,0.6383618656593524,0.290734109221128,0.7998768472906403,0.18959827601745602,0.14835615135313088,0.23177199123806871,81,0.5125,0.5185185185185185,1.0,0.5185185185185185,0.4182802000312549,0.6225176722012166,False,False,3.308004352712852e-190,0.4878048780487804,1.3232017410851408e-189,0.6097560975609755,False
stored_is_expectancy_pct,AND,is_expectancy_per_sqrt_trade,4782,0.6366491509934555,0.3578000836470096,0.5267857142857143,0.2125397112814487,0.15237704961476864,0.27495099867875755,68,0.5041666666666667,0.5147058823529411,0.8333333333333334,0.014705882352941124,-0.2721302700922266,0.296820287890997,False,False,2.4233596971223976e-185,0.5756932484602355,8.077865657074658e-185,0.6772861746591007,False
is_expectancy_per_sqrt_trade,OR,stored_validation_fitness,8504,0.6417453122681039,0.29680150517403575,0.7770935960591133,0.19124675958429965,0.14405865236822263,0.2354332012659047,80,0.5005952380952381,0.5125,0.9761904761904762,0.012499999999999956,-0.5584849683544304,0.5831275084902747,False,False,9.271059118070504e-194,0.7407407407407407,4.635529559035252e-193,0.7797270955165692,False
stored_is_expectancy_pct,OR,is_expectancy_per_sqrt_trade,5974,0.6401611887514765,0.3316036156678942,0.6099137931034483,0.19665846708977086,0.1428559417015123,0.2516371640391972,73,0.49047619047619045,0.5068493150684932,0.8809523809523809,-0.0487062404870624,-0.3976833976833976,0.32340727699530514,False,False,2.9044234086746036e-182,0.7337041299066616,8.298352596213153e-182,0.7797270955165692,False
stored_is_expectancy_pct,OR,stored_validation_fitness,8546,0.6445018007843551,0.29803416803182775,0.7841748768472906,0.19520301063121165,0.15081981088969004,0.23819906604833269,82,,,,,,,False,False,3.117041885835083e-202,1.0,2.0780279238900553e-201,1.0,False
