candidate_id,ticker,split,signal_date,entry_date,calendar_lag_days,trading_lag_bars,signal_close,entry_price,entry_vs_signal_close_pct,pnl_pct
stage3:CAPR:a51d615a0ff1,CAPR,OOS,2025-12-02,2025-12-03,1,1,6.36000013351,30.0,371.69810330559534,-13.4902707462
stage3:AAP:71dcdeb19ec0,AAP,OOS,2025-05-21,2025-05-22,1,1,31.3099994659,43.0699996948,37.559886392549856,15.1287036553
stage3:AGX:35fe3ac7dd2c,AGX,OOS,2026-03-26,2026-03-27,1,1,410.850006104,505.600006104,23.061944406060352,3.23664280236
stage3:CRMD:1a48a9a1b768,CRMD,OOS,2025-06-20,2025-06-23,3,1,13.6099996567,16.7399997711,22.997797159084765,-30.8742009594
stage3:BE:b07b2e49fef8,BE,OOS,2026-04-28,2026-04-29,1,1,226.369995117,276.549987793,22.167245553044413,-2.89409184703
stage3:BE:b07b2e49fef8,BE,OOS,2025-10-10,2025-10-13,3,1,86.8700027466,105.989997864,22.009893533873925,-5.34981334152
stage3:CIEN:2ed675d30868,CIEN,OOS,2025-09-03,2025-09-04,1,1,94.8199996948,115.0,21.28243025749206,33.1047984421
stage3:ACMR:44c1e02681c4,ACMR,OOS,2025-02-25,2025-02-26,1,1,22.9400005341,27.6700000763,20.61900362717479,-4.96662771704
stage3:BKSY:f1bcc8efea02,BKSY,OOS,2025-01-27,2025-01-28,1,1,13.1599998474,15.8100004196,20.136782697026835,-13.6061040014
stage3:AGX:35fe3ac7dd2c,AGX,OOS,2025-03-27,2025-03-28,1,1,115.230003357,138.100006104,19.847263803460336,-16.8339230296
stage3:CBRL:677767a0b6a9,CBRL,OOS,2026-06-09,2026-06-10,1,1,36.2999992371,43.5,19.834713262311364,15.9284935523
stage3:ADPT:78c31f1ca209,ADPT,OOS,2025-05-01,2025-05-02,1,1,7.36000013351,8.81000041962,19.701090486509166,2.25552000241
stage3:CAN:dd27c77ca4dc,CAN,OOS,2025-01-17,2025-01-21,4,1,2.00999999046,2.38499999046,18.656716506460235,-11.8572752104
stage2:FIX:cab7d458767d,FIX,OOS,2025-07-24,2025-07-25,1,1,562.83001709,665.299987793,18.206202155457273,4.60782536977
stage3:BTU:ecfcb41f1be2,BTU,OOS,2025-04-07,2025-04-08,1,1,10.3100004196,12.1450004578,17.798253768365925,-3.43144222637
stage3:AXON:25b116de3cd4,AXON,OOS,2025-02-25,2025-02-26,1,1,496.649993896,584.950012207,17.77912401011532,-6.24460198271
stage3:CLS:78777565b183,CLS,OOS,2025-01-29,2025-01-30,1,1,100.489997864,117.099998474,16.529008819842407,-5.71918224858
stage3:AVGO:e4fd3cee2402,AVGO,OOS,2025-09-04,2025-09-05,1,1,306.100006104,355.779998779,16.229987482627095,-2.64170069162
stage3:BMA:0c978464f9dd,BMA,OOS,2025-09-19,2025-09-22,3,1,39.2700004578,45.5600013733,16.01731816188621,-0.788030586827
stage3:APH:c7885deba35c,APH,OOS,2025-04-22,2025-04-23,1,1,65.75,76.0199966431,15.619766757566534,9.95566869212
stage3:AMSC:57bf3f342f43,AMSC,OOS,2026-02-04,2026-02-05,1,1,27.6100006104,31.7600002289,15.030784233075313,4.08073933085
stage3:CLS:78777565b183,CLS,OOS,2025-10-27,2025-10-28,1,1,301.820007324,346.010009766,14.641177314187303,1.66620612313
stage3:ADMA:42437a3ee595,ADMA,OOS,2026-03-26,2026-03-27,1,1,8.28999996185,9.46500015259,14.173705623006839,4.02588341521
stage3:COHR:10ef1bf6b0d1,COHR,OOS,2025-11-05,2025-11-06,1,1,134.630004883,153.699996948,14.164741419695236,8.93531511339
stage3:BWXT:f195725cb792,BWXT,OOS,2025-08-04,2025-08-05,1,1,154.509994507,176.050003052,13.94085127873339,-8.46204544805
stage3:CAN:dd27c77ca4dc,CAN,OOS,2025-05-09,2025-05-12,3,1,0.749000012875,0.852999985218,13.88517630911663,8.07400019283
stage3:CGC:650b7578c8c7,CGC,OOS,2025-11-06,2025-11-07,1,1,1.09000003338,1.24000000954,13.761465281323204,-4.77654656889
stage3:CAN:dd27c77ca4dc,CAN,OOS,2025-10-30,2025-10-31,1,1,1.24000000954,1.40999996662,13.7096738525885,-15.2137605719
stage3:AEIS:6e26f08a7c6d,AEIS,OOS,2025-11-04,2025-11-05,1,1,195.050003052,221.559997559,13.591383795022294,-13.4082533606
stage3:CSIQ:030ce2015af8,CSIQ,OOS,2025-11-04,2025-11-05,1,1,21.9899997711,24.9599990845,13.50613617242178,19.8819874631
