candidate_id,ticker,stage,rule_hash_short,price,first_signal_at,first_signal_price,age_hours_at_export,age_days_at_export,chase_from_first_signal_pct,chase_ge_5,chase_ge_10,older_than_24h,final_score,threshold,ratio,entry_quality_policy,entry_quality_label,manual_buy_enabled
stage3:ANET:fe220620802b,ANET,stage3,fe220620802b,184.220000,2026-07-07T22:22:21.577113+00:00,164.500000,59.646593,2.485275,11.987842,True,True,True,3.025097,2.639090,1.146265,,,True
stage3:AEIS:6e26f08a7c6d,AEIS,stage3,6e26f08a7c6d,309.269989,2026-07-07T22:22:21.577113+00:00,290.120000,59.646593,2.485275,6.600713,True,False,True,2.445473,1.639118,1.491945,,,True
stage3:BTBT:363898884d44,BTBT,stage3,363898884d44,1.720000,2026-07-07T22:22:21.577113+00:00,1.640000,59.646593,2.485275,4.878049,False,False,True,7.997534,1.911258,4.184435,,,True
stage3:ALGT:aec5dd5b1dc1,ALGT,stage3,aec5dd5b1dc1,114.650002,2026-07-07T22:22:21.577113+00:00,110.000000,59.646593,2.485275,4.227274,False,False,True,5.597293,2.293728,2.440260,,,True
stage3:BB:f1bdfe7f8ad9,BB,stage3,f1bdfe7f8ad9,11.414700,2026-07-07T22:22:21.577113+00:00,11.040000,59.646593,2.485275,3.394022,False,False,True,3.290903,2.791951,1.178711,,,True
stage3:ARKW:296c057b4ef7,ARKW,stage3,296c057b4ef7,149.539993,2026-07-07T22:22:21.577113+00:00,146.255000,59.646593,2.485275,2.246072,False,False,True,2.841174,2.563383,1.108369,,,True
stage3:CBRL:677767a0b6a9,CBRL,stage3,677767a0b6a9,49.550000,2026-07-08T04:42:01.852155+00:00,49.045500,53.318739,2.221614,1.028637,False,False,True,2.833283,1.904704,1.487519,,,True
stage3:ADMA:42437a3ee595,ADMA,stage3,42437a3ee595,9.270000,2026-07-07T22:22:21.577113+00:00,9.220000,59.646593,2.485275,0.542299,False,False,True,8.765495,2.179291,4.022178,,,True
stage3:BWXT:f195725cb792,BWXT,stage3,f195725cb792,186.990000,2026-07-07T22:22:21.577113+00:00,186.210000,59.646593,2.485275,0.418882,False,False,True,3.042797,2.015809,1.509467,,,True
stage3:BGC:d8c39420992c,BGC,stage3,d8c39420992c,10.970000,2026-07-10T09:48:35.974824+00:00,10.970000,0.209261,0.008719,0.000000,False,False,False,3.974627,3.238709,1.227226,,,True
stage3:BTE:4ba9af200f79,BTE,stage3,4ba9af200f79,4.075600,2026-07-10T09:48:35.974824+00:00,4.075600,0.209261,0.008719,0.000000,False,False,False,3.403591,3.356983,1.013884,,,True
stage3:BMI:07d4ee0f7841,BMI,stage3,07d4ee0f7841,145.990000,2026-07-07T22:22:21.577113+00:00,147.080000,59.646593,2.485275,-0.741093,False,False,True,6.950902,2.429303,2.861275,,,True
stage3:BN:d264957fe5f6,BN,stage3,d264957fe5f6,43.090000,2026-07-07T22:22:21.577113+00:00,43.500000,59.646593,2.485275,-0.942529,False,False,True,4.128519,2.648022,1.559096,,,True
stage3:BCS:5e7da5a74b01,BCS,stage3,5e7da5a74b01,27.240000,2026-07-07T22:22:21.577113+00:00,27.662500,59.646593,2.485275,-1.527338,False,False,True,6.057287,3.301677,1.834609,,,True
stage3:CRS:8695c9ce3320,CRS,stage3,8695c9ce3320,591.000000,2026-07-09T17:20:33.590054+00:00,600.859985,16.676590,0.694858,-1.640979,False,False,False,3.773041,2.557476,1.475299,,,True
stage3:BMA:0c978464f9dd,BMA,stage3,0c978464f9dd,89.820000,2026-07-07T22:22:21.577113+00:00,91.650000,59.646593,2.485275,-1.996727,False,False,True,13.245747,2.848392,4.650255,,,True
stage2:CMC:4f6ee2739add,CMC,stage2,4f6ee2739add,59.950000,2026-07-07T22:22:21.577113+00:00,61.580000,59.646593,2.485275,-2.646963,False,False,True,4.602776,2.390548,1.925407,,,True
stage3:ACMR:44c1e02681c4,ACMR,stage3,44c1e02681c4,102.380000,2026-07-09T17:20:33.590054+00:00,107.050003,16.676590,0.694858,-4.362450,False,False,False,3.863388,1.672152,2.310429,,,True
