policy,group,scope,candidate_count,complete_candidate_count,base_metric_candidate_count,base_avg_pnl_candidate_mean_pct,base_win_rate_candidate_mean_pct,holdout_candidate_count,holdout_trade_count,holdout_avg_pnl_candidate_mean_pct,holdout_win_rate_candidate_mean_pct,holdout_avg_pnl_trade_weighted_pct,complete_holdout_candidate_count,complete_holdout_trade_count,complete_holdout_avg_pnl_candidate_mean_pct,complete_holdout_win_rate_candidate_mean_pct,complete_holdout_avg_pnl_trade_weighted_pct
STRICT,RISK,ALL_HIGH_VOL,84,2,84,1.9351367729305344,50.42264083079861,84,768,2.809723716620555,57.37695719313366,1.66533237507638,2,10,7.01224488513135,80.0,7.01224488513135
STRICT,HIGH_VOL_REMAINDER,ALL_HIGH_VOL,3000,315,3000,2.3851512940793786,54.48001065105304,3000,50863,2.4461997534903954,52.744996713069014,1.8798460186191583,315,4456,6.216288831326419,60.83001992959847,5.42863696175925
STRICT,RISK,COMPLETE_HIGH_VOL,2,2,2,4.365536160368748,56.25,2,10,7.01224488513135,80.0,7.01224488513135,2,10,7.01224488513135,80.0,7.01224488513135
STRICT,HIGH_VOL_REMAINDER,COMPLETE_HIGH_VOL,315,315,315,4.508690397321629,60.524031404339205,315,4456,6.216288831326419,60.83001992959847,5.42863696175925,315,4456,6.216288831326419,60.83001992959847,5.42863696175925
STRICT,RISK,STAGE2_HIGH_VOL,0,0,0,,,0,0,,,,0,0,,,
STRICT,HIGH_VOL_REMAINDER,STAGE2_HIGH_VOL,27,27,27,4.11090018803015,75.63736087754367,27,366,6.476138335923806,72.81915857079257,4.652357687400756,27,366,6.476138335923806,72.81915857079257,4.652357687400756
STRICT,RISK,STAGE3_HIGH_VOL,84,2,84,1.9351367729305344,50.42264083079861,84,768,2.809723716620555,57.37695719313366,1.66533237507638,2,10,7.01224488513135,80.0,7.01224488513135
STRICT,HIGH_VOL_REMAINDER,STAGE3_HIGH_VOL,2973,288,2973,2.369478498877,54.287865189863936,2973,50497,2.409600916717539,52.56268848227234,1.8597509779083428,288,4090,6.191927940270413,59.70603818198653,5.498103517850988
RELAXED,RISK,ALL_HIGH_VOL,801,68,801,2.443583158189477,54.680479867769456,801,12773,1.3131809564878572,52.191463244282026,1.0136573827184192,68,946,3.918262600869909,62.242931808675756,3.540499561593645
RELAXED,HIGH_VOL_REMAINDER,ALL_HIGH_VOL,2283,249,2283,2.348092536773775,54.260389579002585,2283,38858,2.857099477231949,53.10963315145002,2.1603308857795707,249,3520,6.850255481039883,60.598140220215136,5.940572774199699
RELAXED,RISK,COMPLETE_HIGH_VOL,68,68,68,4.071801350936289,61.09898383039878,68,946,3.918262600869909,62.242931808675756,3.540499561593645,68,946,3.918262600869909,62.242931808675756,3.540499561593645
RELAXED,HIGH_VOL_REMAINDER,COMPLETE_HIGH_VOL,249,249,249,4.626851628969409,60.332686714456756,249,3520,6.850255481039883,60.598140220215136,5.940572774199699,249,3520,6.850255481039883,60.598140220215136,5.940572774199699
RELAXED,RISK,STAGE2_HIGH_VOL,12,12,12,3.458265446342557,76.78347917479613,12,186,4.141078730006592,71.79632867132868,3.6302541295888124,12,186,4.141078730006592,71.79632867132868,3.6302541295888124
RELAXED,HIGH_VOL_REMAINDER,STAGE2_HIGH_VOL,15,15,15,4.633007981380222,74.7204662397417,15,180,8.344186020657576,73.63742249036368,5.708531363806431,15,180,8.344186020657576,73.63742249036368,5.708531363806431
RELAXED,RISK,STAGE3_HIGH_VOL,789,56,789,2.428150727951407,54.34431257792873,789,12587,1.270171104419131,51.893290386076,0.9749915374083461,56,760,3.8705162874834764,60.195775338107275,3.5185333120579854
RELAXED,HIGH_VOL_REMAINDER,STAGE3_HIGH_VOL,2268,234,2268,2.332980662140135,54.125071611669654,2268,38678,2.820809222315113,52.973867348943976,2.143818240708863,234,3340,6.754490702859261,59.76228879264151,5.9530779999095165
