scope,metric,count,denominator,rate_pct
HIGH_VOL,BASE_COUNT,3084,3084,100.0
HIGH_VOL,STRICT_NEVER_FIRED,84,3084,2.7237354085603114
HIGH_VOL,RELAXED_NEVER_OR_RARE,801,3084,25.9727626459144
STAGE1_RISK,BASE_COUNT,3036,3036,100.0
STAGE1_RISK,STRICT_NEVER_FIRED,84,3036,2.766798418972332
STAGE1_RISK,RELAXED_NEVER_OR_RARE,801,3036,26.383399209486164
COMPLETE_HIGH_VOL,BASE_COUNT,317,317,100.0
COMPLETE_HIGH_VOL,STRICT_NEVER_FIRED,2,317,0.6309148264984227
COMPLETE_HIGH_VOL,RELAXED_NEVER_OR_RARE,68,317,21.451104100946374
COMPLETE_STAGE1_RISK,BASE_COUNT,305,305,100.0
COMPLETE_STAGE1_RISK,STRICT_NEVER_FIRED,2,305,0.6557377049180327
COMPLETE_STAGE1_RISK,RELAXED_NEVER_OR_RARE,68,305,22.295081967213115
STAGE1_RISK_LABEL,ACTIVE,2235,3036,73.61660079051383
STAGE1_RISK_LABEL,RARELY_ACTIVE,717,3036,23.616600790513832
STAGE1_RISK_LABEL,NEVER_FIRED,84,3036,2.766798418972332
