defect_family,candidate_id,stage,ticker,vol_group_final,classification_method,in_scope_high_vol,captured_by_stage1,out_of_scope_reason,weight_volume_surge,volume_weight_near_zero,market_cap_nonvolume_min_count,market_cap_nonvolume_subset,nonvolume_market_cap_threshold_margin,legacy_candidate_vol_group,legacy_boil_check
BOIL,stage2:GSAT:7d070e5b4580,stage2,GSAT,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,3.0,ma+rsi+bb,2.0068962461628406,HIGH_VOL,FAIL
BOIL,stage2:IDYA:f4581ae32416,stage2,IDYA,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,1.0,rsi,2.549799550573869,HIGH_VOL,FAIL
BOIL,stage3:AAOI:ae213c8001ca,stage3,AAOI,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,True,True,,0.0,True,2.0,ma+bb,6.4611762553098835,HIGH_VOL,FAIL
BOIL,stage3:AAOI:c0c59406f865,stage3,AAOI,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,True,True,,0.0,True,2.0,ma+bb,6.4611762553098835,HIGH_VOL,FAIL
BOIL,stage3:AAOI:e0ab243df98a,stage3,AAOI,HIGH_VOL,EXACT_FROZEN_IS_STD20_TERCILE,True,True,,0.0,True,2.0,ma+bb,6.4611762553098835,HIGH_VOL,FAIL
BOIL,stage3:AAON:0154152801c6,stage3,AAON,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,2.0,ma+macd,1.7016011453051325,HIGH_VOL,FAIL
BOIL,stage3:AAON:12194937e0a0,stage3,AAON,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,1.0,ma,3.3853165142088395,HIGH_VOL,FAIL
BOIL,stage3:AAON:19975cf5aa18,stage3,AAON,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,2.0,ma+macd,2.2386001590026487,HIGH_VOL,FAIL
BOIL,stage3:AAON:34aac6eb1caf,stage3,AAON,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,1.0,ma,3.3853165142088395,HIGH_VOL,FAIL
BOIL,stage3:AAON:8dc5711e9e50,stage3,AAON,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,True,True,,0.0,True,2.0,ma+macd,2.2386001590026487,HIGH_VOL,FAIL
