ticker_key,ticker,origin_candidate_count,origin_stage_count,origin_stage2_count,origin_stage3_count,exact_vol_group,exact_avg_std20,exact_avg_std20_ann,exact_avg_atr14_pct,exact_reference_candidate_count,proxy_atr_median_pct,proxy_atr_min_pct,proxy_atr_max_pct,proxy_candidate_count,proxy_stage_count,proxy_vol_group,classification_method,vol_group_final,classification_value,classification_metric,low_mid_atr_proxy_boundary_pct,mid_high_atr_proxy_boundary_pct,classification_limit
AA,AA,63,2,3,60,HIGH_VOL,0.0397992927516,0.631794185863,6.07048804252,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0397992927516,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
AAOI,AAOI,60,1,0,60,HIGH_VOL,0.0848138684129,1.3463784213,12.4444657616,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0848138684129,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
AAON,AAON,60,1,0,60,,,,,,5.668091219086488,3.186620113058366,8.791301151116457,60.0,1.0,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,HIGH_VOL,5.668091219086488,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,4.1938121029849995,5.52550787966,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile
ACLS,ACLS,60,1,0,60,HIGH_VOL,0.0401304891694,0.637051766002,5.84082968171,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0401304891694,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
ACMR,ACMR,60,1,0,60,HIGH_VOL,0.04626594418,0.734449094831,6.02352363775,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.04626594418,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
ADMA,ADMA,60,1,0,60,HIGH_VOL,0.0334305992244,0.530694310366,5.30194655688,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0334305992244,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
ADPT,ADPT,60,1,0,60,HIGH_VOL,0.0434422079256,0.689623671448,6.35854408984,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0434422079256,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
AEHR,AEHR,61,2,1,60,,,,,,8.787955420249483,7.20267706377097,12.738792799625,61.0,2.0,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,HIGH_VOL,8.787955420249483,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,4.1938121029849995,5.52550787966,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile
AEVA,AEVA,60,1,0,60,HIGH_VOL,0.0770595374649,1.22328223367,10.2167276102,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0770595374649,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
AGIO,AGIO,60,1,0,60,,,,,,5.755398075532774,4.058267357416357,8.9441437581953,60.0,1.0,HIGH_VOL,ATR_PROXY_TICKER_MEDIAN,HIGH_VOL,5.755398075532774,MEDIAN_CANDIDATE_HISTORY_ATR_PCT,4.1938121029849995,5.52550787966,proxy from median candidate trade-entry ATR; not exact full-ticker IS std20 tercile
AMBA,AMBA,60,1,0,60,HIGH_VOL,0.0411762510891,0.653652721822,5.36669989193,1.0,,,,,,,EXACT_FROZEN_IS_STD20_TERCILE,HIGH_VOL,0.0411762510891,IS_AVG_STD20,4.1938121029849995,5.52550787966,93-candidate frozen analysis mapped consistently by ticker
