record_type,ticker,rule_hash_short,candidate_id,weight_volume_surge,volume_surge_ratio,pool_rank,selected_rank,train_expectancy_pct,train_trade_count,source_line
LIVE93,AMBA,5e057e3cfc2d,stage3:AMBA:5e057e3cfc2d,0,1.2,,,,,
LIVE93,BILL,eb2fe6599396,stage3:BILL:eb2fe6599396,0.00257146,1.90577578,,,,,
LIVE93,BNTX,d667608bc166,stage3:BNTX:d667608bc166,0,2.5,,,,,
LIVE93,BOIL,9044dc2c67a3,stage3:BOIL:9044dc2c67a3,0,2.5,,,,,
LIVE93,CCL,82d5bafb7e78,stage3:CCL:82d5bafb7e78,0,1.985506452,,,,,
LIVE93,CGC,650b7578c8c7,stage3:CGC:650b7578c8c7,0,2.293778177,,,,,
LIVE93,CHWY,a46752a05345,stage3:CHWY:a46752a05345,0,1.967400351,,,,,
LIVE93,CRMD,1a48a9a1b768,stage3:CRMD:1a48a9a1b768,0,1.383712465,,,,,
POOL,AAOI,078adc27c35a,,0,1.874153068,62,20,8.786465044330342,17,20
POOL,ACMR,ccb53e969550,,0,1.933921906,64,11,2.8052041626508903,33,11
POOL,AMBA,0790cc7d3d06,,0,1.2,56,16,4.347822023346208,21,16
POOL,AMBA,990f1c5d23cd,,0,2.44239765,53,14,5.368528612759031,20,14
POOL,AMBA,d836cad52a2a,,0.01081994777,1.341336395,41,8,4.438806813203369,21,8
POOL,AMBA,dcd5b17dff01,,0.01081994777,1.538175812,55,15,3.8454020133046867,24,15
POOL,AMBA,f1bac79aa791,,0,1.304929451,35,5,5.208567135760094,21,5
POOL,BILL,064bf0ffc32c,,0,1.738867648,36,9,4.834888598264007,20,9
POOL,BILL,0cfef427f4c8,,0,1.563342662,30,6,5.392135531774817,21,6
POOL,BILL,18570a08cd9a,,0,1.629736109,3,2,4.751359980040651,21,2
POOL,BILL,3544024b2acd,,0,1.475958469,53,19,3.6301564362957315,21,19
POOL,BILL,47b2b5626652,,0,1.90577578,25,5,4.984481411304945,24,5
POOL,BILL,48582c83ac80,,0.00257146,1.90577578,31,7,4.813057448622983,21,7
POOL,BILL,6f94669ebd14,,0.00257146,1.90577578,24,4,4.264124868900657,25,4
POOL,BILL,71a0d25eb0d7,,0,1.90577578,39,11,3.9134021900403715,21,11
POOL,BILL,9d9a770f7a11,,0,1.90577578,54,20,3.5058007768613484,21,20
POOL,BILL,9f9873cbf7f7,,0,1.668030332,49,16,3.675056535879839,23,16
POOL,BILL,b5ab9535f744,,0,1.475958469,51,17,3.666190539816612,21,17
POOL,BILL,c3bc6eb425de,,0,1.885822452,1,1,4.374028045625479,20,1
POOL,BILL,de87b65592a7,,0,1.738867648,34,8,5.264241593425973,20,8
POOL,BILL,f49900ca4a93,,0,1.738867648,23,3,5.03921243370233,20,3
POOL,BNTX,084ce73f900d,,0,2.322956489,45,16,3.6806444248351995,22,16
POOL,BNTX,33464677d82f,,0,2.488366675,10,6,5.128252690148212,20,6
POOL,BNTX,5e4ef796ab03,,0,2.185239818,12,7,5.136553945972062,20,7
POOL,BNTX,7e85db4e0692,,0,2.5,33,10,4.520702969116487,22,10
