level,pattern,candidate_id,ticker,weight_volume_surge,volume_surge_ratio,trades,win_rate_pct,avg_pnl_pct,median_pnl_pct,avg_mae_pct,worst_mae_pct,avg_mfe_pct,exit_distribution
candidate,HIGH_VOL_ZERO,stage3:AMBA:5e057e3cfc2d,AMBA,0.0,1.2,181,41.98895028,2.70535259,-3.09804817,-6.04181338,-22.19188285,11.28424950,"{""stop_loss"": 103, ""take_profit"": 46, ""time_out"": 32}"
candidate,HIGH_VOL_ZERO,stage3:BILL:eb2fe6599396,BILL,0.002571460000209247,1.9057757797265533,203,45.81280788,0.73815247,-1.07894547,-8.76922969,-31.42541285,10.20074830,"{""stop_loss"": 28, ""take_profit"": 32, ""time_out"": 143}"
candidate,HIGH_VOL_ZERO,stage3:BNTX:d667608bc166,BNTX,0.0,2.5,141,50.35460993,2.08598282,0.17263387,-6.45124379,-26.49288554,8.36476680,"{""stop_loss"": 28, ""take_profit"": 29, ""time_out"": 60, ""trailing"": 24}"
candidate,HIGH_VOL_ZERO,stage3:BOIL:9044dc2c67a3,BOIL,0.0,2.5,135,54.81481481,2.03885047,1.21036749,-7.08373680,-49.27697376,9.28565407,"{""breakeven_stop"": 80, ""stop_loss"": 28, ""take_profit"": 17, ""time_out"": 10}"
candidate,HIGH_VOL_ZERO,stage3:CCL:82d5bafb7e78,CCL,0.0,1.9855064523753785,141,66.66666667,1.83263314,1.97989163,-5.64538901,-29.58296422,7.64120182,"{""breakeven_stop"": 86, ""time_out"": 35, ""trailing"": 20}"
candidate,HIGH_VOL_ZERO,stage3:CGC:650b7578c8c7,CGC,0.0,2.293778177365835,138,57.24637681,2.84533766,2.05578104,-8.03097867,-32.15384143,10.37757953,"{""breakeven_stop"": 83, ""stop_loss"": 2, ""take_profit"": 9, ""time_out"": 44}"
candidate,HIGH_VOL_ZERO,stage3:CHWY:a46752a05345,CHWY,0.0,1.9674003514320764,182,41.20879121,-1.45711942,-2.01095962,-7.82365344,-21.82730743,6.73100928,"{""stop_loss"": 35, ""take_profit"": 5, ""time_out"": 105, ""trailing"": 37}"
candidate,HIGH_VOL_ZERO,stage3:CRMD:1a48a9a1b768,CRMD,0.0,1.383712465113955,189,55.55555556,-0.98255263,1.52009194,-8.92048005,-44.97644933,9.26560342,"{""time_out"": 154, ""trailing"": 35}"
candidate_equal,HIGH_VOL_ZERO,,,,,1310,51.70607164,1.22582964,,-7.34581560,-49.27697376,9.14385159,"{""breakeven_stop"": 249, ""stop_loss"": 224, ""take_profit"": 138, ""time_out"": 583, ""trailing"": 116}"
trade_weighted,HIGH_VOL_ZERO,,,,,1310,50.91603053,1.07560446,0.22738535,-7.44565058,-49.27697376,9.18469821,"{""breakeven_stop"": 249, ""stop_loss"": 224, ""take_profit"": 138, ""time_out"": 583, ""trailing"": 116}"
candidate_equal,HIGH_VOL_POSITIVE,,,,,3250,58.62052825,3.91357229,,-7.84679139,-81.87847531,14.02107392,"{""breakeven_stop"": 574, ""sell_omen"": 31, ""stop_loss"": 510, ""take_profit"": 417, ""time_out"": 989, ""trailing"": 729}"
trade_weighted,HIGH_VOL_POSITIVE,,,,,3250,58.46153846,3.86588850,2.60029058,-7.95619765,-81.87847531,13.90253703,"{""breakeven_stop"": 574, ""sell_omen"": 31, ""stop_loss"": 510, ""take_profit"": 417, ""time_out"": 989, ""trailing"": 729}"
