candidate_id,rulebook_hash,rulebook_hash_short,ticker,stage,label,baseline_episode_n,delayed_episode_n,total_frozen_oos_signal_rows,baseline_avg_pnl_pct,baseline_win_rate_pct,baseline_avg_mae_pct,baseline_avg_mfe_pct,tested_condition_cells_n20,safe_condition_cells_n20,boundary_text,condition_delayed_avg_pnl_pct,condition_delayed_win_rate_pct,condition_paired_baseline_avg_pnl_pct,condition_paired_baseline_win_rate_pct,live_chase_pct,live_score_ratio,live_delay_trading_days_proxy,live_inside_boundary,current_chase_diag_n,current_chase_diag_avg_pnl_pct,current_chase_diag_win_rate_pct,current_chase_diag_paired_baseline_avg_pnl_pct,current_chase_diag_paired_baseline_win_rate_pct,component_scores_status
stage3:ACMR:44c1e02681c4,44c1e02681c44166295eac4acb61328ed3593f66320dbd176b6f4ae94f2569e3,44c1e02681c4,ACMR,stage3,NO_SAFE_CONDITION,42,36,201,4.688590,64.285714,-7.280860,11.080569,220,0,NONE,,,,,-4.362450,2.310429,0,False,10,-2.832576,40.000000,-8.660144,20.000000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:ADMA:42437a3ee595,42437a3ee595f76c51fc0d43a90378d482476a6410cc742ccce2ba89ca84a626,42437a3ee595,ADMA,stage3,CONDITION_FOUND,54,40,235,-1.044343,48.148148,-8.735021,6.667141,276,11,delay<=D+8; score_ratio>=1.010363; entry_chase<=-1.657102%; n=24,-0.021094,54.166667,-3.090193,37.500000,0.542299,4.022178,2,False,32,-3.626414,40.625000,-3.706542,40.625000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:AEIS:6e26f08a7c6d,6e26f08a7c6dd52523d5d7a25ad6e1aede788a208de46e89b0b4b4c0c1ba4d04,6e26f08a7c6d,AEIS,stage3,CONDITION_FOUND,56,39,178,4.136800,62.500000,-6.216891,10.048263,506,484,delay<=D+13; score_ratio>=1.140968; entry_chase<=13.763933%; n=39,4.795321,69.230769,3.582686,64.102564,6.600713,1.491945,2,True,37,5.114162,70.270270,3.115609,62.162162,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:ALGT:aec5dd5b1dc1,aec5dd5b1dc1e1c04f437401820b75ece1de06f379839f0e031904a50df058ae,aec5dd5b1dc1,ALGT,stage3,CONDITION_FOUND,42,37,258,2.733441,40.476190,-6.373533,12.907073,769,33,delay<=D+18; score_ratio>=1.323828; entry_chase<=0.470986%; n=23,5.001748,43.478261,1.891352,30.434783,4.227274,2.440260,2,False,33,0.057768,30.303030,-0.115527,30.303030,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:ANET:fe220620802b,fe220620802b432f760bf18cb42e27465bdf78361ea803a0d00692c80848932b,fe220620802b,ANET,stage3,NO_SAFE_CONDITION,72,44,184,0.639355,65.277778,-5.319744,5.990228,467,0,NONE,,,,,11.987842,1.146265,2,False,43,0.173866,48.837209,-0.143176,62.790698,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:ARKW:296c057b4ef7,296c057b4ef7c871885ce2ca488d5cca885669a1f7491153ed7169ce7748cebf,296c057b4ef7,ARKW,stage3,NO_SAFE_CONDITION,38,24,141,4.087018,52.631579,-5.329557,10.662797,289,0,NONE,,,,,2.246072,1.108369,2,False,21,3.479948,47.619048,3.216318,47.619048,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BB:f1bdfe7f8ad9,f1bdfe7f8ad9eab0337862d4166754166c299876cca58096ada5fa0845c76024,f1bdfe7f8ad9,BB,stage3,NO_SAFE_CONDITION,30,22,127,7.583210,60.000000,-6.260708,15.224074,53,0,NONE,,,,,3.394022,1.178711,2,False,18,6.216346,55.555556,7.817265,61.111111,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BCS:5e7da5a74b01,5e7da5a74b01545ef6645f4a8a7c15b98fa78372fea1dda57cf45020712dd055,5e7da5a74b01,BCS,stage3,CONDITION_FOUND,51,31,189,3.951391,74.509804,-4.317642,8.340665,398,13,delay<=D+16; score_ratio>=1.493435; entry_chase<=3.331687%; n=25,4.115119,80.000000,3.951630,76.000000,-1.527338,1.834609,2,True,13,8.500436,92.307692,5.951007,76.923077,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BGC:d8c39420992c,d8c39420992c1d0ef3a48c4e5ebd496f28b0be4877ebec12ab56bcae9a0a3a80,d8c39420992c,BGC,stage3,NO_SAFE_CONDITION,45,20,148,2.168315,57.777778,-4.568364,7.577219,28,0,NONE,,,,,0.000000,1.227226,0,False,16,0.299880,62.500000,-0.256795,37.500000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BMA:0c978464f9dd,0c978464f9dde1afc4e0f9501a0e135f6936b7c2f47503c5f149d43ceb232f01,0c978464f9dd,BMA,stage3,CONDITION_FOUND,47,25,108,6.542199,68.085106,-8.936604,18.416343,45,18,delay<=D+9; score_ratio>=1.002105; entry_chase<=4.526846%; n=24,8.403176,75.000000,7.822512,62.500000,-1.996727,4.650255,2,True,10,5.969948,70.000000,1.015711,50.000000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BMI:07d4ee0f7841,07d4ee0f7841289628c40f20e3b7571522ab3cd12491ee889af8bbe8be5c6b5d,07d4ee0f7841,BMI,stage3,INSUFFICIENT_SAMPLE,27,14,93,-3.423913,33.333333,-8.589274,6.829925,0,0,UNKNOWN_INSUFFICIENT_SAMPLE,,,,,-0.741093,2.861275,2,False,9,1.959161,66.666667,-0.248982,33.333333,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BN:d264957fe5f6,d264957fe5f60b3973f692af75a0c759d8f2e423147ecb17a19384d3b8ec0735,d264957fe5f6,BN,stage3,CONDITION_FOUND,34,27,246,0.127087,52.941176,-6.472605,6.465936,225,225,delay<=D+19; score_ratio>=1.010810; entry_chase<=9.461535%; n=27,1.488984,59.259259,0.632065,51.851852,-0.942529,1.559096,2,True,14,1.929354,64.285714,-1.482002,42.857143,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BTBT:363898884d44,363898884d446481cb2fe915f734e14f950648571d9ea5ced366373a9b1585ce,363898884d44,BTBT,stage3,NO_SAFE_CONDITION,62,41,163,-0.389772,54.838710,-6.811152,8.038060,466,0,NONE,,,,,4.878049,4.184435,2,False,35,-3.061264,54.285714,-1.768759,51.428571,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BTE:4ba9af200f79,4ba9af200f79ddefd8bcd7646a47ad8120f9daaf219d53c4a2ef2f621a9c389b,4ba9af200f79,BTE,stage3,INSUFFICIENT_SAMPLE,23,16,108,7.481942,82.608696,-5.949737,14.936714,0,0,UNKNOWN_INSUFFICIENT_SAMPLE,,,,,0.000000,1.013884,0,False,11,7.510381,81.818182,3.578843,72.727273,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:BWXT:f195725cb792,f195725cb7925ddb6c3a16f434d12b72d87831a9f2c3f2a4bff2b9e8ab4301c6,f195725cb792,BWXT,stage3,CONDITION_FOUND,41,27,181,1.596747,43.902439,-6.351529,10.821638,421,183,delay<=D+19; score_ratio>=1.241452; entry_chase<=4.660121%; n=26,2.001454,65.384615,1.876826,42.307692,0.418882,1.509467,2,True,16,0.035234,43.750000,-3.040937,25.000000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage3:CBRL:677767a0b6a9,677767a0b6a962955fe6eaf6dc49cd401b1bf22ac205c310bfe62ff4a8910910,677767a0b6a9,CBRL,stage3,NO_SAFE_CONDITION,47,36,181,3.664206,42.553191,-7.381802,13.122526,437,0,NONE,,,,,1.028637,1.487519,1,False,28,1.540022,28.571429,1.424844,35.714286,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
stage2:CMC:4f6ee2739add,4f6ee2739add9e47fde7bed02629cd96f768590c76a08b09ed0c77d1defdb392,4f6ee2739add,CMC,stage2,CONDITION_FOUND,51,31,117,1.727018,76.470588,-3.542600,5.084291,189,166,delay<=D+9; score_ratio>=1.002593; entry_chase<=12.857145%; n=31,2.768723,83.870968,2.367186,83.870968,-2.646963,1.925407,2,True,4,4.556984,100.000000,-0.538633,75.000000,UNKNOWN_NOT_STORED_IN_FROZEN_LOG
