overfit_rank,grade,overfit_score,concentration_score,gap_score,exit_quality_score,ticker,candidate_id,stage,bucket,rule_hash_short,final_score,threshold,ratio,positive_indicator_count,positive_indicators,top1_indicator,top1_share_pct,top2_indicators,top2_share_pct,direct_trade_n,direct_avg_pnl_pct,direct_win_rate_pct,direct_avg_mae_pct,direct_avg_mfe_pct,direct_mfe_mae_ratio,direct_min_pnl_pct,stop_loss_n,time_out_n,take_profit_n,trailing_n,breakeven_stop_n,stop_timeout_pct,IS_n,IS_avg_pnl_pct,IS_win_rate_pct,OOS_n,OOS_avg_pnl_pct,OOS_win_rate_pct,is_oos_avg_pnl_gap_pct,is_oos_win_gap_pct,STRESS_n,STRESS_avg_pnl_pct,STRESS_win_rate_pct,pattern_flags
1,OVERFIT_SUSPECT,8,1,2,5,CE,stage3:CE:998b0b638c66,stage3,B_stable,998b0b638c66,2.678767,2.654187,1.009261,3,rsi:1.725;bb:0.848;events:0.106,rsi,64.398,rsi+bb,96.046,79,-1.019775,41.772,-5.567,4.672,0.839,-14.896,28,42,5,2,0,88.608,38,-0.124,44.737,18,-5.121,22.222,4.997,22.515,23,0.710,52.174,IS_OOS_GAP|BAD_EXIT_QUALITY
2,OVERFIT_SUSPECT,7,3,0,4,BKSY,stage3:BKSY:f1bcc8efea02,stage3,watch,f1bcc8efea02,4.296854,2.232911,1.924329,2,rsi:2.000;bb:0.293,rsi,87.215,rsi+bb,100.000,80,0.954289,42.500,-8.584,11.175,1.302,-21.656,35,32,12,0,0,83.750,39,-0.149,38.462,23,4.404,47.826,-4.552,-9.365,18,-1.063,44.444,FEW_INDICATORS|BAD_EXIT_QUALITY|TAIL_MAE
3,OVERFIT_SUSPECT,7,3,2,2,ADMA,stage3:ADMA:42437a3ee595,stage3,watch,42437a3ee595,3.325979,2.179291,1.526175,2,rsi:2.000;events:0.284,rsi,87.582,rsi+events,100.000,92,1.675619,57.609,-6.273,8.997,1.434,-29.385,3,68,0,2,18,77.174,38,3.125,60.526,23,-2.196,52.174,5.321,8.352,31,2.771,58.065,FEW_INDICATORS|IS_OOS_GAP
4,OVERFIT_SUSPECT,7,3,2,2,BTBT,stage3:BTBT:363898884d44,stage3,watch,363898884d44,11.350201,1.911258,5.938603,2,events:8.920;rsi:1.646,events,84.423,events+rsi,100.000,88,1.186887,57.955,-8.846,12.627,1.427,-28.547,26,0,14,0,48,29.545,40,2.780,67.500,24,-0.199,45.833,2.979,21.667,24,-0.083,54.167,FEW_INDICATORS|IS_OOS_GAP|TAIL_MAE
5,OVERFIT_SUSPECT,7,3,4,0,BMI,stage3:BMI:07d4ee0f7841,stage3,C_momentum,07d4ee0f7841,8.274863,2.429303,3.406271,2,events:4.383;ma_align:1.295,events,77.197,events+ma_align,100.000,40,1.034603,60.000,-4.995,7.160,1.433,-19.834,4,23,0,11,0,67.500,17,2.852,70.588,10,-4.838,30.000,7.690,40.588,13,3.176,69.231,FEW_INDICATORS|IS_OOS_GAP
6,OVERFIT_SUSPECT,6,2,0,4,CBRL,stage3:CBRL:677767a0b6a9,stage3,watch,677767a0b6a9,2.833764,1.904704,1.487771,2,rsi:1.790;ma_align:1.123,rsi,61.437,rsi+ma_align,100.000,68,-0.548038,36.765,-5.595,6.648,1.188,-11.119,36,20,8,0,0,82.353,31,-0.748,38.710,15,0.093,40.000,-0.841,-1.290,22,-0.703,31.818,FEW_INDICATORS|BAD_EXIT_QUALITY
7,OVERFIT_SUSPECT,6,2,0,4,ALGT,stage3:ALGT:aec5dd5b1dc1,stage3,watch,aec5dd5b1dc1,5.597293,2.293728,2.440260,2,rsi:2.000;ma_align:1.691,rsi,54.189,rsi+ma_align,100.000,75,-0.290384,24.000,-5.676,7.477,1.317,-11.013,50,12,7,5,0,82.667,33,-0.314,27.273,22,0.413,22.727,-0.727,4.545,20,-1.025,20.000,FEW_INDICATORS|BAD_EXIT_QUALITY
8,BORDERLINE,5,2,0,3,BB,stage3:BB:f1bdfe7f8ad9,stage3,watch,f1bdfe7f8ad9,3.290903,2.791951,1.178711,2,rsi:1.750;ma_align:1.541,rsi,53.188,rsi+ma_align,100.000,46,1.483714,47.826,-9.024,12.120,1.343,-21.795,13,17,13,0,0,65.217,22,-1.750,45.455,12,5.647,50.000,-7.397,-4.545,12,3.249,50.000,FEW_INDICATORS|BAD_EXIT_QUALITY|TAIL_MAE
9,BORDERLINE,5,2,1,2,CDE,stage3:CDE:ceb9fe0512dc,stage3,A_core,ceb9fe0512dc,3.259063,2.707639,1.203655,2,bb:1.709;rsi:1.550,bb,52.427,bb+rsi,100.000,80,2.412705,45.000,-6.650,11.468,1.724,-13.971,28,38,0,12,0,82.500,37,3.861,54.054,16,1.140,25.000,2.721,29.054,27,1.183,44.444,FEW_INDICATORS
10,BORDERLINE,5,3,0,2,BOIL,stage3:BOIL:9044dc2c67a3,stage3,A_core,9044dc2c67a3,2.738598,2.183173,1.254412,2,bb:2.000;rsi:0.516,bb,79.491,bb+rsi,100.000,55,1.154632,67.273,-8.453,11.468,1.357,-26.747,15,3,13,0,23,32.727,24,-0.304,62.500,20,-2.464,60.000,2.160,2.500,11,10.916,90.909,FEW_INDICATORS|TAIL_MAE
11,BORDERLINE,4,3,0,1,BMA,stage3:BMA:0c978464f9dd,stage3,C_momentum,0c978464f9dd,19.245747,2.848392,6.756707,2,events:17.285;rsi:1.961,events,89.812,events+rsi,100.000,41,7.820990,65.854,-7.365,18.206,2.472,-20.796,7,13,0,20,0,48.780,19,8.005,73.684,10,14.204,70.000,-6.198,3.684,12,2.210,50.000,FEW_INDICATORS
