rank93,ticker,candidate_id,stage,bucket,rule_hash_short,live26,vol_group,volume_surge_ratio,weight_volume_surge,weight_bb_near_lower,core_ma_weight,core_macd_weight,core_rsi_weight,core_bb_weight,core_volume_weight,bb_share_core_technical_pct,volume_share_core_technical_pct,live_current_bb_share_pct,pattern_match,exit_n,exit_avg_pnl_pct,exit_win_rate_pct,exit_avg_mae_pct,exit_avg_mfe_pct,exit_min_pnl_pct,stop_loss_n,time_out_n,take_profit_n,trailing_n,breakeven_stop_n,vol_basis
1,CAPR,stage3:CAPR:a51d615a0ff1,stage3,A_core,a51d615a0ff1,True,HIGH_VOL,1.265993,1.314003,0.342772,1.122201,1.904303,0.907312,0.342772,1.314003,6.131232,23.503831,8.424823,False,94,1.793588,58.510638,-7.345816,10.510970,-38.935472,5,36,10,9,33,OOS avg_std20_ann=1.784; avg_atr14_pct=8.975; n=120
2,CDE,stage3:CDE:ceb9fe0512dc,stage3,A_core,ceb9fe0512dc,True,HIGH_VOL,1.713990,0.489840,1.708623,0.051632,0.206563,1.550441,1.708623,0.489840,42.639903,12.224303,52.426801,False,80,2.412705,45.000000,-6.650303,11.467966,-13.970599,28,38,0,12,0,OOS avg_std20_ann=0.710; avg_atr14_pct=6.527; n=160
3,BBIO,stage3:BBIO:82c4a7aa36a9,stage3,A_core,82c4a7aa36a9,False,HIGH_VOL,1.270986,1.752941,0.572772,0.333088,0.587443,2.000000,0.572772,1.752941,10.917757,33.413256,UNKNOWN,False,77,1.959374,53.246753,-6.701950,10.465387,-12.884476,11,7,2,54,0,OOS avg_std20_ann=0.480; avg_atr14_pct=4.543; n=132
4,CSIQ,stage3:CSIQ:030ce2015af8,stage3,A_core,030ce2015af8,False,MID_VOL,1.322075,0.000000,1.880461,0.696608,2.000000,0.196962,1.880461,0,39.389381,0.000000,UNKNOWN,False,77,0.400315,46.753247,-8.318118,8.750069,-25.121947,11,28,18,17,0,OOS avg_std20_ann=0.903; avg_atr14_pct=8.193; n=133
5,BOIL,stage3:BOIL:9044dc2c67a3,stage3,A_core,9044dc2c67a3,True,HIGH_VOL,2.500000,0.000000,2.000000,0.521340,0.977349,0.515996,2.000000,0,49.817110,0.000000,79.491381,True,55,1.154632,67.272727,-8.452663,11.468218,-26.746655,15,3,13,0,23,OOS avg_std20_ann=0.975; avg_atr14_pct=8.281; n=135
6,ANET,stage3:ANET:fe220620802b,stage3,A_core,fe220620802b,True,LOW_VOL,1.893866,0.253049,1.345112,1.314850,2.000000,1.710248,1.345112,0.253049,20.308922,3.820605,0.000000,False,81,1.857233,72.839506,-4.104022,7.217198,-13.000139,14,3,19,12,32,OOS avg_std20_ann=0.559; avg_atr14_pct=4.678; n=184
7,AMD,stage3:AMD:a01b055a1d13,stage3,A_core,a01b055a1d13,False,MID_VOL,1.200000,1.345090,0.000000,1.328499,0.636689,1.730555,0,1.345090,0.000000,26.683887,UNKNOWN,False,60,1.459316,63.333333,-5.005243,8.314846,-14.641321,14,2,0,44,0,OOS avg_std20_ann=0.650; avg_atr14_pct=5.229; n=80
8,FIX,stage2:FIX:cab7d458767d,stage2,A_core,cab7d458767d,True,LOW_VOL,1.405731,1.553510,1.991418,1.750512,0,1.682654,1.991418,1.553510,28.538137,22.262672,54.201936,False,105,3.797589,80.952381,-3.241616,7.935252,-9.516248,7,39,0,14,44,OOS avg_std20_ann=0.557; avg_atr14_pct=4.830; n=190
9,ALGT,stage2:ALGT:402f72d48c3c,stage2,A_core,402f72d48c3c,True,MID_VOL,1.506949,2.000000,1.661578,0.244985,0,0,1.661578,2.000000,42.532980,51.195897,0.000000,False,61,2.631303,70.491803,-3.635740,7.940558,-15.552525,2,4,4,35,15,OOS avg_std20_ann=0.555; avg_atr14_pct=5.246; n=57
10,CMC,stage2:CMC:4f6ee2739add,stage2,A_core,4f6ee2739add,True,MID_VOL,1.982730,2.000000,0.416080,1.165970,1.563366,1.049190,0.416080,2.000000,6.716806,32.286156,0.000000,False,81,2.642429,86.419753,-3.372579,5.707476,-11.499712,6,4,46,0,23,OOS avg_std20_ann=0.395; avg_atr14_pct=3.656; n=117
