path,entrypoint_category,direct_active_importer_count,direct_active_importers,literal_resources_referenced
api_server.py,,1,api_server_aftermarket.py,dashboard_home.html|scripts/run_live.py
api_server_aftermarket.py,dashboard_runtime,1,api_server_candidate_only.py,elite_shadow.html|elite_strategy_sim.html
api_server_candidate_only.py,dashboard_runtime,0,,
dashboard_home.html,,0,,
data/_system/ops/live_candidate_slots.py,live_candidate_generation,0,,data/_system/analysis/entry_quality_stops_regime_20260707/benchmark_SPY_regime.csv|data/_system/analysis/entry_quality_stops_regime_20260707/entry_filter_candidates.csv|data/_system/analysis/vol_perstock_mae_mfe_20260707/per_candidate_summary.csv|data/_system/live_candidate_list_20260707.json|data/_system/live_slots_events.jsonl|data/_system/live_slots_state.json|data/_system/ops|scripts/run_elite_strategy_sim.py
elite_shadow.html,,0,,
elite_strategy_sim.html,,0,,
engine/__init__.py,,0,,
engine/adapters/__init__.py,,0,,
engine/adapters/base.py,,5,engine/adapters/factory.py|engine/adapters/korean_etf.py|engine/adapters/korean_stock.py|engine/adapters/us_etf.py|engine/adapters/us_stock.py,engine/adapters
engine/adapters/factory.py,,6,engine/ai/ticker_resolver.py|engine/learning/learner.py|engine/live/broker/paper.py|engine/live/elite_shadow_trader.py|engine/pipeline/context.py|engine/strategies/learned_rulebook.py,
engine/adapters/korean_etf.py,,1,engine/adapters/factory.py,engine/adapters
engine/adapters/korean_stock.py,,1,engine/adapters/factory.py,engine/adapters
engine/adapters/us_etf.py,,3,engine/adapters/factory.py|engine/adapters/us_stock.py|engine/ai/ticker_resolver.py,
engine/adapters/us_stock.py,,1,engine/adapters/factory.py,
engine/ai/__init__.py,,0,,
engine/ai/assistant.py,,1,engine/live/telegram/bot.py,.env|data/_system/market_state.json|data/_system/positions.json|data/_system/trade_log.csv
engine/ai/ticker_resolver.py,,2,engine/ai/assistant.py|engine/live/telegram/bot.py,data/_system/ticker_map.json|engine/ai
engine/ai/training.py,,1,engine/live/telegram/bot.py,
engine/central/__init__.py,,0,,
engine/central/allocation_policy.py,,4,engine/central/backtester.py|engine/central/policy_search.py|engine/live/central_control.py|engine/live/scheduled_open_buy_queue.py,
engine/central/backtester.py,,3,engine/central/policy_search.py|engine/live/central_control.py|engine/live/scheduled_open_buy_queue.py,
engine/central/broker_port.py,,1,engine/central/ledger.py,
engine/central/entity_loader.py,,5,engine/central/backtester.py|engine/central/policy_search.py|engine/central/signal_collector.py|engine/central/stage2_survivor_loader.py|engine/live/central_control.py,
engine/central/ledger.py,,2,engine/central/__init__.py|engine/central/backtester.py,data/_system/central
engine/central/models.py,,7,engine/central/allocation_policy.py|engine/central/backtester.py|engine/central/broker_port.py|engine/central/ledger.py|engine/central/sim_broker.py|engine/live/central_control.py|engine/live/scheduled_open_buy_queue.py,
engine/central/policy_search.py,,1,engine/live/central_control.py,
engine/central/search_space.py,,1,engine/central/policy_search.py,
engine/central/signal_collector.py,,2,engine/central/backtester.py|engine/central/policy_search.py,data/_system/ml_sell_omen/sell_omen_scores_lr8d85.csv|data/_system/research
engine/central/sim_broker.py,,1,engine/central/backtester.py,
engine/central/stage2_survivor_loader.py,,1,engine/live/central_control.py,data/_system/ml_sell_omen/sell_omen_scores_lr8d85.csv
engine/core/__init__.py,,1,engine/live/broker/paper.py,
engine/core/config.py,,5,engine/core/logger.py|engine/learning/genetic.py|engine/live/broker/paper.py|engine/market/context.py|engine/storage/repository.py,.env|engine/core
engine/core/data_loader.py,,2,engine/adapters/base.py|engine/live/broker/paper.py,engine/core
engine/core/exit_policy.py,,4,engine/central/backtester.py|engine/live/exit_policy_adapter.py|engine/live/position_manager.py|engine/strategies/exit_simulator.py,
