path,path_kind,type,risk,size_bytes,size_human,file_count,recent_modified_utc,days_since_modified,reachable,reachable_from,reference_count,last_reference_trace,git_tracked,git_last_commit_date,git_last_commit,protected_reason,decision_reason
.pytest_cache,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,57527,56.18KiB,5,2026-07-07T12:57:16.558601+00:00,3.04,False,,0,none in active import/literal graph,False,,,,"interpreter/test cache only; top_suffixes={'[none]': 3, '.md': 1, '.tag': 1}"
__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,52693,51.46KiB,3,2026-07-09T17:31:23.485568+00:00,0.849,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 3}
api_server.py.bak.before_candidate_news_guard_20260629_113651,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,36896,36.03KiB,1,2026-06-29T11:36:52.000788+00:00,11.096,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
api_server.py.bak.before_dashboard_metrics_20260629_114728,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,37010,36.14KiB,1,2026-06-29T11:47:28.583649+00:00,11.088,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
api_server.py.bak.before_holding_early_exit_indicator_20260629_125912,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,39798,38.87KiB,1,2026-06-29T12:59:12.116950+00:00,11.038,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
api_server.py.bak.before_nextopen_buy_button_label_20260629_112634,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,36898,36.03KiB,1,2026-06-29T11:26:34.513893+00:00,11.103,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
api_server.py.bak.before_nextopen_candidate_dashboard_20260629_112332,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,31776,31.03KiB,1,2026-06-29T11:23:32.385219+00:00,11.105,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
api_server.py.bak.before_prepost_20260629_052130,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,31150,30.42KiB,1,2026-06-29T05:21:30.592092+00:00,11.356,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,55452,54.15KiB,1,2026-06-26T03:09:42.307083+00:00,14.448,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_all_charts_kst_20260629_052130,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,80387,78.50KiB,1,2026-06-29T05:21:30.589092+00:00,11.356,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_candidate_news_guard_20260629_113651,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,81171,79.27KiB,1,2026-06-29T11:36:52.003788+00:00,11.096,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_candle_20260626_034648,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,60319,58.91KiB,1,2026-06-26T03:46:48.592097+00:00,14.422,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_dashboard_metrics_20260629_114728,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,81755,79.84KiB,1,2026-06-29T11:47:28.585649+00:00,11.088,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_entry_markers_20260626_032825,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,56504,55.18KiB,1,2026-06-26T03:28:25.474072+00:00,14.435,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_frontend_20260628_125051,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,67699,66.11KiB,1,2026-06-26T14:56:23.822202+00:00,13.957,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_frontend_20260628_130927,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,67699,66.11KiB,1,2026-06-28T13:09:27.285453+00:00,12.031,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_holding_early_exit_indicator_20260629_125912,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,85944,83.93KiB,1,2026-06-29T12:59:12.118949+00:00,11.038,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_nextopen_candidate_dashboard_20260629_112332,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,80563,78.67KiB,1,2026-06-29T11:23:32.387219+00:00,11.105,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_nomarker_20260626_035446,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,61111,59.68KiB,1,2026-06-26T03:54:46.984240+00:00,14.416,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_scale_20260626_035020,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,60653,59.23KiB,1,2026-06-26T03:50:20.650717+00:00,14.42,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_sellomen_kst_20260629_012301,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,79870,78.00KiB,1,2026-06-29T01:23:01.735704+00:00,11.522,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
dashboard_home.html.bak.before_summary_20260626_034111,file,EXPLICIT_BACKUP_COPY,SAFE_TO_DELETE,57242,55.90KiB,1,2026-06-26T03:41:11.447701+00:00,14.426,False,,0,none in active import/literal graph,False,,,,filename explicitly marks superseded backup; canonical source remains
data/_system/.real_dashboard_buy_candidates.json.tmp.223994.20260709T161230Z,file,STALE_ATOMIC_TEMP,SAFE_TO_DELETE,82392,80.46KiB,1,2026-07-09T16:12:30.251037+00:00,0.904,False,,0,none in active import/literal graph,False,,,,atomic temp from non-running pid=223994; older than one hour
data/_system/.real_dashboard_buy_candidates.json.tmp.224108.20260709T161407Z,file,STALE_ATOMIC_TEMP,SAFE_TO_DELETE,93131,90.95KiB,1,2026-07-09T16:14:07.449863+00:00,0.903,False,,0,none in active import/literal graph,False,,,,atomic temp from non-running pid=224108; older than one hour
data/backups/manual_before_live_exit_activation_and_stop_guard_20260609T165055Z/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,16281,15.90KiB,1,2026-06-10T01:49:45.413628+00:00,30.503,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 1}
engine/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,136,136.00B,1,2026-06-16T06:04:42.045954+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 1}
engine/adapters/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,29736,29.04KiB,7,2026-06-16T06:04:42.765953+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 7}
engine/ai/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,37397,36.52KiB,3,2026-06-16T06:04:43.723951+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 3}
engine/central/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,184703,180.37KiB,15,2026-06-27T04:36:31.416120+00:00,13.388,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 15}
engine/core/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,48225,47.09KiB,8,2026-07-08T06:21:06.121247+00:00,2.315,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 8}
engine/learning/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,70745,69.09KiB,8,2026-06-16T06:50:03.651076+00:00,24.295,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 8}
engine/live/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,971513,948.74KiB,59,2026-07-10T09:47:42.748649+00:00,0.171,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 59}
engine/live/broker/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,65216,63.69KiB,7,2026-06-29T21:10:08.140262+00:00,10.697,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 7}
engine/live/safety/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,22731,22.20KiB,3,2026-06-26T13:46:27.152714+00:00,14.006,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 3}
engine/live/telegram/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,78919,77.07KiB,5,2026-06-22T11:17:36.439321+00:00,18.109,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 5}
engine/market/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,47370,46.26KiB,4,2026-06-22T12:30:45.241483+00:00,18.058,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 4}
engine/pipeline/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,103265,100.84KiB,11,2026-06-16T06:04:43.665951+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 11}
engine/portfolio/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,99414,97.08KiB,5,2026-06-16T06:04:43.246952+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 5}
engine/strategies/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,50592,49.41KiB,7,2026-06-16T06:04:43.473952+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 7}
scripts/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,92531,90.36KiB,11,2026-07-09T17:00:07.267925+00:00,0.871,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 11}
scripts/live/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,56040,54.73KiB,4,2026-06-26T05:51:52.941654+00:00,14.335,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 4}
scripts/pipeline/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,88038,85.97KiB,5,2026-06-16T06:04:43.576952+00:00,24.326,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 5}
scripts/research/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,592397,578.51KiB,39,2026-07-08T23:13:40.599455+00:00,1.612,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 39}
tests/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,816140,797.01KiB,95,2026-07-07T12:57:10.946611+00:00,3.04,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 95}
tests/central/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,SAFE_TO_DELETE,203121,198.36KiB,15,2026-06-24T07:34:09.393970+00:00,16.264,False,,0,none in active import/literal graph,False,,,,interpreter/test cache only; top_suffixes={'.pyc': 15}
WORKLOG.md,file,DOCUMENTATION_OR_NOTE,REVIEW,1181,1.15KiB,1,2026-06-27T21:10:09.299446+00:00,12.697,False,,0,none in active import/literal graph,True,2026-06-27T21:10:13+00:00,137f79d,,documentation/history value requires review
backup,directory,BACKUP_ARCHIVE_DIRECTORY,REVIEW,75940030,72.42MiB,4684,2026-07-09T18:27:06.245588+00:00,0.811,False,,0,none in active import/literal graph,False,,,,"recovery value cannot be determined automatically; top_suffixes={'.json': 2331, '.log': 2271, '.py': 24, '.gz': 23, '.csv': 17, '.pid': 8, '.html': 4, '.txt': 2}"
config/policy.yaml,file,UNREACHED_FILE,REVIEW,2701,2.64KiB,1,2026-06-30T13:56:13.151214+00:00,9.999,False,,0,none in active import/literal graph,True,2026-06-30T13:56:47+00:00,afc72b1,,not reachable from confirmed entrypoints; manual review required
cw_stage3_qualify_launcher.log,file,LOG_ARTIFACT,REVIEW,20927,20.44KiB,1,2026-06-13T13:29:30.374321+00:00,27.017,False,,0,none in active import/literal graph,False,,,,generated log not referenced by active path; retention policy required
dashboard.html,file,EXACT_DUPLICATE_REVIEW,REVIEW,793,793.00B,1,2026-06-28T10:06:24.524105+00:00,12.158,False,,0,none in active import/literal graph,True,2026-06-28T10:06:58+00:00,7a77d64,,"not reachable from confirmed entrypoints; manual review required; exact-content duplicates=['dashboard.html', 'dashboard_live.html']"
dashboard_live.html,file,EXACT_DUPLICATE_REVIEW,REVIEW,793,793.00B,1,2026-06-28T10:06:18.959115+00:00,12.158,False,,0,none in active import/literal graph,True,2026-06-28T10:06:58+00:00,7a77d64,,"not reachable from confirmed entrypoints; manual review required; exact-content duplicates=['dashboard.html', 'dashboard_live.html']"
data/_system/backups,directory,SYSTEM_DATA_DIRECTORY,REVIEW,1812650,1.73MiB,230,2026-06-22T13:32:27.096861+00:00,18.015,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.json': 220, '.csv': 6, '.yaml': 2, '.bak_before_learn': 2}"
data/_system/broker_snapshot_20260625.txt,file,UNREACHED_FILE,REVIEW,2734,2.67KiB,1,2026-06-25T01:38:48.577475+00:00,15.511,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/bulk_diagnostic,directory,SYSTEM_DATA_DIRECTORY,REVIEW,10518633,10.03MiB,2378,2026-06-03T17:52:18.435896+00:00,36.835,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.log': 1188, '.json': 1181, '.csv': 7, '.pid': 1, '.txt': 1}"
data/_system/bulk_worker_NVDA_cutoff.pid,file,LOCK_OR_PID_ARTIFACT,REVIEW,7,7.00B,1,2026-06-02T13:03:16.322427+00:00,38.036,False,,0,none in active import/literal graph,False,,,,"may be stale, but deletion can affect process coordination"
data/_system/calendars,directory,SYSTEM_DATA_DIRECTORY,REVIEW,235172,229.66KiB,1,2026-07-06T13:30:26.476782+00:00,4.017,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.json': 1}
data/_system/central_buy_candidates.json,file,UNREACHED_FILE,REVIEW,12081,11.80KiB,1,2026-07-09T18:47:55.112348+00:00,0.796,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/central_buy_candidates.json.bak.before_nextopen_dashboard_mirror_20260629_112036,file,OPERATIONAL_STATE_BACKUP,REVIEW,5280,5.16KiB,1,2026-06-29T11:20:36.666533+00:00,11.107,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/clean_spread_trainonly,directory,SYSTEM_DATA_DIRECTORY,REVIEW,462223,451.39KiB,17,2026-06-01T19:58:03.905263+00:00,38.748,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.log': 8, '.json': 6, '.txt': 2, '.pid': 1}"
data/_system/code_backups,directory,SYSTEM_DATA_DIRECTORY,REVIEW,488713,477.26KiB,11,2026-06-26T14:56:14.944218+00:00,13.957,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.bak': 10, '.py': 1}"
data/_system/comparison_069500.pkl,file,UNREACHED_FILE,REVIEW,255711,249.72KiB,1,2026-05-26T13:46:32.315022+00:00,45.006,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/condition_db,directory,SYSTEM_DATA_DIRECTORY,REVIEW,3511522,3.35MiB,6,2026-05-31T10:48:19.319783+00:00,40.129,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.csv': 6}
data/_system/condition_db_sell_omen_clean,directory,SYSTEM_DATA_DIRECTORY,REVIEW,129892573,123.88MiB,183,2026-06-08T22:35:39.163845+00:00,31.638,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.csv': 183}
data/_system/condition_db_sell_omen_lr8d85,directory,SYSTEM_DATA_DIRECTORY,REVIEW,63017369,60.10MiB,85,2026-06-09T15:01:55.986199+00:00,30.953,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.csv': 85}
data/_system/diagnostic_notifier.pid,file,LOCK_OR_PID_ARTIFACT,REVIEW,7,7.00B,1,2026-06-03T12:03:55.967539+00:00,37.077,False,,0,none in active import/literal graph,False,,,,"may be stale, but deletion can affect process coordination"
data/_system/download_progress.json,file,UNREACHED_FILE,REVIEW,72437,70.74KiB,1,2026-05-31T19:36:29.111592+00:00,39.763,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/equity_snapshots.csv,file,UNREACHED_FILE,REVIEW,2635,2.57KiB,1,2026-07-07T21:15:00.677952+00:00,2.694,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/full_screening.pid,file,LOCK_OR_PID_ARTIFACT,REVIEW,7,7.00B,1,2026-06-02T19:25:24.824879+00:00,37.77,False,,0,none in active import/literal graph,False,,,,"may be stale, but deletion can affect process coordination"
data/_system/full_screening_status.json,file,UNREACHED_FILE,REVIEW,5129,5.01KiB,1,2026-06-02T21:32:25.099711+00:00,37.682,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_dump_backup_before_trainonly_20260601_190125,directory,SYSTEM_DATA_DIRECTORY,REVIEW,397782,388.46KiB,6,2026-06-01T19:01:25.334459+00:00,38.787,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.json': 6}
data/_system/ga_population_dump_AAPL.json,file,UNREACHED_FILE,REVIEW,66526,64.97KiB,1,2026-06-01T21:12:43.564050+00:00,38.696,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_BA.json,file,UNREACHED_FILE,REVIEW,66245,64.69KiB,1,2026-06-01T13:14:10.579045+00:00,39.028,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_INTC.json,file,UNREACHED_FILE,REVIEW,65995,64.45KiB,1,2026-06-01T13:15:46.352954+00:00,39.027,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_JPM.json,file,UNREACHED_FILE,REVIEW,66964,65.39KiB,1,2026-06-01T21:10:02.597202+00:00,38.698,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_KO.json,file,UNREACHED_FILE,REVIEW,67179,65.60KiB,1,2026-06-01T21:08:53.495266+00:00,38.698,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_MSFT.json,file,UNREACHED_FILE,REVIEW,67321,65.74KiB,1,2026-06-01T21:09:48.727215+00:00,38.698,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_NVDA.json,file,UNREACHED_FILE,REVIEW,65995,64.45KiB,1,2026-06-01T21:12:02.000089+00:00,38.696,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/ga_population_dump_XOM.json,file,UNREACHED_FILE,REVIEW,67199,65.62KiB,1,2026-06-01T21:08:23.445295+00:00,38.699,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/holding_news_sentiment_cache.json,file,UNREACHED_FILE,REVIEW,68233,66.63KiB,1,2026-07-08T16:49:46.328726+00:00,1.878,False,,0,none in active import/literal graph,True,2026-07-08T17:22:35+00:00,69dde40,,not reachable from confirmed entrypoints; manual review required
data/_system/holding_news_translation_cache.json,file,UNREACHED_FILE,REVIEW,77876,76.05KiB,1,2026-07-08T16:49:46.322726+00:00,1.878,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/kis_token.json,file,UNREACHED_FILE,REVIEW,476,476.00B,1,2026-05-26T13:39:27.586812+00:00,45.01,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/liquidation_snapshots,directory,SYSTEM_DATA_DIRECTORY,REVIEW,350921,342.70KiB,1,2026-06-24T05:47:29.041437+00:00,16.338,False,,0,none in active import/literal graph,False,,,,dynamic filename access may exist; manual review required; top_suffixes={'.json': 1}
data/_system/live_universe_lr8d_stage1_manifest.json,file,UNREACHED_FILE,REVIEW,8618,8.42KiB,1,2026-06-09T13:42:04.908708+00:00,31.009,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/llm_news_cache.json.before_migrate,file,OPERATIONAL_STATE_BACKUP,REVIEW,487489,476.06KiB,1,2026-05-26T16:34:11.729696+00:00,44.889,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/logs,directory,SYSTEM_DATA_DIRECTORY,REVIEW,61554242,58.70MiB,8,2026-06-24T02:17:54.385941+00:00,16.484,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.log': 5, '.pid': 3}"
data/_system/manual_buy_intent.json,file,UNREACHED_FILE,REVIEW,3939,3.85KiB,1,2026-06-26T14:32:46.829738+00:00,13.973,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/manual_sell_intent.json,file,UNREACHED_FILE,REVIEW,1953,1.91KiB,1,2026-07-08T14:10:43.405803+00:00,1.989,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/manual_sell_intent.json.bak.before_btest_20260626,file,OPERATIONAL_STATE_BACKUP,REVIEW,1522,1.49KiB,1,2026-06-26T02:32:38.390064+00:00,14.474,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/manual_sell_intent.json.bak.before_dds_recovery_20260626_025840,file,OPERATIONAL_STATE_BACKUP,REVIEW,1522,1.49KiB,1,2026-06-26T02:58:40.537267+00:00,14.455,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/market_history.csv,file,UNREACHED_FILE,REVIEW,276662,270.18KiB,1,2026-07-10T12:55:25.476488+00:00,0.041,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/market_history.csv.before_6y,file,OPERATIONAL_STATE_BACKUP,REVIEW,78821,76.97KiB,1,2026-05-26T16:38:47.764179+00:00,44.886,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/market_history_v2.csv,file,UNREACHED_FILE,REVIEW,270987,264.64KiB,1,2026-06-07T02:17:16.887764+00:00,33.484,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/market_history_v2.csv.bak,file,OPERATIONAL_STATE_BACKUP,REVIEW,62914,61.44KiB,1,2026-05-28T09:01:57.256609+00:00,43.203,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/market_history_v2.csv.before_expand,file,OPERATIONAL_STATE_BACKUP,REVIEW,50550,49.37KiB,1,2026-05-26T16:04:29.353149+00:00,44.91,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/market_history_v2.csv.before_expanded_has,file,OPERATIONAL_STATE_BACKUP,REVIEW,53799,52.54KiB,1,2026-05-26T16:34:11.857708+00:00,44.889,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/market_history_v2.csv.old,file,UNREACHED_FILE,REVIEW,62914,61.44KiB,1,2026-05-26T16:34:53.666568+00:00,44.889,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/market_state.json.bak_event_decay_20260612_171945,file,OPERATIONAL_STATE_BACKUP,REVIEW,2145,2.09KiB,1,2026-06-12T17:19:45.054309+00:00,27.857,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/ml_sell_omen,directory,SYSTEM_DATA_DIRECTORY,REVIEW,13265848,12.65MiB,9,2026-06-22T07:37:50.778940+00:00,18.262,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.json': 4, '.csv': 3, '.joblib': 1, '.log': 1}"
data/_system/news_alert_state.json,file,UNREACHED_FILE,REVIEW,750,750.00B,1,2026-06-26T14:30:33.372977+00:00,13.975,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/paper_state.before_reset_20260602_102348.json,file,OPERATIONAL_STATE_BACKUP,REVIEW,1424,1.39KiB,1,2026-06-02T10:24:21.329384+00:00,38.146,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/paper_state.json,file,UNREACHED_FILE,REVIEW,102,102.00B,1,2026-06-02T10:24:24.731381+00:00,38.146,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/pending_orders.json.bak.20260625,file,OPERATIONAL_STATE_BACKUP,REVIEW,3695,3.61KiB,1,2026-06-25T01:38:37.104496+00:00,15.511,False,,0,none in active import/literal graph,False,,,,"superseded runtime-state backup, but recovery value requires human review"
data/_system/per_ticker_news_cache.json,file,UNREACHED_FILE,REVIEW,35899,35.06KiB,1,2026-06-09T14:06:43.992317+00:00,30.992,False,,0,none in active import/literal graph,False,,,,not reachable from confirmed entrypoints; manual review required
data/_system/pipeline,directory,SYSTEM_DATA_DIRECTORY,REVIEW,82632425,78.80MiB,4155,2026-06-05T12:01:46.846212+00:00,35.078,False,,0,none in active import/literal graph,False,,,,"dynamic filename access may exist; manual review required; top_suffixes={'.json': 3938, '.jsonl': 207, '.txt': 10}"
