path,path_kind,type,file_count,size_bytes,size_human,status
.pytest_cache,directory,REGENERABLE_CACHE_DIRECTORY,5,57527,56.18KiB,DELETED
__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,3,52693,51.46KiB,DELETED
api_server.py.bak.before_candidate_news_guard_20260629_113651,file,EXPLICIT_BACKUP_COPY,1,36896,36.03KiB,DELETED
api_server.py.bak.before_dashboard_metrics_20260629_114728,file,EXPLICIT_BACKUP_COPY,1,37010,36.14KiB,DELETED
api_server.py.bak.before_holding_early_exit_indicator_20260629_125912,file,EXPLICIT_BACKUP_COPY,1,39798,38.87KiB,DELETED
api_server.py.bak.before_nextopen_buy_button_label_20260629_112634,file,EXPLICIT_BACKUP_COPY,1,36898,36.03KiB,DELETED
api_server.py.bak.before_nextopen_candidate_dashboard_20260629_112332,file,EXPLICIT_BACKUP_COPY,1,31776,31.03KiB,DELETED
api_server.py.bak.before_prepost_20260629_052130,file,EXPLICIT_BACKUP_COPY,1,31150,30.42KiB,DELETED
dashboard_home.html.bak,file,EXPLICIT_BACKUP_COPY,1,55452,54.15KiB,DELETED
dashboard_home.html.bak.before_all_charts_kst_20260629_052130,file,EXPLICIT_BACKUP_COPY,1,80387,78.50KiB,DELETED
dashboard_home.html.bak.before_candidate_news_guard_20260629_113651,file,EXPLICIT_BACKUP_COPY,1,81171,79.27KiB,DELETED
dashboard_home.html.bak.before_candle_20260626_034648,file,EXPLICIT_BACKUP_COPY,1,60319,58.91KiB,DELETED
dashboard_home.html.bak.before_dashboard_metrics_20260629_114728,file,EXPLICIT_BACKUP_COPY,1,81755,79.84KiB,DELETED
dashboard_home.html.bak.before_entry_markers_20260626_032825,file,EXPLICIT_BACKUP_COPY,1,56504,55.18KiB,DELETED
dashboard_home.html.bak.before_frontend_20260628_125051,file,EXPLICIT_BACKUP_COPY,1,67699,66.11KiB,DELETED
dashboard_home.html.bak.before_frontend_20260628_130927,file,EXPLICIT_BACKUP_COPY,1,67699,66.11KiB,DELETED
dashboard_home.html.bak.before_holding_early_exit_indicator_20260629_125912,file,EXPLICIT_BACKUP_COPY,1,85944,83.93KiB,DELETED
dashboard_home.html.bak.before_nextopen_candidate_dashboard_20260629_112332,file,EXPLICIT_BACKUP_COPY,1,80563,78.67KiB,DELETED
dashboard_home.html.bak.before_nomarker_20260626_035446,file,EXPLICIT_BACKUP_COPY,1,61111,59.68KiB,DELETED
dashboard_home.html.bak.before_scale_20260626_035020,file,EXPLICIT_BACKUP_COPY,1,60653,59.23KiB,DELETED
dashboard_home.html.bak.before_sellomen_kst_20260629_012301,file,EXPLICIT_BACKUP_COPY,1,79870,78.00KiB,DELETED
dashboard_home.html.bak.before_summary_20260626_034111,file,EXPLICIT_BACKUP_COPY,1,57242,55.90KiB,DELETED
data/_system/.real_dashboard_buy_candidates.json.tmp.223994.20260709T161230Z,file,STALE_ATOMIC_TEMP,1,82392,80.46KiB,DELETED
data/_system/.real_dashboard_buy_candidates.json.tmp.224108.20260709T161407Z,file,STALE_ATOMIC_TEMP,1,93131,90.95KiB,DELETED
data/backups/manual_before_live_exit_activation_and_stop_guard_20260609T165055Z/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,1,16281,15.90KiB,DELETED
engine/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,1,136,136B,DELETED
engine/adapters/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,7,29736,29.04KiB,DELETED
engine/ai/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,3,37397,36.52KiB,DELETED
engine/central/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,15,184703,180.37KiB,DELETED
engine/core/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,8,48225,47.09KiB,DELETED
engine/learning/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,8,70745,69.09KiB,DELETED
engine/live/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,59,971513,948.74KiB,DELETED
engine/live/broker/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,7,65216,63.69KiB,DELETED
engine/live/safety/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,3,22731,22.20KiB,DELETED
engine/live/telegram/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,5,78919,77.07KiB,DELETED
engine/market/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,4,47370,46.26KiB,DELETED
engine/pipeline/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,11,103265,100.84KiB,DELETED
engine/portfolio/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,5,99414,97.08KiB,DELETED
engine/strategies/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,7,50592,49.41KiB,DELETED
scripts/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,11,92531,90.36KiB,DELETED
scripts/live/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,4,56040,54.73KiB,DELETED
scripts/pipeline/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,5,88038,85.97KiB,DELETED
scripts/research/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,39,592397,578.51KiB,DELETED
tests/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,95,816140,797.01KiB,DELETED
tests/central/__pycache__,directory,REGENERABLE_CACHE_DIRECTORY,15,203121,198.36KiB,DELETED
