check,status,expected,actual,evidence
csv_delete_ok_rows,PASS,1082,1082,"operational_unused_second_pass.csv safety_verdict=DELETE_OK"
csv_represented_files,PASS,3507,3507,"preflight expanded manifest"
csv_bytes,PASS,1795116467,1795116467,"actual filesystem bytes matched source CSV"
skipped_intersections,PASS,0,0,"no protected/live/open/PARTIAL/KEEP overlap"
deleted_rows,PASS,1082,1082,"all target rows removed"
deleted_files,PASS,3507,3507,"second_pass_delete_expanded_manifest.csv"
deleted_bytes,PASS,1795116467,1795116467,"1.672 GiB"
git_tracked_deletions,PASS,121,121,"git diff --diff-filter=D"
live_dependency_files_exist,PASS,148,148,"live_dependency_tree.csv post-delete check"
python_entrypoint_imports,PASS,11,11,"Stage2 Stage3 candidate generation execution API scheduled and live slots"
stage3_dynamic_body,PASS,1,1,"dynamic body exists and wrapper exposes main"
shell_guard_syntax,PASS,2,2,"dashboard_guard.sh and live_candidate_slots_guard.sh bash -n"
ml_sell_omen_directory,PASS,1,1,"data/_system/ml_sell_omen preserved"
ml_sell_omen_code_references,PASS,3,3,"context.py signal_collector.py stage2_survivor_loader.py"
active_logs_preserved,PASS,3,3,"data/logs/kingmaker.log error.log trades.log"
partial_keep_file_missing,PASS,0,0,"all file rows labelled PARTIAL or KEEP still exist"
remaining_delete_files,PASS,0,0,"all expanded DELETE_OK file paths absent"
