path,path_kind,second_pass_type,csv_file_count,actual_file_count,csv_size_bytes,actual_size_bytes,last_modified_kst,preflight_status,skip_reason,skip_details
cw_stage3_qualify_launcher.log,file,ROTATED_OR_FINISHED_LOG,1,1,20927,20927,2026-06-13T22:29:30.374321+09:00,DELETE,,
data/_system/bulk_diagnostic,directory,TERMINATED_EXPERIMENT_DATA,2378,2378,10518633,10518633,2026-06-04T02:52:18.435896+09:00,DELETE,,
data/_system/bulk_worker_NVDA_cutoff.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-02T22:03:16.322427+09:00,DELETE,,
data/_system/clean_spread_trainonly,directory,TERMINATED_EXPERIMENT_DATA,17,17,462223,462223,2026-06-02T04:58:03.905263+09:00,DELETE,,
data/_system/condition_db,directory,TERMINATED_EXPERIMENT_DATA,6,6,3511522,3511522,2026-05-31T19:48:19.319783+09:00,DELETE,,
data/_system/diagnostic_notifier.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T21:03:55.967539+09:00,DELETE,,
data/_system/full_screening.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T04:25:24.824879+09:00,DELETE,,
data/_system/swing_trainonly,directory,TERMINATED_EXPERIMENT_DATA,23,23,856364,856364,2026-06-02T06:12:59.880035+09:00,DELETE,,
data/_system/ticker_sentiment_update_batch1.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-02T23:59:10.742896+09:00,DELETE,,
data/_system/true_wf_logs,directory,TERMINATED_EXPERIMENT_DATA,6,6,75699,75699,2026-06-02T03:10:23.062337+09:00,DELETE,,
data/_system/true_wf_member_GE.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T21:32:11.879943+09:00,DELETE,,
data/_system/true_wf_member_contrast.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T22:23:57.703024+09:00,DELETE,,
data/_system/true_wf_pos_rest8_BLK.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:43.775178+09:00,DELETE,,
data/_system/true_wf_pos_rest8_CSCO.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:07.069213+09:00,DELETE,,
data/_system/true_wf_pos_rest8_F.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:23.256197+09:00,DELETE,,
data/_system/true_wf_pos_rest8_GM.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:28.786192+09:00,DELETE,,
data/_system/true_wf_pos_rest8_GS.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:16.113204+09:00,DELETE,,
data/_system/true_wf_pos_rest8_MAR.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:48.344174+09:00,DELETE,,
data/_system/true_wf_pos_rest8_T.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:37.755184+09:00,DELETE,,
data/_system/true_wf_pos_rest8_WFC.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:33:00.016219+09:00,DELETE,,
data/_system/true_wf_pos_rest8_notify.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:35:54.626055+09:00,DELETE,,
data/_system/true_wf_pos_top8_C.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:22.612496+09:00,DELETE,,
data/_system/true_wf_pos_top8_DAL.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:11:02.042459+09:00,DELETE,,
data/_system/true_wf_pos_top8_GE.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:55.598465+09:00,DELETE,,
data/_system/true_wf_pos_top8_INTC.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:06.177511+09:00,DELETE,,
data/_system/true_wf_pos_top8_JPM.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:11:15.621446+09:00,DELETE,,
data/_system/true_wf_pos_top8_MS.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:41.225478+09:00,DELETE,,
data/_system/true_wf_pos_top8_TSLA.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:14.695503+09:00,DELETE,,
data/_system/true_wf_pos_top8_WMT.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:10:48.431471+09:00,DELETE,,
data/_system/true_wf_pos_top8_notify.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:26:31.528584+09:00,DELETE,,
data/_system/true_wf_rescued_AMD.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:03:57.311473+09:00,DELETE,,
data/_system/true_wf_rescued_BA.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:38.255281+09:00,DELETE,,
data/_system/true_wf_rescued_BX.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:54.264266+09:00,DELETE,,
data/_system/true_wf_rescued_COP.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:30.335289+09:00,DELETE,,
data/_system/true_wf_rescued_KHC.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:04:01.923469+09:00,DELETE,,
data/_system/true_wf_rescued_LMT.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:46.229274+09:00,DELETE,,
data/_system/true_wf_rescued_MCD.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:04:08.926462+09:00,DELETE,,
data/_system/true_wf_rescued_MRK.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:41.910278+09:00,DELETE,,
data/_system/true_wf_rescued_MSFT.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:50.005270+09:00,DELETE,,
data/_system/true_wf_rescued_NVDA.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:25.842293+09:00,DELETE,,
data/_system/true_wf_rescued_XOM.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:49:34.506284+09:00,DELETE,,
data/_system/true_wf_rescued_notify.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T02:51:14.458190+09:00,DELETE,,
data/_system/true_wf_rescued_rest3_notify.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:05:05.072410+09:00,DELETE,,
data/_system/true_wf_swing_JPM_AAPL.pid,file,STALE_LOCK_OR_PID,1,1,6,6,2026-06-02T19:32:26.742927+09:00,DELETE,,
data/_system/true_wf_swing_NVDA_MSFT_KO_XOM.pid,file,STALE_LOCK_OR_PID,1,1,6,6,2026-06-02T19:49:22.754972+09:00,DELETE,,
data/_system/true_wf_uncertain_AAPL.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:34:47.315734+09:00,DELETE,,
data/_system/true_wf_uncertain_AMZN.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:27.490768+09:00,DELETE,,
data/_system/true_wf_uncertain_BAC.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:15:55.960798+09:00,DELETE,,
data/_system/true_wf_uncertain_BMY.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:23.326772+09:00,DELETE,,
data/_system/true_wf_uncertain_CMCSA.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:35:00.098722+09:00,DELETE,,
data/_system/true_wf_uncertain_CRM.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:35:12.370711+09:00,DELETE,,
data/_system/true_wf_uncertain_CVX.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:34:52.861729+09:00,DELETE,,
data/_system/true_wf_uncertain_DIS.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:35:20.524703+09:00,DELETE,,
data/_system/true_wf_uncertain_GOOG.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:34:39.992741+09:00,DELETE,,
data/_system/true_wf_uncertain_GOOGL.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:10.938783+09:00,DELETE,,
data/_system/true_wf_uncertain_IBM.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:02.803791+09:00,DELETE,,
data/_system/true_wf_uncertain_KO.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:35:06.926716+09:00,DELETE,,
data/_system/true_wf_uncertain_LLY.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:15.978779+09:00,DELETE,,
data/_system/true_wf_uncertain_META.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:30.865765+09:00,DELETE,,
data/_system/true_wf_uncertain_NFLX.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:16:19.121776+09:00,DELETE,,
data/_system/true_wf_uncertain_PFE.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:35:26.577697+09:00,DELETE,,
data/_system/true_wf_uncertain_bottom8_notify.pid,file,STALE_LOCK_OR_PID,1,1,7,7,2026-06-03T03:36:37.860630+09:00,DELETE,,
data/logs/error.2026-05-24_23-56-58_958135.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,246,246,2026-05-27T01:27:42.635775+09:00,DELETE,,
data/logs/kingmaker.2026-06-10_00-58-40_077074.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,6927,6927,2026-06-11T09:00:02.202612+09:00,DELETE,,
data/logs/kingmaker.2026-06-11_00-00-02_221234.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,22149,22149,2026-06-11T09:58:39.556305+09:00,DELETE,,
data/logs/kingmaker.2026-06-11_00-58-39_561750.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,74658,74658,2026-06-12T09:00:06.459380+09:00,DELETE,,
data/logs/kingmaker.2026-06-12_00-00-06_472726.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,10814,10814,2026-06-12T09:58:39.661077+09:00,DELETE,,
data/logs/kingmaker.2026-06-12_00-58-39_693660.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,20949,20949,2026-06-13T09:10:34.810183+09:00,DELETE,,
data/logs/kingmaker.2026-06-13_00-10-34_813706.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,2259,2259,2026-06-13T09:21:23.266021+09:00,DELETE,,
data/logs/kingmaker.2026-06-13_00-21-23_270682.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,20574,20574,2026-06-14T09:06:16.647868+09:00,DELETE,,
data/logs/kingmaker.2026-06-14_00-06-16_651351.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,555,555,2026-06-14T09:21:23.160244+09:00,DELETE,,
data/logs/kingmaker.2026-06-14_00-21-23_165558.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,8557,8557,2026-06-15T09:21:23.409556+09:00,DELETE,,
data/logs/kingmaker.2026-06-15_00-21-23_436718.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,36175,36175,2026-06-16T09:00:09.649156+09:00,DELETE,,
data/logs/kingmaker.2026-06-16_00-00-14_402702.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,2057,2057,2026-06-16T09:21:23.168876+09:00,DELETE,,
data/logs/kingmaker.2026-06-16_00-21-23_170016.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,313368,313368,2026-06-17T09:00:49.087385+09:00,DELETE,,
data/logs/kingmaker.2026-06-17_00-00-16_184444.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,277,277,2026-06-17T09:00:16.690444+09:00,DELETE,,
data/logs/kingmaker.2026-06-17_00-00-18_143891.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,298,298,2026-06-17T09:00:18.547440+09:00,DELETE,,
data/logs/kingmaker.2026-06-17_00-00-55_934407.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,5342,5342,2026-06-17T09:21:23.258175+09:00,DELETE,,
data/logs/kingmaker.2026-06-17_00-21-23_261793.log.zip,file,ROTATED_OR_FINISHED_LOG,1,1,464747,464747,2026-06-18T09:00:21.758776+09:00,DELETE,,
