split,effective_indicator_count,negligible_share_cutoff,n,candidate_n,avg_pnl_pct,median_pnl_pct,win_rate_pct,avg_mae_pct,avg_mfe_pct,avg_top1_final_share,avg_top2_final_share,avg_core_final_share,exit_distribution
IS,0,0.00000000,549,38,1.63696607,0.94189908,54.64480874,-7.16426016,11.23868384,0.00000000,0.00000000,0.00000000,"{""breakeven_stop"": 73, ""stop_loss"": 49, ""take_profit"": 53, ""time_out"": 163, ""trailing"": 211}"
IS,1,0.00000000,7369,88,1.74976894,1.76448333,57.41620301,-6.75303614,9.70819137,0.53945371,0.53945371,0.53945371,"{""breakeven_stop"": 1286, ""stop_loss"": 924, ""take_profit"": 604, ""time_out"": 2831, ""trailing"": 1724}"
IS,2,0.00000000,17581,93,0.94220902,1.00999612,54.08111029,-6.42614354,8.44757577,0.54763983,0.87205633,0.87205633,"{""breakeven_stop"": 2709, ""sell_omen"": 6, ""stop_loss"": 2890, ""take_profit"": 1561, ""time_out"": 7085, ""trailing"": 3330}"
IS,3,0.00000000,5108,87,0.40815240,0.05148572,50.21534847,-5.97598500,7.04000190,0.46974291,0.76946405,0.94347025,"{""breakeven_stop"": 584, ""sell_omen"": 1, ""stop_loss"": 924, ""take_profit"": 399, ""time_out"": 2255, ""trailing"": 945}"
IS,4,0.00000000,438,56,0.53470794,0.23275087,50.45662100,-5.66130331,6.62859642,0.40851059,0.68462760,0.97740487,"{""breakeven_stop"": 35, ""sell_omen"": 1, ""stop_loss"": 94, ""take_profit"": 47, ""time_out"": 178, ""trailing"": 83}"
IS,5,0.00000000,12,10,-0.08283941,-2.68384050,33.33333333,-5.62165870,5.10926496,0.37789689,0.63715956,1.05398113,"{""breakeven_stop"": 2, ""stop_loss"": 6, ""take_profit"": 1, ""time_out"": 2, ""trailing"": 1}"
OOS,0,0.00000000,314,37,3.70611549,3.06836559,64.01273885,-6.19980511,12.00826415,0.00000000,0.00000000,0.00000000,"{""breakeven_stop"": 51, ""sell_omen"": 1, ""stop_loss"": 27, ""take_profit"": 19, ""time_out"": 112, ""trailing"": 104}"
OOS,1,0.00000000,4010,92,3.76483077,2.93860713,62.16957606,-6.48643065,11.44319004,0.45715162,0.45715162,0.45715162,"{""breakeven_stop"": 674, ""sell_omen"": 17, ""stop_loss"": 365, ""take_profit"": 404, ""time_out"": 1644, ""trailing"": 906}"
OOS,2,0.00000000,6560,93,2.86743932,2.55404426,61.14329268,-6.40762449,10.32264381,0.48990248,0.77999321,0.77999321,"{""breakeven_stop"": 1182, ""sell_omen"": 41, ""stop_loss"": 895, ""take_profit"": 793, ""time_out"": 2378, ""trailing"": 1271}"
OOS,3,0.00000000,1816,87,2.36242383,2.03426289,59.58149780,-6.01188497,9.16630404,0.44366517,0.73026544,0.89146998,"{""breakeven_stop"": 272, ""sell_omen"": 8, ""stop_loss"": 260, ""take_profit"": 202, ""time_out"": 649, ""trailing"": 425}"
OOS,4,0.00000000,210,47,3.35545887,2.66016448,63.80952381,-5.75388272,9.52909373,0.39638220,0.66226449,0.94918238,"{""breakeven_stop"": 28, ""sell_omen"": 1, ""stop_loss"": 32, ""take_profit"": 24, ""time_out"": 67, ""trailing"": 58}"
OOS,5,0.00000000,5,4,-6.80244634,-6.47932301,20.00000000,-11.55363751,0.91574629,0.31417840,0.56508583,0.90006418,"{""breakeven_stop"": 1, ""stop_loss"": 3, ""time_out"": 1}"
