candidate_id,stage,ticker,rulebook_hash,source_file,source_row_index,signal_threshold,weight_ma_align,weight_macd_golden,weight_rsi_zone,weight_bb_near_lower,weight_volume_surge,core_weight_sum,positive_core_weight_count,use_market_entry_adjustment,market_adjustment_strength,market_multiplier_neutral,market_multiplier_cap,noncore_additive_assumption,neutral_min_indicator_count,neutral_min_subset,neutral_subset_raw_score,neutral_subset_final_score,neutral_threshold_margin,neutral_status,neutral_n1,neutral_n2_or_less,market_cap_min_indicator_count,market_cap_min_subset,market_cap_subset_raw_score,market_cap_subset_final_score,market_cap_threshold_margin,market_cap_status,market_cap_n1,market_cap_n2_or_less,neutral_nonvolume_min_count,neutral_nonvolume_subset,market_cap_nonvolume_min_count,market_cap_nonvolume_subset,enumeration_greedy_match_neutral,enumeration_greedy_match_market_cap,boil_existing,boil_captured_n1_market_cap,boil_captured_n2_market_cap,ce_existing_fail,ce_captured_n1_market_cap,ce_captured_n2_market_cap,origin_complete_bool,base_n,base_avg_pnl_pct,base_win_rate_pct,holdout_n,holdout_avg_pnl_pct,holdout_win_rate_pct,crash_buy_enabled,use_news_global,weight_news_sentiment,use_event_block,positive_event_response_exists,positive_topic_weight_exists,noncore_positive_additive_possible,core_only_risk_result_scope
stage2:AA:3a8c10b9408c,stage2,AA,3a8c10b9408c8beb9a2c4c6a8582fa359f8e1787a46f7b3851d4cd7eff3f7cc3,exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/survivors.jsonl,1,1.9570800783035016,1.5774163173800322,1.4757734153309994,1.3540698892862733,0.0,0.5477741563600509,4.955033778357356,4,False,0.0,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,ma+macd,3.053189732711032,3.053189732711032,1.09610965440753,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,3.053189732711032,3.053189732711032,1.09610965440753,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,2.0,ma+macd,True,True,False,False,False,False,False,False,True,91,2.7986887572388235,74.72527472527473,25,2.4175809016885794,80.0,True,False,0.0,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:AA:657f7cf281f4,stage2,AA,657f7cf281f4e7c283ffbe4a7e2c50b7b3f5ce20f4f7bbac6491d1aac37b89e7,exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/survivors.jsonl,2,2.0801444406550664,1.477052575560459,1.6008473968429435,1.0938120894920051,0.3887391152076275,0.9386604141246192,5.499111591227655,5,False,0.1334162577039173,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,ma+macd,3.077899972403402,3.077899972403402,0.9977555317483362,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,3.077899972403402,3.077899972403402,0.9977555317483362,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,2.0,ma+macd,True,True,False,False,False,False,False,False,True,93,2.5470790026825423,74.19354838709677,25,2.456473466825187,80.0,True,False,0.0,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:AA:a667a5aec2bd,stage2,AA,a667a5aec2bd49097e3847ecf39c7b79a341f80e7db586e301bdf4317796e6cb,exp_batch_stage123_2009_20260616_full/tickers/AA/stage2_retry2/survivors.jsonl,3,1.8172593812597544,1.5590011615543282,1.6008473968429435,1.0417253893449183,0.3887391152076275,0.9386604141246192,5.528973477074437,5,True,0.1334162577039173,1.0,1.1334162577039173,news=0|topics=0|events=0|crash_bonus=0,2.0,ma+macd,3.159848558397272,3.159848558397272,1.3425891771375171,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,3.159848558397272,3.581423727969754,1.7641643467099992,PASSABLE_CORE_ONLY,False,True,2.0,ma+macd,2.0,ma+macd,True,True,False,False,False,False,False,False,True,93,2.412899894781742,73.11827956989248,26,1.844272543015695,76.92307692307693,True,False,0.0,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:2534bc281113,stage2,ABM,2534bc281113e6d2e528d3bad949e7d24f4ae3541fe8117d2fad20f849e0bf13,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,1,2.1421157411814287,0.0,2.0,1.5037371205312924,0.4963339492321218,0.5087819580233928,4.508853027786808,4,True,0.2023676075771075,1.0,1.2023676075771077,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,3.5037371205312926,3.5037371205312926,1.361621379349864,PASSABLE_CORE_ONLY,False,True,1.0,macd,2.0,2.404735215154215,0.2626194739727863,PASSABLE_CORE_ONLY,True,True,2.0,macd+rsi,1.0,macd,True,True,False,False,False,False,False,False,True,54,2.20304081956078,83.33333333333334,14,1.2778870682018029,71.42857142857143,True,False,1.062864948010072,False,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:3001f469bd71,stage2,ABM,3001f469bd71eee59a53e80e9794646e96e81e7da4944bba7d1388bb1787b84c,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,2,2.91748942752995,0.0,1.8556047486064025,1.2455175558816889,0.4963339492321218,0.1326051209018582,3.730061374622071,4,False,0.0,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,3.101122304488092,3.101122304488092,0.1836328769581414,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,3.101122304488092,3.101122304488092,0.1836328769581414,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,46,2.848341569849636,84.78260869565217,13,1.414672262686878,61.53846153846154,True,False,1.0665965312919155,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:35d6c06f15cb,stage2,ABM,35d6c06f15cb96a05ea474b1173b6db8ac1cd37a975cbeb198834d82a4312483,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,3,2.1421157411814287,0.0,2.0,1.2455175558816889,0.4963339492321218,0.1571098660865816,3.898961371200392,4,False,0.2023676075771075,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,3.2455175558816887,3.2455175558816887,1.10340181470026,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,3.2455175558816887,3.2455175558816887,1.10340181470026,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,50,2.435920917392864,86.0,13,1.027242803780419,76.92307692307693,True,False,0.5679322519442368,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:464800e0fb6e,stage2,ABM,464800e0fb6ebfad4e395292206c37a573057c3c4dfebd0771e72cb3e7f27a06,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,4,2.91748942752995,0.0,1.8556047486064025,1.0697338839520412,0.4963339492321218,0.3102527322994509,3.7319253140900166,4,False,0.0,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,2.925338632558444,2.925338632558444,0.0078492050284939,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.925338632558444,2.925338632558444,0.0078492050284939,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,44,2.5747751198477946,84.0909090909091,12,1.1858154998363994,66.66666666666666,True,False,1.082142767054394,False,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:4aabfa46446a,stage2,ABM,4aabfa46446af08c6ad65f4c89c21d78fb1491e8e1201f7311dd65a27d5b94fc,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,5,2.91748942752995,0.0,1.8556047486064025,1.5037371205312924,0.4963339492321218,0.5087819580233928,4.364457776393209,4,False,0.2023676075771075,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,3.359341869137695,3.359341869137695,0.4418524416077449,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,3.359341869137695,3.359341869137695,0.4418524416077449,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,43,3.0925383397466515,88.37209302325581,12,1.1333462224927613,58.333333333333336,True,False,1.2440959143449681,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:52bd480a78f4,stage2,ABM,52bd480a78f4e3cec529126640d1f11b204cf71fe7242019aa5e93fdfe743519,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,6,2.1421157411814287,0.0,2.0,1.2455175558816889,0.4963339492321218,0.5087819580233928,4.250633463137203,4,False,0.1453250112077372,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+rsi,3.2455175558816887,3.2455175558816887,1.10340181470026,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,3.2455175558816887,3.2455175558816887,1.10340181470026,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,46,1.8958782373780287,82.6086956521739,12,1.3293523079037506,50.0,True,False,1.2440959143449681,False,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
stage2:ABM:551b6df5279d,stage2,ABM,551b6df5279d31c86a9aa1a21ac84331cc610a47319d11ddba5ec450632ef988,exp_batch_stage123_2009_20260616_full/tickers/ABM/stage2/survivors.jsonl,7,2.1421157411814287,0.0,2.0,1.0697338839520412,0.4963339492321218,1.4312177799143442,4.997285613098507,4,False,0.3463320582003513,1.0,1.0,news=0|topics=0|events=0|crash_bonus=0,2.0,macd+volume,3.431217779914344,3.431217779914344,1.2891020387329153,PASSABLE_CORE_ONLY,False,True,2.0,macd+volume,3.431217779914344,3.431217779914344,1.2891020387329153,PASSABLE_CORE_ONLY,False,True,2.0,macd+rsi,2.0,macd+rsi,True,True,False,False,False,False,False,False,True,51,2.0989821214248088,80.3921568627451,13,1.108592473041671,69.23076923076923,True,True,1.082142767054394,True,True,True,True,SUFFICIENT_IF_FLAGGED_NOT_NECESSARY_IF_NOT_FLAGGED
