scope,scenario,bucket,candidate_count,complete_count,base_avg_pnl_candidate_mean_pct,base_win_rate_candidate_mean_pct,holdout_candidate_count,holdout_trade_count,holdout_avg_pnl_candidate_mean_pct,holdout_win_rate_candidate_mean_pct,holdout_avg_pnl_trade_weighted_pct
ALL,neutral,N1,3496,471,1.8049064969593547,56.737507477928304,3496,57682,0.920591023787356,52.612299865691696,0.8013730285519614
ALL,neutral,N2_OR_LESS,14536,2576,1.8956215161893277,57.79608944638924,14536,226824,1.169104111423192,53.43274153070664,1.0137477846267513
ALL,neutral,MORE_THAN_2_OR_IMPOSSIBLE,2535,598,2.1857089841841963,60.77556013317916,2535,33216,1.2534351371562529,55.97141395494839,1.1243119570916138
ALL,neutral,MIN_COUNT_1,3496,471,1.8049064969593547,56.737507477928304,3496,57682,0.920591023787356,52.612299865691696,0.8013730285519614
ALL,neutral,MIN_COUNT_2,11040,2105,1.924347938945486,58.1313070697352,11040,169142,1.2477999225078733,53.69254805796138,1.0861733245867022
ALL,neutral,MIN_COUNT_3,1916,473,2.162552721056666,60.35258623313534,1916,25464,1.3994155039021605,57.13120456607826,1.240632919969551
ALL,neutral,MIN_COUNT_4,278,74,2.1259160902994427,62.34787343097452,278,3590,0.8509700574092189,52.81784606089403,0.782086747889523
ALL,neutral,MIN_COUNT_5,38,11,2.078832551335263,58.23229661016855,38,395,1.172216953154717,53.31291515502042,1.3800435460181348
ALL,neutral,IMPOSSIBLE_CORE_ONLY,303,40,2.4003991792355817,62.32657963671465,303,3767,0.7097823334485798,51.864338106828065,0.6373402354791213
ALL,market_cap,N1,6794,1109,1.8724620312077176,57.290933268376875,6794,105586,1.0525874346792607,52.87659609655125,0.9174775435532493
ALL,market_cap,N2_OR_LESS,15394,2806,1.920527362338671,57.94127799720557,15394,237758,1.2069170990777278,53.682461501342914,1.046902950544223
ALL,market_cap,MORE_THAN_2_OR_IMPOSSIBLE,1677,368,2.10550293285242,60.96718404373326,1677,22282,0.9494774079523428,54.97796834494519,0.8247877996337806
ALL,market_cap,MIN_COUNT_1,6794,1109,1.8724620312077176,57.290933268376875,6794,105586,1.0525874346792607,52.87659609655125,0.9174775435532493
ALL,market_cap,MIN_COUNT_2,8600,1697,1.9584989739321235,58.455050332980235,8600,132172,1.3288375339525167,54.319095171128325,1.1502948264525013
ALL,market_cap,MIN_COUNT_3,1203,278,2.094355480676097,60.50654568206693,1203,16141,0.9893182340738355,55.77839184302893,0.8642824764473143
ALL,market_cap,MIN_COUNT_4,220,54,1.7415222720893098,61.88632092589242,220,2869,0.7698656622474993,53.36353848093926,0.6164489800701262
ALL,market_cap,MIN_COUNT_5,22,7,2.2601154904761858,57.52801341036634,22,253,1.5213687223020687,51.90529167801895,1.650382835139199
ALL,market_cap,IMPOSSIBLE_CORE_ONLY,232,29,2.4937988555605135,62.81028572021455,232,3019,0.8589793963799977,52.64979588183722,0.7424310427268593
COMPLETE_ONLY,neutral,N1,471,471,2.7283132440360784,63.91702102958377,471,6400,2.7528532946187125,67.0012330909352,2.7476293678347496
COMPLETE_ONLY,neutral,N2_OR_LESS,2576,2576,2.95917216377693,64.54324183087593,2576,34773,3.344033953883548,66.0568547263301,3.2322283815044597
COMPLETE_ONLY,neutral,MORE_THAN_2_OR_IMPOSSIBLE,598,598,2.9047956897482363,67.66127343594178,598,7175,2.6495856245256775,66.90717538364532,2.55262289462151
