scope,scenario,bucket,count,total
ALL,neutral,MIN_COUNT_1,3496,17071
ALL,neutral,MIN_COUNT_2,11040,17071
ALL,neutral,MIN_COUNT_3,1916,17071
ALL,neutral,MIN_COUNT_4,278,17071
ALL,neutral,MIN_COUNT_5,38,17071
ALL,neutral,N1,3496,17071
ALL,neutral,N2_OR_LESS,14536,17071
ALL,neutral,IMPOSSIBLE_CORE_ONLY,303,17071
ALL,market_cap,MIN_COUNT_1,6794,17071
ALL,market_cap,MIN_COUNT_2,8600,17071
ALL,market_cap,MIN_COUNT_3,1203,17071
ALL,market_cap,MIN_COUNT_4,220,17071
ALL,market_cap,MIN_COUNT_5,22,17071
ALL,market_cap,N1,6794,17071
ALL,market_cap,N2_OR_LESS,15394,17071
ALL,market_cap,IMPOSSIBLE_CORE_ONLY,232,17071
stage2,neutral,MIN_COUNT_1,160,1162
stage2,neutral,MIN_COUNT_2,693,1162
stage2,neutral,MIN_COUNT_3,248,1162
stage2,neutral,MIN_COUNT_4,29,1162
stage2,neutral,MIN_COUNT_5,2,1162
stage2,neutral,N1,160,1162
stage2,neutral,N2_OR_LESS,853,1162
stage2,neutral,IMPOSSIBLE_CORE_ONLY,30,1162
stage2,market_cap,MIN_COUNT_1,347,1162
stage2,market_cap,MIN_COUNT_2,608,1162
stage2,market_cap,MIN_COUNT_3,159,1162
stage2,market_cap,MIN_COUNT_4,22,1162
stage2,market_cap,MIN_COUNT_5,1,1162
stage2,market_cap,N1,347,1162
stage2,market_cap,N2_OR_LESS,955,1162
stage2,market_cap,IMPOSSIBLE_CORE_ONLY,25,1162
stage3,neutral,MIN_COUNT_1,3336,15909
stage3,neutral,MIN_COUNT_2,10347,15909
stage3,neutral,MIN_COUNT_3,1668,15909
stage3,neutral,MIN_COUNT_4,249,15909
stage3,neutral,MIN_COUNT_5,36,15909
stage3,neutral,N1,3336,15909
stage3,neutral,N2_OR_LESS,13683,15909
stage3,neutral,IMPOSSIBLE_CORE_ONLY,273,15909
stage3,market_cap,MIN_COUNT_1,6447,15909
stage3,market_cap,MIN_COUNT_2,7992,15909
stage3,market_cap,MIN_COUNT_3,1044,15909
stage3,market_cap,MIN_COUNT_4,198,15909
stage3,market_cap,MIN_COUNT_5,21,15909
stage3,market_cap,N1,6447,15909
stage3,market_cap,N2_OR_LESS,14439,15909
stage3,market_cap,IMPOSSIBLE_CORE_ONLY,207,15909
