source,path,exists,stored_signal_fields,missing_signal_fields,durability,interpretation
live_slots_state,data/_system/live_slots_state.json,true,"final_score|raw_score|threshold|ratio|reasons|market_score|sector_score|vix_level","components|market_adjustment|news_sentiment|topic_features|event_flags",overwrite_current_state,"현재 point snapshot만 부분 보존"
live_slots_events,data/_system/live_slots_events.jsonl,true,"event-dependent final_score|raw_score|threshold|ratio","systematic components|market_adjustment",append_event_log,"일부 이벤트에 점수는 있으나 entry별 full snapshot stream 아님"
pending_orders,data/_system/pending_orders.json,true,"rulebook signal_threshold|market_score|sector_score|vix_level","realized score|raw_score|ratio|components|market_adjustment",order_state,"룰북 설정과 주문 상태만 저장"
live_auto_events,data/_system/live_auto_events.jsonl,true,"price|candidate_id|ticker","score|raw_score|threshold|ratio|components|market_adjustment",append_event_log,"실제 주문 신호 구성 없음"
elite_shadow_state,data/_system/elite_shadow_state.json,true,"entry_score|entry_threshold|entry_ratio|entry_reasons","components|raw_score|market_adjustment",mutable_position_state,"ratio는 남지만 Top2 재구성 불가"
elite_shadow_trades,data/_system/elite_shadow_trades.jsonl,true,"entry_score|entry_threshold|entry_ratio","components|raw_score|market_adjustment",append_trade_log,"ratio와 outcome 연결 가능; component 없음"
real_dashboard_buy_candidates,data/_system/real_dashboard_buy_candidates.json,true,"score|raw_score|threshold|ratio|components","historical repeated entry snapshots",overwrite_current_state,"full point snapshot이나 진입 history 아님"
stage3_exit_trades,exp_batch_stage123_2009_20260616_full/tickers/*/stage3/exit_trades.jsonl,true,"entry_date|entry_price|outcome fields","entry_signal_score|entry_signal_raw_score|entry_signal_threshold|entry_signal_components|entry_market_adjustment|ratio",append_canonical_history,"975118건 모두 entry signal field 0건"
stage2_trades,exp_batch_stage123_2009_20260616_full/tickers/*/stage2*/trades.jsonl,true,"entry_signal_score|entry_signal_raw_score|entry_signal_threshold|entry_signal_components|entry_market_adjustment|entry_news_sentiment|entry_topic_features|entry_event_flags","none of core entry audit fields",append_canonical_history,"Stage2 historical CE backtest 가능"
s2_auto_order_intents,configured path not present in current data/_system,false,"none","all signal fields",missing,"현재 파일 없음"
